Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
"Ben Alexander Voll","deGER","GK","St. Pauli","deBundesliga","23","2000","2","1","91","1.0","0","0","0","0","0","0","1","0","0.0","0.0","0.1","0.1","0","0","0","0.00","0.00","0.00","0.00","0.00","0.00","0.10","0.10","0.00","0.10",
"Trent Alexander-Arnold","engENG","DF","Liverpool","engPremier League","25","1998","33","28","2,365","26.3","3","6","9","3","0","0","5","0","1.9","1.9","7.3","9.2","51","232","94","0.11","0.23","0.34","0.11","0.34","0.07","0.28","0.35","0.07","0.35",
"Alfon","esESP","FW,MF","Celta Vigo","esLa Liga","25","1999","26","14","1,371","15.2","5","2","7","5","0","0","1","1","4.6","4.6","2.6","7.2","89","22","170","0.33","0.13","0.46","0.33","0.46","0.30","0.17","0.47","0.30","0.47",
"Mohamed Ali Cho","frFRA","FW,MF","Nice","frLigue 1","20","2004","27","21","1,621","18.0","3","4","7","3","0","0","2","0","4.0","4.0","4.0","7.9","81","59","133","0.17","0.22","0.39","0.17","0.39","0.22","0.22","0.44","0.22","0.44",
"Faride Alidou","deGER","FW,MF","Hellas Verona","itSerie A","23","2001","3","0","71","0.8","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","1","1","2","0.00","0.00","0.00","0.00","0.00","0.01","0.02","0.03","0.01","0.03",
"Alisson","brBRA","GK","Liverpool","engPremier League","31","1992","28","28","2,508","27.9","0","0","0","0","0","0","0","0","0.0","0.0","0.6","0.6","0","1","0","0.00","0.00","0.00","0.00","0.00","0.00","0.02","0.02","0.00","0.02",
"Tadeo Allende","arARG","FW","Celta Vigo","esLa Liga","25","1999","1","0","2","0.0","0","0","0","0","0","0","1","0","0.0","0.0","0.0","0.0","0","0","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00",
"Jim Allevinah","gaGAB","FW","Angers","frLigue 1","29","1995","28","23","1,750","19.4","1","3","4","1","0","0","3","0","4.2","4.2","2.5","6.7","57","48","99","0.05","0.15","0.21","0.05","0.21","0.22","0.13","0.35","0.22","0.35",
"Dele Alli","engENG","MF","Como","itSerie A","28","1996","1","0","9","0.1","0","0","0","0","0","0","0","1","0.0","0.0","0.0","0.0","0","0","1","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00",
"Thiago Almada","arARG","MF,FW","Lyon","frLigue 1","23","2001","16","9","951","10.6","1","4","5","1","0","0","3","0","2.0","2.0","2.6","4.6","38","97","50","0.09","0.38","0.47","0.09","0.47","0.19","0.25","0.44","0.19","0.44",
