Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches"Ismael Aaneba","frFRA","DF","Strasbourg","frLigue 1","19","1999","3","3","204","2.3","0","0","0","0","0","0","3","0","0.0","0.0","0.4","0.4","3","8","8","0.00","0.00","0.00","0.00","0.00","0.00","0.17","0.17","0.00","0.17",
"Daniel Amartey","ghGHA","DF","Leicester City","engPremier League","23","1994","9","7","641","7.1","0","0","0","0","0","0","2","0","0.3","0.3","0.1","0.5","8","34","8","0.00","0.00","0.00","0.00","0.00","0.05","0.02","0.06","0.05","0.06",
"Jordi Amat","idIDN","DF","Rayo Vallecano","esLa Liga","26","1992","31","31","2,763","30.7","0","0","0","0","0","0","9","0","0.5","0.5","0.4","0.9","22","95","3","0.00","0.00","0.00","0.00","0.00","0.02","0.01","0.03","0.02","0.03",
"Amath","snSEN","MF","Getafe","esLa Liga","22","1996","15","13","1,002","11.1","1","2","3","1","0","0","4","0","1.2","1.2","1.5","2.7","30","30","72","0.09","0.18","0.27","0.09","0.27","0.11","0.14","0.25","0.11","0.25",
"Jordan Amavi","frFRA","DF","Marseille","frLigue 1","24","1994","28","24","2,177","24.2","0","2","2","0","0","0","7","2","0.8","0.8","2.0","2.8","74","82","98","0.00","0.08","0.08","0.00","0.08","0.03","0.08","0.11","0.03","0.11",
"Kelvin Amian","frFRA","DF","Toulouse","frLigue 1","20","1998","32","32","2,880","32.0","0","1","1","0","0","0","6","0","0.6","0.6","0.8","1.4","46","106","59","0.00","0.03","0.03","0.00","0.03","0.02","0.02","0.04","0.02","0.04",
"Nadiem Amiri","deGER","MF","Hoffenheim","deBundesliga","21","1996","13","10","754","8.4","3","1","4","3","0","0","1","0","2.2","2.2","1.4","3.5","22","50","36","0.36","0.12","0.48","0.36","0.48","0.26","0.16","0.42","0.26","0.42",
"Yanis Ammour","frFRA","MF","Montpellier","frLigue 1","19","1999","1","0","2","0.0","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0","0","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00",
"Luke Amos","engENG","MF","Tottenham","engPremier League","21","1997","1","0","3","0.0","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0","0","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00",
"Joachim Andersen","dkDEN","DF","Sampdoria","itSerie A","22","1996","32","32","2,880","32.0","0","1","1","0","0","0","7","0","1.0","1.0","0.7","1.7","25","154","3","0.00","0.03","0.03","0.00","0.03","0.03","0.02","0.05","0.03","0.05",
"Felipe Anderson","brBRA","MF,FW","West Ham","engPremier League","25","1993","36","36","3,043","33.8","9","4","13","9","0","0","3","0","5.5","5.5","6.1","11.5","201","191","253","0.27","0.12","0.38","0.27","0.38","0.16","0.18","0.34","0.16","0.34",
"Florin Andone","roROU","FW","Brighton","engPremier League","25","1993","23","8","881","9.8","3","0","3","3","0","0","5","0","2.5","2.5","0.1","2.6","13","4","62","0.31","0.00","0.31","0.31","0.31","0.25","0.01","0.26","0.25","0.26",
"Benjamin André","frFRA","MF","Rennes","frLigue 1","27","1990","30","28","2,495","27.7","3","1","4","3","0","0","8","1","3.0","3.0","0.8","3.9","52","185","86","0.11","0.04","0.14","0.11","0.14","0.11","0.03","0.14","0.11","0.14",
"Marco Andreolli","itITA","DF","Cagliari","itSerie A","32","1986","3","1","106","1.2","0","0","0","0","0","0","1","0","0.0","0.0","0.0","0.0","0","6","0","0.00","0.00","0.00","0.00","0.00","0.03","0.00","0.03","0.03","0.03",
"Marco Andreolli","itITA","DF","Chievo","itSerie A","32","1986","8","7","646","7.2","0","0","0","0","0","0","2","0","0.1","0.1","0.0","0.1","1","8","0","0.00","0.00","0.00","0.00","0.00","0.02","0.00","0.02","0.02","0.02",
"Yoann Andreu","frFRA","DF","Angers","frLigue 1","29","1989","1","0","4","0.0","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0","0","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00",
"José Ángel","esESP","DF","Eibar","esLa Liga","28","1989","35","34","3,028","33.6","1","1","2","1","0","0","10","0","0.7","0.7","5.7","6.4","78","195","75","0.03","0.03","0.06","0.03","0.06","0.02","0.17","0.19","0.02","0.19",
"Miguel Ángel Moyá","esESP","GK","Real Sociedad","esLa Liga","34","1984","11","11","990","11.0","0","0","0","0","0","0","1","0","0.0","0.0","0.0","0.0","0","0","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00",
"Cristian Ansaldi","arARG","DF,MF","Torino","itSerie A","31","1986","24","23","1,807","20.1","3","2","5","3","0","0","3","0","1.4","1.4","2.9","4.3","96","93","108","0.15","0.10","0.25","0.15","0.25","0.07","0.14","0.21","0.07","0.21",
"Mirco Antenucci","itITA","FW","SPAL","itSerie A","33","1984","35","22","2,133","23.7","5","0","5","4","1","2","0","0","6.6","5.0","1.6","6.5","41","50","172","0.21","0.00","0.21","0.17","0.17","0.28","0.07","0.34","0.21","0.28",
"Waldemar Anton","deGER","DF","Hannover 96","deBundesliga","22","1996","34","34","3,060","34.0","1","0","1","1","0","0","4","0","1.8","1.8","0.2","2.0","35","96","17","0.03","0.00","0.03","0.03","0.03","0.05","0.01","0.06","0.05","0.06",
"Luca Antonelli","itITA","DF","Empoli","itSerie A","31","1987","13","10","755","8.4","0","1","1","0","0","0","1","0","0.3","0.3","0.7","1.0","26","39","28","0.00","0.12","0.12","0.00","0.12","0.04","0.08","0.12","0.04","0.12",
"Mauro Antonio Burruchaga","arARG","MF","Chievo","itSerie A","20","1998","1","0","58","0.6","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0","3","0","0.00","0.00","0.00","0.00","0.00","0.03","0.00","0.03","0.03","0.03",
"Michail Antonio","jmJAM","MF,FW","West Ham","engPremier League","28","1990","33","22","2,103","23.4","6","4","10","6","0","0","3","0","7.1","7.1","4.4","11.5","87","69","204","0.26","0.17","0.43","0.26","0.43","0.30","0.19","0.49","0.30","0.49",
"Antoñito","esESP","DF,MF","Valladolid","esLa Liga","30","1987","30","18","1,863","20.7","2","1","3","2","0","0","5","0","1.0","1.0","1.9","2.9","56","71","136","0.10","0.05","0.14","0.10","0.14","0.05","0.09","0.14","0.05","0.14",
"Vitorino Antunes","ptPOR","DF,MF","Getafe","esLa Liga","31","1987","28","25","2,181","24.2","1","3","4","1","0","0","5","0","1.0","1.0","3.1","4.1","45","99","54","0.04","0.12","0.17","0.04","0.17","0.04","0.13","0.17","0.04","0.17",
