Name,Value,Fee,From,Direction
"Cheick Traoré","€250k","loan transfer","EA Guingamp","Joined","LB Châteauroux"
"Karim Achahbar","€250k","loan transfer","EA Guingamp","Joined","AFC Tubize"
"Théo Guivarch","€150k","loan transfer","EA Guingamp","Joined","Concarneau"
"Reynald Lemaître","€250k","-","EA Guingamp","Joined","Without Club"
"Marçal","€3.50m","End of loanJun 30, 2017","EA Guingamp","Joined","Benfica"
"Nicolas Pépé","€3.00m","€18.00m","LOSC Lille","Left","Angers SCO"
"Thiago Maia","€4.50m","€14.00m","LOSC Lille","Left","Santos"
"Luiz Araújo","€500k","€10.50m","LOSC Lille","Left","São Paulo"
"Thiago Mendes","€4.00m","€9.00m","LOSC Lille","Left","São Paulo"
"Kévin Malcuit","€3.00m","€9.00m","LOSC Lille","Left","Saint-Étienne"
"Xeka","€1.25m","€5.00m","LOSC Lille","Left","Braga"
"Nicolas de Préville","€5.50m","€4.50m","LOSC Lille","Left","KV Oostende"
"Edgar Ié","€500k","€3.50m","LOSC Lille","Left","Belenenses"
"Naïm Sliti","€1.75m","€2.00m","LOSC Lille","Left","Red Star FC"
"Adam Jakubech","€450k","€1.00m","LOSC Lille","Left","Spartak Trnava"
"Boubakary Soumaré","-","free transfer","LOSC Lille","Left","Paris SG B"
"Fodé Ballo-Touré","-","free transfer","LOSC Lille","Left","Paris SG B"
"Ezequiel Ponce","€2.50m","loan transfer","LOSC Lille","Left","Roma"
"Hervé Koffi","€100k","?","LOSC Lille","Left","ASEC Mimosas"
"Lebo Mothiba","€250k","-","LOSC Lille","Left","LOSC Lille B"
"Imad Faraj","-","-","LOSC Lille","Left","LOSC Lille B"
"Rominigue Kouamé","€35k","-","LOSC Lille","Left","LOSC Lille B"
"Valère Pollet","-","-","LOSC Lille","Left","LOSC Lille B"
"Hamza Mendyl","€250k","-","LOSC Lille","Left","LOSC Lille B"
"Kouadio-Yves Dabila","-","-","LOSC Lille","Left","LOSC Lille B"
"Lenny Nangis","€1.75m","End of loanJun 30, 2017","LOSC Lille","Left","SC Bastia"
"Youssouf Koné","€150k","End of loanJan 4, 2018","LOSC Lille","Left","Stade Reims"
"Gabriel Magalhães","€600k","End of loanJun 30, 2018","LOSC Lille","Left","Din. Zagreb II"
"Soualiho Meïté","€7.00m","End of loanJun 30, 2017","LOSC Lille","Left","Zulte Waregem"
"Baptiste Guillaume","€2.00m","End of loanJun 30, 2017","LOSC Lille","Left","R. Strasbourg"
"Marvin Martin","€500k","End of loanJun 30, 2017","LOSC Lille","Left","Dijon"
"Martin Terrier","€12.00m","End of loanJan 25, 2018","LOSC Lille","Left","R. Strasbourg"
"Alexis Araújo","€250k","End of loanJun 30, 2017","LOSC Lille","Left","USL Dunkerque"
"Junior Tallo","€1.00m","End of loanJun 30, 2017","LOSC Lille","Left","Amiens SC"
"Alexis Araújo","€250k","End of loanNov 29, 2017","LOSC Lille","Left","G. Ajaccio"
"Gabriel Magalhães","€600k","End of loanFeb 14, 2018","LOSC Lille","Left","Troyes"
"Martin Terrier","€12.00m","€11.00m","LOSC Lille","Joined","Lyon"
"Nicolas de Préville","€5.50m","€8.00m","LOSC Lille","Joined","G. Bordeaux"
"Soualiho Meïté","€7.00m","€5.10m","LOSC Lille","Joined","Zulte Waregem"
"Sébastien Corchia","€7.50m","€5.00m","LOSC Lille","Joined","Sevilla FC"
"Baptiste Guillaume","€2.00m","€2.00m","LOSC Lille","Joined","Angers SCO"
"Rio Mavuba","€1.00m","free transfer","LOSC Lille","Joined","Sparta Prague"
"Marvin Martin","€500k","free transfer","LOSC Lille","Joined","Stade Reims"
"Lenny Nangis","€1.75m","free transfer","LOSC Lille","Joined","Valenciennes FC"
"Eric Bauthéac","€2.00m","free transfer","LOSC Lille","Joined","Brisbane Roar"
"Alexis Araújo","€250k","free transfer","LOSC Lille","Joined","G. Ajaccio"
"Xeka","€1.25m","loan transfer","LOSC Lille","Joined","Dijon"
"Jean Butez","€150k","loan transfer","LOSC Lille","Joined","Mouscron"
"Naïm Sliti","€1.75m","loan transfer","LOSC Lille","Joined","Dijon"
"Martin Terrier","€400k","loan transfer","LOSC Lille","Joined","R. Strasbourg"
"Youssouf Koné","€150k","loan transfer","LOSC Lille","Joined","Stade Reims"
"Alexis Araújo","€250k","loan transfer","LOSC Lille","Joined","G. Ajaccio"
