Name,Value,Fee,From,Direction
"Thomas Foket","€6.00m","free transfer","Stade Reims","Joined","RSC Anderlecht"
"Yunis Abdelhamid","€600k","free transfer","Stade Reims","Joined","Saint-Étienne"
"Maxime Busi","€1.20m","loan transfer","Stade Reims","Joined","NAC Breda"
"Adama Bojang","€500k","loan transfer","Stade Reims","Joined","Grasshoppers"
"Arthur Tchaptchet","€50k","loan transfer","Stade Reims","Joined","Concarneau"
"Fallou Fall","€100k","loan transfer","Stade Reims","Joined","Fredrikstad"
"Thibault De Smet","€2.50m","loan transfer","Stade Reims","Joined","Paris FC"
"Benjamin Stambouli","€700k","-","Stade Reims","Joined","Without Club"
"Ewen Jaouen","€400k","loan transfer","Stade Reims","Joined","USL Dunkerque"
"Seko Fofana","€12.00m","€20.00m","Stade Rennais FC","Left","Al-Nassr"
"Albert Grønbæk","€12.00m","€15.00m","Stade Rennais FC","Left","Bodø/Glimt"
"Brice Samba","€15.00m","€14.00m","Stade Rennais FC","Left","Lens"
"Anthony Rouault","€10.00m","€13.00m","Stade Rennais FC","Left","Stuttgart"
"Kyogo Furuhashi","€14.00m","€12.00m","Stade Rennais FC","Left","Celtic"
"Mikayil Faye","€10.00m","€10.30m","Stade Rennais FC","Left","Barcelona"
"Glen Kamara","€6.00m","€10.00m","Stade Rennais FC","Left","Leeds"
"Andrés Gómez","€5.00m","€10.00m","Stade Rennais FC","Left","Salt Lake"
"Henrik Meister","€600k","€9.00m","Stade Rennais FC","Left","Sarpsborg 08"
"Mousa Tamari","€6.00m","€8.00m","Stade Rennais FC","Left","Montpellier"
"Jota","€9.00m","€8.00m","Stade Rennais FC","Left","Al-Ittihad"
"Leo Østigård","€8.00m","€7.00m","Stade Rennais FC","Left","Napoli"
"Kazeem Olaigbe","€1.80m","€5.25m","Stade Rennais FC","Left","Cercle Brugge"
"Jordan James","€4.50m","€5.00m","Stade Rennais FC","Left","Birmingham"
"Hans Hateboer","€3.50m","€2.70m","Stade Rennais FC","Left","Atalanta"
"Matthis Abline","€6.00m","End of loanJun 30, 2024€2.00m","Stade Rennais FC","Left","FC Nantes"
"Mohamed Jaouab","€600k","€1.00m","Stade Rennais FC","Left","Amiens SC"
"Ismaël Koné","€12.00m","Loan fee:€1.00m","Stade Rennais FC","Left","Marseille"
"Jérémy Jacquet","€1.00m","End of loanFeb 3, 2025€900k","Stade Rennais FC","Left","Clermont Foot"
"Ayanda Sishuba","€2.00m","€500k","Stade Rennais FC","Left","Hellas Verona"
"Abdelhamid Ait Boudlal","-","?","Stade Rennais FC","Left","AM Football"
"Naouirou Ahamada","€8.00m","loan transfer","Stade Rennais FC","Left","Crystal Palace"
"Lilian Brassier","€10.00m","loan transfer","Stade Rennais FC","Left","Stade Brestois"
"Kader Meïté","-","-","Stade Rennais FC","Left","Rennes B"
"Wilson Samaké","€150k","-","Stade Rennais FC","Left","Rennes B"
"Mahamadou Nagida","€500k","-","Stade Rennais FC","Left","Rennes B"
"Djaoui Cissé","€100k","-","Stade Rennais FC","Left","Rennes B"
"Rayan Bamba","-","-","Stade Rennais FC","Left","Rennes B"
"Arthur Theate","€20.00m","End of loanFeb 1, 2025","Stade Rennais FC","Left","Frankfurt"
"Lorenz Assignon","€10.00m","End of loanJun 30, 2024","Stade Rennais FC","Left","Burnley"
"Alfred Gomis","€1.00m","End of loanJun 30, 2024","Stade Rennais FC","Left","FC Lorient"
"Alan Do Marcolino","€200k","End of loanJun 30, 2024","Stade Rennais FC","Left","QRM"
"Doğan Alemdar","€2.50m","End of loanJun 30, 2024","Stade Rennais FC","Left","Troyes"
"Désiré Doué","€30.00m","€50.00m","Stade Rennais FC","Joined","PSG"
"Enzo Le Fée","€18.00m","€23.00m","Stade Rennais FC","Joined","Roma"
"Martin Terrier","€20.00m","€20.00m","Stade Rennais FC","Joined","Leverkusen"
"Amine Gouiri","€20.00m","€19.00m","Stade Rennais FC","Joined","Marseille"
"Jeanuël Belocian","€10.00m","€15.00m","Stade Rennais FC","Joined","Leverkusen"
"Arthur Theate","€20.00m","€13.00m","Stade Rennais FC","Joined","Frankfurt"
"Matthis Abline","€6.00m","€10.00m","Stade Rennais FC","Joined","FC Nantes"
"Jota","€8.00m","€10.00m","Stade Rennais FC","Joined","Celtic"
"Benjamin Bourigeaud","€18.00m","€10.00m","Stade Rennais FC","Joined","Al-Duhail SC"
"Guela Doué","€7.00m","€6.00m","Stade Rennais FC","Joined","R. Strasbourg"
"Fabian Rieder","€8.00m","Loan fee:€800k","Stade Rennais FC","Joined","Stuttgart"
"Warmed Omari","€8.00m","Loan fee:€500k","Stade Rennais FC","Joined","Lyon"
"Mathis Lambourde","€500k","free transfer","Stade Rennais FC","Joined","Hellas Verona"
"Alfred Gomis","€1.00m","free transfer","Stade Rennais FC","Joined","Palermo"
"Mohamed Jaouab","€600k","loan transfer","Stade Rennais FC","Joined","Amiens SC"
"Rayan Bamba","-","loan transfer","Stade Rennais FC","Joined","Concarneau"
"Alan Do Marcolino","€200k","loan transfer","Stade Rennais FC","Joined","US Orléans"
"Leo Østigård","€7.00m","loan transfer","Stade Rennais FC","Joined","Hoffenheim"
"Arthur Theate","€20.00m","loan transfer","Stade Rennais FC","Joined","Frankfurt"
"Henrik Meister","€3.00m","loan transfer","Stade Rennais FC","Joined","Pisa"
"Albert Grønbæk","€15.00m","loan transfer","Stade Rennais FC","Joined","Southampton"
"Baptiste Santamaria","€7.00m","loan transfer","Stade Rennais FC","Joined","Nice"
"Ibrahim Salah","€4.00m","loan transfer","Stade Rennais FC","Joined","Stade Brestois"
"Bertuğ Yıldırım","€3.50m","loan transfer","Stade Rennais FC","Joined","Getafe"
"Glen Kamara","€6.00m","loan transfer","Stade Rennais FC","Joined","Al-Shabab"
"Abdelhamid Ait Boudlal","-","loan transfer","Stade Rennais FC","Joined","Amiens SC"
"Charlie Cresswell","€4.00m","€4.50m","FC Toulouse","Left","Leeds"
"Mark McKenzie","€6.00m","€3.00m","FC Toulouse","Left","Genk"
"Djibril Sidibé","€1.50m","free transfer","FC Toulouse","Left","AEK Athens"
"Joshua King","€2.30m","free transfer","FC Toulouse","Left","Fenerbahçe"
"Miha Zajc","€2.40m","loan transfer","FC Toulouse","Left","Fenerbahçe"
"Ümit Akdağ","€800k","loan transfer","FC Toulouse","Left","Alanyaspor"
"Jaydee Canvot","€50k","-","FC Toulouse","Left","Toulouse B"
"Rafik Messali","-","-","FC Toulouse","Left","Toulouse B"
"Noah Edjouma","€50k","-","FC Toulouse","Left","Toulouse B"
"Mathis Saka","-","-","FC Toulouse","Left","Toulouse U19"
"Kjetil Haug","€450k","End of loanDec 31, 2024","FC Toulouse","Left","Odd"
"Ibrahim Cissoko","€1.50m","End of loanJan 31, 2025","FC Toulouse","Left","Plymouth"
"Kléri Serber","€250k","End of loanJun 30, 2024","FC Toulouse","Left","Botev Vratsa"
"Said Hamulic","€800k","End of loanJun 30, 2024","FC Toulouse","Left","Loko Moscow"
"Oliver Zandén","€700k","End of loanDec 31, 2024","FC Toulouse","Left","Randers FC"
"Yanis Begraoui","€900k","End of loanJun 30, 2024","FC Toulouse","Left","Pau FC"
"Mamady Bangré","€800k","End of loanJun 30, 2024","FC Toulouse","Left","Troyes"
"Junior Flemmings","€700k","End of loanJun 30, 2024","FC Toulouse","Left","Vozdovac"
"Anthony Rouault","€7.00m","End of loanJun 30, 2024","FC Toulouse","Left","Stuttgart"
"Veljko Birmancevic","€9.00m","End of loanJun 30, 2024","FC Toulouse","Left","Sparta Prague"
"Logan Costa","€12.00m","€18.00m","FC Toulouse","Joined","Villarreal"
"Christian Mawissa","€9.00m","€16.00m","FC Toulouse","Joined","Monaco"
"Thijs Dallinga","€18.00m","€15.00m","FC Toulouse","Joined","Bologna"
"Anthony Rouault","€7.00m","€3.00m","FC Toulouse","Joined","Stuttgart"
"Veljko Birmancevic","€9.00m","€2.30m","FC Toulouse","Joined","Sparta Prague"
"Kévin Keben","€500k","€1.00m","FC Toulouse","Joined","Watford"
"Junior Flemmings","€700k","free transfer","FC Toulouse","Joined","Ajman Club"
"Moussa Diarra","€2.00m","free transfer","FC Toulouse","Joined","Alavés"
"Mikkel Desler","€3.00m","free transfer","FC Toulouse","Joined","Austin"
"Kléri Serber","€250k","free transfer","FC Toulouse","Joined","Septemvri Sofia"
"Thomas Himeur","€50k","free transfer","FC Toulouse","Joined","Paris FC"
"Denis Genreau","€800k","free transfer","FC Toulouse","Joined","Dep. La Coruña"
"Naatan Skyttä","€400k","?","FC Toulouse","Joined","USL Dunkerque"
"Mamady Bangré","€800k","?","FC Toulouse","Joined","Grenoble"
"Yanis Begraoui","€900k","?","FC Toulouse","Joined","Estoril"
"Oliver Zandén","€700k","?","FC Toulouse","Joined","Brommapojkarna"
"Ibrahim Cissoko","€1.50m","loan transfer","FC Toulouse","Joined","Plymouth"
"Said Hamulic","€800k","loan transfer","FC Toulouse","Joined","Widzew Lodz"
"Álex Domínguez","€300k","loan transfer","FC Toulouse","Joined","SD Eibar"
"Ibrahim Cissoko","€1.50m","loan transfer","FC Toulouse","Joined","Sheff Wed"
"César Gelabert","€1.50m","loan transfer","FC Toulouse","Joined","Sporting Gijón"
"Kjetil Haug","€450k","loan transfer","FC Toulouse","Joined","Odd"
"Stijn Spierings","€4.50m","End of loanJun 30, 2024","FC Toulouse","Joined","Lens"
"Nicolas Pays","-","free transfer","Montpellier HSC","Left","Le Puy Foot"
"Bamo Meïté","€5.00m","loan transfer","Montpellier HSC","Left","Marseille"
"Rabby Nzingoula","€300k","loan transfer","Montpellier HSC","Left","R. Strasbourg"
"Andy Delort","€2.00m","loan transfer","Montpellier HSC","Left","MC Algiers"
"Nikola Maksimović","€350k","-","Montpellier HSC","Left","Without Club"
"Yaël Mouanga","-","-","Montpellier HSC","Left","Montpellier B"
"Junior Ndiaye","€50k","-","Montpellier HSC","Left","Montpellier B"
"Glenn Ngosso","-","-","Montpellier HSC","Left","Montpellier B"
"Birama Touré","€1.60m","-","Montpellier HSC","Left","Without Club"
"Othmane Maamma","€300k","-","Montpellier HSC","Left","Montpellier B"
"Gabriel Barès","€400k","End of loanJun 30, 2024","Montpellier HSC","Left","Concarneau"
"Maxime Estève","€7.00m","End of loanJun 30, 2024","Montpellier HSC","Left","Burnley"
"Maxime Estève","€7.00m","€12.00m","Montpellier HSC","Joined","Burnley"
"Mousa Tamari","€6.00m","€8.00m","Montpellier HSC","Joined","Stade Rennais"
"Akor Adams","€9.00m","€5.50m","Montpellier HSC","Joined","Sevilla FC"
"Arnaud Nordin","€8.00m","€1.00m","Montpellier HSC","Joined","Mainz"
"Léo Leroy","€1.00m","€500k","Montpellier HSC","Joined","Basel"
"Sacha Delaye","€300k","free transfer","Montpellier HSC","Joined","A. Lustenau"
"Gabriel Barès","€400k","free transfer","Montpellier HSC","Joined","Burgos CF"
"Birama Touré","€1.20m","loan transfer","Montpellier HSC","Joined","Manisa FK"
"Yann Karamoh","€2.50m","End of loanJun 30, 2024","Montpellier HSC","Joined","Torino"
"Silvan Hefti","€2.50m","End of loanJun 30, 2024","Montpellier HSC","Joined","Genoa"
"Sékou Mara","€6.00m","€12.00m","RC Strasbourg Alsace","Left","Southampton"
"Sebastian Nanasi","€8.00m","€11.00m","RC Strasbourg Alsace","Left","Malmö"
"Mamadou Sarr","€1.00m","€10.00m","RC Strasbourg Alsace","Left","Lyon"
"Diego Moreira","€3.00m","€8.50m","RC Strasbourg Alsace","Left","Chelsea"
"Félix Lemaréchal","€5.00m","€6.00m","RC Strasbourg Alsace","Left","Monaco"
"Guela Doué","€7.00m","€6.00m","RC Strasbourg Alsace","Left","Stade Rennais"
"Óscar Perea","€2.00m","€5.20m","RC Strasbourg Alsace","Left","Atl. Nacional"
"Yoni Gomis","€50k","€2.00m","RC Strasbourg Alsace","Left","Le Havre AC"
"Pape Diong","-","€1.20m","RC Strasbourg Alsace","Left","AF Darou Salam"
"Karl-Johan Johnsson","€400k","free transfer","RC Strasbourg Alsace","Left","G. Bordeaux"
"Samuel Amo-Ameyaw","€300k","loan transfer","RC Strasbourg Alsace","Left","Southampton"
"Valentín Barco","€6.00m","loan transfer","RC Strasbourg Alsace","Left","Brighton"
"Djordje Petrovic","€20.00m","loan transfer","RC Strasbourg Alsace","Left","Chelsea"
"Andrew Omobamidele","€11.00m","loan transfer","RC Strasbourg Alsace","Left","Nott'm Forest"
"Caleb Wiley","€5.00m","loan transfer","RC Strasbourg Alsace","Left","Chelsea"
"Jérémy Sebas","€500k","-","RC Strasbourg Alsace","Left","R. Strasbourg B"
"Abdoul Ouattara","€150k","-","RC Strasbourg Alsace","Left","R. Strasbourg B"
"Patrick Ouotro","-","-","RC Strasbourg Alsace","Left","R. Strasbourg B"
"Aboubacar Ali","€150k","-","RC Strasbourg Alsace","Left","R. Strasbourg B"
"Rabby Nzingoula","€300k","-","RC Strasbourg Alsace","Left","R. Strasbourg B"
"Milos Lukovic","€5.00m","End of loanJun 30, 2024","RC Strasbourg Alsace","Left","IMT Belgrad"
"Nordine Kandil","€1.00m","End of loanJun 30, 2024","RC Strasbourg Alsace","Left","FC Annecy"
"Patrick Ouotro","€300k","End of loanDec 31, 2024","RC Strasbourg Alsace","Left","FC Martigues"
"Robin Risser","€500k","End of loanJun 30, 2024","RC Strasbourg Alsace","Left","Dijon"
"Eduard Sobol","€1.50m","End of loanJun 30, 2024","RC Strasbourg Alsace","Left","Genk"
"Dany Jean","€350k","End of loanJun 30, 2024","RC Strasbourg Alsace","Left","US Avranches"
"Dany Jean","€400k","End of loanJan 30, 2025","RC Strasbourg Alsace","Left","Rodez AF"
"Aboubacar Ali","€250k","End of loanDec 31, 2024","RC Strasbourg Alsace","Left","Nîmes Olympique"
"Frédéric Guilbert","€4.00m","free transfer","RC Strasbourg Alsace","Joined","Lecce"
"Lucas Perrin","€3.00m","free transfer","RC Strasbourg Alsace","Joined","Hamburg"
"Nordine Kandil","€1.00m","free transfer","RC Strasbourg Alsace","Joined","Amiens SC"
"Karol Fila","€700k","free transfer","RC Strasbourg Alsace","Joined","FCV Dender EH"
"Alexandre Pierre","€100k","free transfer","RC Strasbourg Alsace","Joined","FC Sochaux"
"Ibrahima Sissoko","€6.00m","free transfer","RC Strasbourg Alsace","Joined","VfL Bochum"
"Jean-Eudes Aholou","€800k","free transfer","RC Strasbourg Alsace","Joined","Angers SCO"
"Robin Risser","€500k","loan transfer","RC Strasbourg Alsace","Joined","Red Star FC"
"Dany Jean","€400k","?","RC Strasbourg Alsace","Joined","Torreense"
"Marvin Senaya","€1.80m","loan transfer","RC Strasbourg Alsace","Joined","Lausanne-Sport"
"Aboubacar Ali","€250k","loan transfer","RC Strasbourg Alsace","Joined","Torreense"
"Patrick Ouotro","€300k","loan transfer","RC Strasbourg Alsace","Joined","RFC Seraing"
"Jérémy Sebas","€800k","loan transfer","RC Strasbourg Alsace","Joined","SC Bastia"
"Rabby Nzingoula","€300k","loan transfer","RC Strasbourg Alsace","Joined","Montpellier"
"Junior Mwanga","€6.00m","loan transfer","RC Strasbourg Alsace","Joined","Le Havre AC"
"Saïdou Sow","€6.00m","loan transfer","RC Strasbourg Alsace","Joined","FC Nantes"
"Milos Lukovic","€5.00m","loan transfer","RC Strasbourg Alsace","Joined","Heerenveen"
"Patrick Ouotro","-","loan transfer","RC Strasbourg Alsace","Joined","FC Martigues"
"Jessy Deminguet","€1.20m","loan transfer","RC Strasbourg Alsace","Joined","FC Metz"
"Dany Jean","€350k","loan transfer","RC Strasbourg Alsace","Joined","Rodez AF"
"Lebo Mothiba","€1.50m","-","RC Strasbourg Alsace","Joined","Without Club"
"Kévin Gameiro","€700k","-","RC Strasbourg Alsace","Joined","Without Club"
"Matthieu Dreyer","€150k","-","RC Strasbourg Alsace","Joined","Retired"
"Steven Baseya","€50k","loan transfer","RC Strasbourg Alsace","Joined","FC Villefranche"
"Aboubacar Ali","€150k","loan transfer","RC Strasbourg Alsace","Joined","Nîmes Olympique"
"Ângelo","€15.00m","End of loanJun 30, 2024","RC Strasbourg Alsace","Joined","Chelsea"
"Andrey Santos","€25.00m","End of loanMay 31, 2025","RC Strasbourg Alsace","Joined","Chelsea"
"Caleb Wiley","€8.00m","End of loanFeb 2, 2025","RC Strasbourg Alsace","Joined","Chelsea"
"Matthis Abline","€6.00m","€10.00m","FC Nantes","Left","Stade Rennais"
"Meschack Elia","€5.00m","Loan fee:€250k","FC Nantes","Left","Young Boys"
"Yassine Benhattab","-","free transfer","FC Nantes","Left","Aubagne FC"
"Patrik Carlgren","€800k","free transfer","FC Nantes","Left","Randers FC"
"Jean-Philippe Gbamin","€2.50m","free transfer","FC Nantes","Left","USL Dunkerque"
"Tino Kadewere","€2.50m","free transfer","FC Nantes","Left","Lyon"
"Anthony Lopes","€1.50m","free transfer","FC Nantes","Left","Lyon"
"Sorba Thomas","€4.20m","loan transfer","FC Nantes","Left","Huddersfield"
"Johann Lepenant","€6.00m","loan transfer","FC Nantes","Left","Lyon"
"Saïdou Sow","€6.00m","loan transfer","FC Nantes","Left","R. Strasbourg"
"Nicolas Cozza","€3.50m","loan transfer","FC Nantes","Left","Wolfsburg"
"Dehmaine Tabibou","€50k","-","FC Nantes","Left","FC Nantes B"
"Francis Coquelin","€1.00m","-","FC Nantes","Left","Without Club"
"Herba Guirassy","-","-","FC Nantes","Left","FC Nantes U19"
"Louis Leroux","-","-","FC Nantes","Left","FC Nantes U19"
"Lohann Doucet","€700k","End of loanJun 30, 2024","FC Nantes","Left","Paris FC"
"Junior Diaz","€400k","End of loanJun 30, 2024","FC Nantes","Left","FC Annecy"
"Lamine Diack","€1.20m","End of loanJun 30, 2024","FC Nantes","Left","Colorado"
"Fabien Centonze","€3.00m","End of loanJun 30, 2024","FC Nantes","Left","Hellas Verona"
"Bastien Meupiyou","€800k","€5.00m","FC Nantes","Joined","Wolves"
"Junior Diaz","€400k","€2.50m","FC Nantes","Joined","Troyes"
"Matthis Abline","€6.00m","End of loanJun 30, 2024€2.00m","FC Nantes","Joined","Stade Rennais"
"Stredair Appuah","€500k","€1.50m","FC Nantes","Joined","Palermo"
"Lohann Doucet","€700k","€300k","FC Nantes","Joined","Paris FC"
"Jean-Philippe Gbamin","€2.00m","free transfer","FC Nantes","Joined","FC Zürich"
"Samuel Moutoussamy","€3.00m","free transfer","FC Nantes","Joined","Sivasspor"
"Rémy Descamps","€1.50m","free transfer","FC Nantes","Joined","Lyon"
"Moussa Sissoko","€1.20m","free transfer","FC Nantes","Joined","Watford"
"Denis Petric","€100k","free transfer","FC Nantes","Joined","Lens"
"Yassine Benhattab","-","loan transfer","FC Nantes","Joined","Aubagne FC"
"Lamine Diack","€1.20m","loan transfer","FC Nantes","Joined","Hatayspor"
"Ignatius Ganago","€1.80m","loan transfer","FC Nantes","Joined","New England"
"Jean-Kévin Duverne","€3.00m","loan transfer","FC Nantes","Joined","KV Kortrijk"
"Abdoul Kader Bamba","€900k","-","FC Nantes","Joined","Without Club"
"Eray Cömert","€4.00m","End of loanJun 30, 2024","FC Nantes","Joined","Valencia"
"Nicolas Cozza","€3.50m","End of loanJun 30, 2024","FC Nantes","Joined","Wolfsburg"
"Bénie Traoré","€4.00m","End of loanJun 30, 2024","FC Nantes","Joined","Sheff Utd"
"Tino Kadewere","€2.50m","End of loanJun 30, 2024","FC Nantes","Joined","Lyon"
"Ismaïl Bouneb","€50k","free transfer","Le Havre AC","Left","VAFC U19"
"Fodé Ballo-Touré","€1.50m","free transfer","Le Havre AC","Left","Milan Futuro"
"Ruben Londja","-","free transfer","Le Havre AC","Left","Lausanne II"
"Yanis Zouaoui","€600k","free transfer","Le Havre AC","Left","FC Martigues"
"Ahmed Hassan","€900k","free transfer","Le Havre AC","Left","Rio Ave"
"Junior Mwanga","€6.00m","loan transfer","Le Havre AC","Left","R. Strasbourg"
"Timothée Pembélé","€2.50m","loan transfer","Le Havre AC","Left","Sunderland"
"Antoine Joujou","€1.50m","loan transfer","Le Havre AC","Left","Parma"
"Mahamadou Diawara","€2.50m","loan transfer","Le Havre AC","Left","Lyon"
"André Ayew","€1.00m","-","Le Havre AC","Left","Without Club"
"Aliou Thiaré","-","-","Le Havre AC","Left","Le Havre B"
"Yoni Gomis","€50k","-","Le Havre AC","Left","Le Havre B"
"Simon Ebonog","€100k","-","Le Havre AC","Left","Le Havre B"
"Paul Argney","€150k","-","Le Havre AC","Left","Le Havre B"
"Mokrane Bentoumi","€50k","-","Le Havre AC","Left","Le Havre B"
"Ilyes Housni","€2.80m","loan transfer","Le Havre AC","Left","PSG"
"Djamal Moussadek","€350k","End of loanJun 30, 2024","Le Havre AC","Left","FC Villefranche"
"Kandet Diawara","€400k","End of loanJun 30, 2024","Le Havre AC","Left","Concarneau"
"Mohamed Koné","€500k","End of loanJun 30, 2024","Le Havre AC","Left","USL Dunkerque"
"Issa Soumaré","€800k","End of loanJun 30, 2024","Le Havre AC","Left","AJ Auxerre"
"Yann Kitala","€700k","End of loanJun 30, 2024","Le Havre AC","Left","Almere City"
"Nassim Chadli","€600k","End of loanJun 30, 2024","Le Havre AC","Left","Concarneau"
"Antoine Joujou","€1.50m","€2.70m","Le Havre AC","Joined","Parma"
"Steve Ngoura","€800k","€2.30m","Le Havre AC","Joined","Cercle Brugge"
"Yoni Gomis","€50k","€2.00m","Le Havre AC","Joined","R. Strasbourg"
"Christopher Operi","€4.00m","€1.30m","Le Havre AC","Joined","Basaksehir"
"Emmanuel Sabbi","€2.00m","€1.00m","Le Havre AC","Joined","Vancouver"
"Oussama Targhalline","€3.00m","€450k","Le Havre AC","Joined","Feyenoord"
"Samuel Grandsir","€1.20m","free transfer","Le Havre AC","Joined","SM Caen"
"Yoann Salmier","€1.20m","free transfer","Le Havre AC","Joined","Clermont Foot"
"Djamal Moussadek","€350k","?","Le Havre AC","Joined","FC Versailles"
"Mohamed Koné","€500k","?","Le Havre AC","Joined","R Charleroi SC"
"Cheick Doumbia","€50k","?","Le Havre AC","Joined","Rodez AF"
"Nassim Chadli","€600k","?","Le Havre AC","Joined","Wydad AC"
"Paul Argney","€100k","loan transfer","Le Havre AC","Joined","Francs Borains"
"Simon Ebonog","€100k","loan transfer","Le Havre AC","Joined","AS Nancy"
"Mokrane Bentoumi","€50k","loan transfer","Le Havre AC","Joined","FC Villefranche"
"Aliou Thiaré","-","loan transfer","Le Havre AC","Joined","AS Nancy"
"André Ayew","€1.00m","-","Le Havre AC","Joined","Without Club"
"Kandet Diawara","€400k","loan transfer","Le Havre AC","Joined","Pau FC"
"Mohamed Bayo","€5.00m","End of loanJun 30, 2024","Le Havre AC","Joined","Lille"
"Lasso Coulibaly","€1.50m","€2.00m","AJ Auxerre","Left","Nordsjaelland"
"Theo Bair","€1.00m","€1.90m","AJ Auxerre","Left","Motherwell FC"
"Fredrik Oppegård","€600k","€500k","AJ Auxerre","Left","PSV"
"Sinaly Diomandé","€4.00m","free transfer","AJ Auxerre","Left","Lyon"
"Tom Negrel","-","free transfer","AJ Auxerre","Left","LOSC Lille B"
"Gabriel Osho","€3.00m","free transfer","AJ Auxerre","Left","Luton"
"Nathan Buayi-Kiala","€200k","?","AJ Auxerre","Left","Parma"
"Ki-Jana Hoever","€4.50m","loan transfer","AJ Auxerre","Left","Wolves"
"Hamed Traoré","€17.00m","loan transfer","AJ Auxerre","Left","Bournemouth"
"Han-Noah Massengo","€3.00m","loan transfer","AJ Auxerre","Left","Burnley"
"Victor Mayela","-","-","AJ Auxerre","Left","AJ Auxerre B"
"Ousmane Camara","€700k","End of loanJun 30, 2024","AJ Auxerre","Left","FC Annecy"
"Nicolas Mercier","€300k","End of loanJun 30, 2024","AJ Auxerre","Left","KMSK Deinze"
"Brayann Pereira","€700k","End of loanJun 30, 2024","AJ Auxerre","Left","NEC Nijmegen"
"Gauthier Hein","€3.00m","€3.00m","AJ Auxerre","Joined","FC Metz"
"Rayan Raveloson","€2.00m","€1.50m","AJ Auxerre","Joined","Young Boys"
"Ousmane Camara","€700k","€500k","AJ Auxerre","Joined","Castellón"
"Brayann Pereira","€700k","€400k","AJ Auxerre","Joined","NEC Nijmegen"
"Théo Pellenard","€800k","free transfer","AJ Auxerre","Joined","Stade Lavallois"
"Nicolas Mercier","€300k","loan transfer","AJ Auxerre","Joined","Paris 13 Atl."
"Saad Agouzoul","€500k","loan transfer","AJ Auxerre","Joined","Radomiak"
"Victor Mayela","-","loan transfer","AJ Auxerre","Joined","FC Sochaux"
"Sonny Laiton","€150k","-","AJ Auxerre","Joined","Without Club"
"Nathan Buayi-Kiala","€200k","End of loanJun 30, 2024","AJ Auxerre","Joined","Parma"
"Issa Soumaré","€800k","End of loanJun 30, 2024","AJ Auxerre","Joined","Le Havre AC"
"Colin Dagba","€1.20m","End of loanJun 30, 2024","AJ Auxerre","Joined","PSG"
"Jim Allevinah","€2.00m","free transfer","Angers SCO","Left","Clermont Foot"
"Jean-Eudes Aholou","€800k","free transfer","Angers SCO","Left","R. Strasbourg"
"Carlens Arcus","€700k","free transfer","Angers SCO","Left","Vitesse"
"Emmanuel Biumla","€400k","free transfer","Angers SCO","Left","G. Bordeaux"
"Jacques Ekomié","€700k","free transfer","Angers SCO","Left","G. Bordeaux"
"Haris Belkebla","€1.70m","free transfer","Angers SCO","Left","Ohod Club"
"Bamba Dieng","€4.00m","loan transfer","Angers SCO","Left","FC Lorient"
"Marius Courcoul","€50k","-","Angers SCO","Left","Angers SCO B"
"Marin Jakolis","€700k","End of loanJun 30, 2024","Angers SCO","Left","Melbourne City"
"Halid Sabanovic","€250k","End of loanJun 30, 2024","Angers SCO","Left","Valenciennes FC"
"Yan Valery","€2.00m","€474k","Angers SCO","Joined","Sheff Wed"
"Marin Jakolis","€700k","free transfer","Angers SCO","Joined","Macarthur"
"Joseph Lopy","€400k","free transfer","Angers SCO","Joined","Pau FC"
"Guédé Nadje","€50k","loan transfer","Angers SCO","Joined","Bourg-en-Bresse"
"Loïs Diony","€1.80m","loan transfer","Angers SCO","Joined","Bandirma Spor"
"Lucas Stassin","€3.00m","€10.00m","AS Saint-Étienne","Left","KVC Westerlo"
"Zuriko Davitashvili","€3.00m","€6.00m","AS Saint-Étienne","Left","G. Bordeaux"
"Augustine Boakye","€3.00m","€3.00m","AS Saint-Étienne","Left","Wolfsberger AC"
"Igor Miladinovic","€3.20m","€3.00m","AS Saint-Étienne","Left","Cukaricki"
"Pierre Cornud","€1.20m","€1.10m","AS Saint-Étienne","Left","Maccabi Haifa"
"Yunis Abdelhamid","€600k","free transfer","AS Saint-Étienne","Left","Stade Reims"
"Ben Old","€400k","free transfer","AS Saint-Étienne","Left","Wellington"
"Brice Maubleu","€350k","?","AS Saint-Étienne","Left","Grenoble"
"Maxime Bernauer","€2.00m","loan transfer","AS Saint-Étienne","Left","Dinamo Zagreb"
"Pierre Ekwah","€2.80m","loan transfer","AS Saint-Étienne","Left","Sunderland"
"Irvin Cardona","€2.00m","loan transfer","AS Saint-Étienne","Left","Augsburg"
"Djylian N'Guessan","-","-","AS Saint-Étienne","Left","Saint-Étienne B"
"Ayman Aiki","€150k","-","AS Saint-Étienne","Left","Saint-Étienne B"
"Beres Owusu","-","-","AS Saint-Étienne","Left","Saint-Étienne B"
"Mathis Amougou","€300k","-","AS Saint-Étienne","Left","Saint-Étienne B"
"Darling Bladi","€50k","-","AS Saint-Étienne","Left","Saint-Étienne B"
"Louis Mouton","€600k","End of loanJun 30, 2024","AS Saint-Étienne","Left","Pau FC"
"Mathis Amougou","€5.00m","€15.00m","AS Saint-Étienne","Joined","Chelsea"
"Thomas Monconduit","€300k","free transfer","AS Saint-Étienne","Joined","Amiens SC"
"Maxence Rivera","€300k","free transfer","AS Saint-Étienne","Joined","USL Dunkerque"
"Etienne Green","€700k","free transfer","AS Saint-Étienne","Joined","Burnley"
