Player, Nation, Position, Team, League, Age, YearBorn, MatchesPlayed, Starts, Mins, 90s, GoalsAgainst,GoalsAgainst90, ShotsOnTargetAgainst, Saves,Save%,W,D,L,CleanSheet, CleanSheet%, PKatt,PKAllowed,PKSaved,PKMissed,PKSave% 
"Rob Elliot","ieIRL","GK","Newcastle Utd","engPremier League","31","1986","16","16","1,440","16.0","21","1.31","64","43","68.8","5","2","9","3","18.8","2","1","1","0","50.0",
"Michael Esser","deGER","GK","Hannover 96","deBundesliga","29","1987","3","3","270","3.0","9","3.00","20","11","55.0","1","0","2","0","0.0","1","0","0","1","",
"Łukasz Fabiański","plPOL","GK","Swansea City","engPremier League","32","1985","38","38","3,420","38.0","56","1.47","190","133","72.1","8","9","21","9","23.7","6","3","3","0","50.0",
"Ralf Fährmann","deGER","GK","Schalke 04","deBundesliga","28","1988","34","34","3,015","33.5","37","1.10","127","89","73.2","18","9","7","12","35.3","6","3","2","1","40.0",
"Andrés Fernández","esESP","GK","Villarreal","esLa Liga","30","1986","3","3","225","2.5","6","2.40","16","10","68.8","0","1","2","0","0.0","1","1","0","0","0.0",
"Raúl Fernández","esESP","GK","Levante","esLa Liga","29","1988","11","11","990","11.0","15","1.36","53","38","71.7","2","6","3","3","27.3","0","0","0","0","",
"Fraser Forster","engENG","GK","Southampton","engPremier League","29","1988","20","20","1,800","20.0","30","1.50","97","66","69.1","4","7","9","4","20.0","1","0","1","0","100.0",
"Ben Foster","engENG","GK","West Brom","engPremier League","34","1983","37","37","3,330","37.0","55","1.49","151","98","64.2","6","12","19","10","27.0","1","1","0","0","0.0",
"Paulo Gazzaniga","arARG","GK","Tottenham","engPremier League","25","1992","1","1","90","1.0","0","0.00","3","3","100.0","1","0","0","1","100.0","0","0","0","0","",
"David de Gea","esESP","GK","Manchester Utd","engPremier League","26","1990","37","37","3,330","37.0","28","0.76","140","114","80.7","24","6","7","18","48.6","1","1","0","0","0.0",
"Rafał Gikiewicz","plPOL","GK","Freiburg","deBundesliga","29","1987","2","1","154","1.7","3","1.75","7","4","57.1","0","1","0","0","0.0","0","0","0","0","",
"Dani Giménez","esESP","GK","Betis","esLa Liga","34","1983","4","4","309","3.4","0","0.00","8","8","100.0","3","1","0","3","75.0","0","0","0","0","",
"Pierluigi Gollini","itITA","GK","Atalanta","itSerie A","22","1995","7","7","622","6.9","4","0.58","17","13","76.5","3","2","2","3","42.9","0","0","0","0","",
"Heurelho Gomes","brBRA","GK","Watford","engPremier League","36","1981","24","24","2,128","23.6","40","1.69","100","61","63.0","7","5","12","5","20.8","3","3","0","0","0.0",
"Alfred Gomis","snSEN","GK","SPAL","itSerie A","23","1993","26","25","2,261","25.1","43","1.71","140","98","73.6","6","7","12","3","12.0","7","6","1","0","14.3",
"Mathieu Gorgelin","frFRA","GK","Lyon","frLigue 1","26","1990","4","4","360","4.0","6","1.50","13","7","53.8","2","1","1","1","25.0","0","0","0","0","",
"Lee Grant","engENG","GK","Stoke City","engPremier League","34","1983","3","3","270","3.0","7","2.33","15","8","53.3","0","1","2","0","0.0","0","0","0","0","",
"Vicente Guaita","esESP","GK","Getafe","esLa Liga","30","1987","33","33","2,970","33.0","26","0.79","111","84","77.5","13","9","11","12","36.4","3","1","1","1","50.0",
