Player, Nation, Position, Club, League, Age, YearBorn, 90s, Tkl, TklW, Def3rdTkl, Mid3rdTkl,Att3rdTkl,DribblersTkl,DribblersTklAtt,DribblersTkl%,DribblersTklLost,Blocks,ShotBlocks,PassBlocks,Interceptions, Interceptions+Tkl, Clearences, ErrorsLeadingToShot, Matches
"Thibaut Courtois","beBEL","GK","Real Madrid","esLa Liga","26","1992","27.0","0","0","0","0","0","0","2","0.0","2","0","0","0","2","2","5","0",
"Philippe Coutinho","brBRA","FW,MF","Barcelona","esLa Liga","26","1992","22.4","16","11","1","6","9","7","22","31.8","15","21","2","19","12","28","8","0",
"Nicolas Cozza","frFRA","DF","Montpellier","frLigue 1","19","1999","10.9","19","15","14","5","0","4","10","40.0","6","13","10","3","23","42","37","1",
"Alessio Cragno","itITA","GK","Cagliari","itSerie A","24","1994","38.0","0","0","0","0","0","0","1","0.0","1","0","0","0","2","2","19","1",
"Aaron Cresswell","engENG","DF","West Ham","engPremier League","28","1989","17.7","29","16","14","11","4","13","25","52.0","12","28","7","21","23","52","58","0",
"Domenico Criscito","itITA","DF","Genoa","itSerie A","31","1986","34.1","111","75","64","36","11","57","83","68.7","26","40","11","29","70","181","142","0",
"Lorenzo Crisetig","itITA","MF","Frosinone","itSerie A","25","1993","5.6","14","11","4","8","2","6","15","40.0","9","8","3","5","12","26","12","0",
"Bryan Cristante","itITA","MF","Roma","itSerie A","23","1995","26.9","63","34","21","35","7","19","49","38.8","30","37","5","32","29","92","48","0",
"Sebastián Cristóforo","uyURU","MF","Getafe","esLa Liga","24","1993","5.0","15","8","4","8","3","5","14","35.7","9","13","0","13","8","23","5","0",
"Enzo Crivelli","frFRA","FW","Caen","frLigue 1","23","1995","25.1","20","14","10","8","2","8","13","61.5","5","5","0","5","4","24","28","1",
"Peter Crouch","engENG","FW","Burnley","engPremier League","37","1981","1.0","1","1","0","1","0","1","1","100.0","0","0","0","0","0","1","2","0",
"Alessio da Cruz","cvCPV","FW,MF","Parma","itSerie A","21","1997","1.6","2","1","0","2","0","0","1","0.0","1","0","0","0","0","2","0","0",
"Juan Cuadrado","coCOL","MF,DF","Juventus","itSerie A","30","1988","13.6","20","15","6","9","5","5","23","21.7","18","14","3","11","18","38","11","0",
"Cucho","coCOL","FW","Huesca","esLa Liga","19","1999","23.9","22","13","6","10","6","6","18","33.3","12","23","2","21","9","31","21","0",
