Name, Nation, Position, Club, League, Age, YearBorn,MP,Mins,Mn/MP,Min%, 90s,Starts,Mn/Start,CompleteMatches,Subs,Mn/Sub, unusedSub, PointsPerMatch, GoalsScoredOnPitch,GoalsAllowedOnPitch,Scored-Allowed, Scored-Allowed90,gOnOffPlusMinus90,XgGoalsScoredOnPitch,XgGoalsAllowedOnPitch,XgScored-Allowed, XgScored-Allowed90, XgOnOffPlusMinus90
"Amir Abrashi","alALB","MF","Freiburg","deBundesliga","29","1990","13","663","51","21.7","7.4","8","74","3","5","14","14","1.62","9","9","0","0.00","-0.04","9.6","12.2","-2.6","-0.35","+0.22",
"Francesco Acerbi","itITA","DF","Lazio","itSerie A","31","1988","36","3,162","88","92.5","35.1","36","88","32","0","","1","2.00","74","38","+36","+1.02","+0.68","62.9","46.9","+16.0","+0.45","+0.14",
"Che Adams","sctSCO","FW","Southampton","engPremier League","23","1996","30","1,111","37","32.5","12.3","12","73","0","18","13","6","1.47","17","17","0","0.00","+0.35","20.0","17.7","+2.3","+0.19","+0.15",
"Tyler Adams","usUSA","MF,DF","RB Leipzig","deBundesliga","20","1999","14","953","68","31.1","10.6","10","82","4","4","33","1","1.71","14","13","+1","+0.09","-1.74","17.6","11.3","+6.2","+0.59","-0.54",
"Sargis Adamyan","amARM","FW,MF","Hoffenheim","deBundesliga","26","1993","15","746","50","24.4","8.3","6","80","2","9","30","3","1.93","16","10","+6","+0.72","+0.96","15.3","16.3","-0.9","-0.11","-0.02",
"Antonio Adán","esESP","GK","Atlético Madrid","esLa Liga","32","1987","1","25","25","0.7","0.3","0","","0","1","25","37","0.00","0","0","0","0.00","-0.64","0.7","0.1","+0.6","+2.27","+1.64",
"Bobby Adekanye","nlNED","FW","Lazio","itSerie A","20","1999","11","188","17","5.5","2.1","0","","0","11","17","21","1.45","3","5","-2","-0.96","-2.04","5.8","3.4","+2.3","+1.12","+0.72",
"Claud Adjapong","itITA","DF","Hellas Verona","itSerie A","21","1998","5","231","46","6.8","2.6","2","90","2","3","17","26","0.60","5","7","-2","-0.78","-0.72","3.2","4.8","-1.6","-0.62","-0.58",
"Amine Adli","maMAR","MF,FW","Toulouse","frLigue 1","19","2000","4","46","12","1.8","0.5","0","","0","4","11","3","0.00","0","0","0","0.00","+1.31","0.6","0.7","-0.1","-0.18","+0.32",
"Yacine Adli","frFRA","MF","Bordeaux","frLigue 1","19","2000","21","1,020","49","40.5","11.3","11","76","3","10","19","1","1.33","17","11","+6","+0.53","+0.53","11.3","11.9","-0.6","-0.05","+0.31",
