Player, Nation, Position, Club, League, Age, YearBorn, 90s, Goals, Shots, SoT, SoT%, Sh/90, SoT/90,G/Sh,G/SoT,DistAvg, FKAtt,PKMade,PKAtt, xG, npxG, npxG/Sh, G-xG, np:G-xG, Matches
"Mykola Kukharevych","uaUKR","FW","Troyes","frLigue 1","20","2001","0.2","0","1","0","0.0","6.00","0.00","0.00","","10.5","0","0","0","0.1","0.1","0.06","-0.1","-0.1",
"Dejan Kulusevski","seSWE","MF,FW","Tottenham","engPremier League","21","2000","14.0","5","26","9","34.6","1.86","0.64","0.19","0.56","16.9","0","0","0","2.7","2.7","0.11","+2.3","+2.3",
"Dejan Kulusevski","seSWE","FW,MF","Juventus","itSerie A","21","2000","8.6","1","18","6","33.3","2.10","0.70","0.06","0.17","15.1","0","0","0","1.7","1.7","0.10","-0.7","-0.7",
"Marash Kumbulla","alALB","DF","Roma","itSerie A","21","2000","11.4","0","7","3","42.9","0.61","0.26","0.00","0.00","6.7","0","0","0","0.8","0.8","0.12","-0.8","-0.8",
"Fabian Kunze","deGER","MF","Arminia","deBundesliga","23","1998","14.0","0","11","1","9.1","0.79","0.07","0.00","0.00","26.1","0","0","0","0.4","0.4","0.04","-0.4","-0.4",
"Enock Kwateng","frFRA","DF","Bordeaux","frLigue 1","24","1997","22.2","1","7","3","42.9","0.31","0.13","0.14","0.33","16.7","0","0","0","0.3","0.3","0.04","+0.7","+0.7",
"Grejohn Kyei","frFRA","FW","Clermont Foot","frLigue 1","25","1995","4.4","0","11","3","27.3","2.50","0.68","0.00","0.00","9.5","0","0","0","1.9","1.9","0.17","-1.9","-1.9",
"Giorgos Kyriakopoulos","grGRE","DF,FW","Sassuolo","itSerie A","25","1996","21.9","0","30","10","33.3","1.37","0.46","0.00","0.00","23.2","0","0","0","1.1","1.1","0.04","-1.1","-1.1",
"Andrea La Mantia","itITA","FW,MF","Empoli","itSerie A","30","1991","5.4","2","17","3","17.6","3.14","0.55","0.12","0.67","11.1","0","0","0","1.8","1.8","0.11","+0.2","+0.2",
"Gaëtan Laborde","frFRA","FW","Montpellier","frLigue 1","27","1994","3.8","3","14","4","28.6","3.70","1.06","0.21","0.75","15.5","0","0","0","1.6","1.6","0.13","+1.4","+1.4",
"Gaëtan Laborde","frFRA","FW","Rennes","frLigue 1","27","1994","30.3","12","84","32","38.1","2.77","1.06","0.12","0.31","12.4","0","2","2","14.9","13.3","0.16","-2.9","-3.3",
"Alexandre Lacazette","frFRA","FW","Arsenal","engPremier League","30","1991","19.8","4","43","12","27.9","2.17","0.61","0.05","0.17","15.4","1","2","3","8.4","6.0","0.14","-4.4","-4.0",
"Tom Lacoux","frFRA","DF,MF","Bordeaux","frLigue 1","19","2002","10.1","0","2","0","0.0","0.20","0.00","0.00","","29.5","0","0","0","0.0","0.0","0.01","0.0","0.0",
"Lenny Lacroix","frFRA","DF","Metz","frLigue 1","18","2003","2.2","0","2","0","0.0","0.90","0.00","0.00","","8.8","0","0","0","0.1","0.1","0.06","-0.1","-0.1",
"Maxence Lacroix","frFRA","DF","Wolfsburg","deBundesliga","21","2000","27.7","0","17","3","17.6","0.61","0.11","0.00","0.00","14.0","0","0","0","1.5","1.5","0.09","-1.5","-1.5",
"Alban Lafont","ciCIV","GK","Nantes","frLigue 1","22","1999","38.0","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Víctor Laguardia","esESP","DF","Alavés","esLa Liga","31","1989","33.8","3","13","5","38.5","0.38","0.15","0.23","0.60","9.5","0","0","0","2.0","2.0","0.15","+1.0","+1.0",
"Konrad Laimer","atAUT","MF","RB Leipzig","deBundesliga","24","1997","13.8","4","15","7","46.7","1.09","0.51","0.27","0.57","18.3","0","0","0","2.4","2.4","0.16","+1.6","+1.6",
"Stefan Lainer","atAUT","DF","Gladbach","deBundesliga","28","1992","16.3","1","12","2","16.7","0.73","0.12","0.08","0.50","14.7","0","0","0","0.7","0.7","0.06","+0.3","+0.3",
"Diego Lainez","mxMEX","FW","Betis","esLa Liga","21","2000","1.6","0","1","1","100.0","0.64","0.64","0.00","0.00","18.0","0","0","0","0.1","0.1","0.10","-0.1","-0.1",
"Adam Lallana","engENG","MF","Brighton","engPremier League","33","1988","17.3","0","19","4","21.1","1.10","0.23","0.00","0.00","19.8","0","0","0","1.1","1.1","0.06","-1.1","-1.1",
"Vassilis Lambropoulos","grGRE","DF","Bochum","deBundesliga","31","1990","13.0","0","4","1","25.0","0.31","0.08","0.00","0.00","12.0","0","0","0","0.2","0.2","0.06","-0.2","-0.2",
"Érik Lamela","arARG","FW,MF","Sevilla","esLa Liga","29","1992","11.3","5","21","12","57.1","1.86","1.06","0.24","0.42","16.1","0","0","0","3.1","3.1","0.15","+1.9","+1.9",
"Mohamed Lamine Bayo","gnGUI","FW","Clermont Foot","frLigue 1","23","1998","26.8","14","63","26","41.3","2.35","0.97","0.19","0.46","13.1","0","2","3","14.4","11.9","0.19","-0.4","+0.1",
"Didier Lamkel Zé","cmCMR","FW","Metz","frLigue 1","24","1996","6.7","3","14","7","50.0","2.08","1.04","0.21","0.43","12.9","0","0","0","2.3","2.3","0.17","+0.7","+0.7",
"Sam Lammers","nlNED","FW,MF","Atalanta","itSerie A","24","1997","0.4","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Sam Lammers","nlNED","FW,MF","Eint Frankfurt","deBundesliga","24","1997","5.7","1","12","4","33.3","2.09","0.70","0.08","0.25","12.9","0","0","0","1.1","1.1","0.09","-0.1","-0.1",
"Tariq Lamptey","ghGHA","DF,FW","Brighton","engPremier League","20","2000","17.3","0","19","4","21.1","1.10","0.23","0.00","0.00","20.0","0","0","0","0.8","0.8","0.04","-0.8","-0.8",
"Manuel Lanzini","arARG","MF,FW","West Ham","engPremier League","28","1993","19.8","5","13","4","30.8","0.66","0.20","0.15","0.50","23.1","1","3","3","3.7","1.3","0.10","+1.3","+0.7",
"Aymeric Laporte","esESP","DF","Manchester City","engPremier League","27","1994","31.4","4","35","7","20.0","1.11","0.22","0.11","0.57","11.6","0","0","0","4.9","4.9","0.14","-0.9","-0.9",
"Julien Laporte","frFRA","DF","Lorient","frLigue 1","27","1993","32.1","2","17","3","17.6","0.53","0.09","0.12","0.67","13.5","0","0","0","1.9","1.9","0.11","+0.1","+0.1",
"Yasser Larouci","dzALG","DF","Troyes","frLigue 1","20","2001","3.8","0","3","1","33.3","0.79","0.26","0.00","0.00","20.3","0","0","0","0.1","0.1","0.04","-0.1","-0.1",
"Kevin Lasagna","itITA","MF,FW","Hellas Verona","itSerie A","28","1992","13.2","2","41","16","39.0","3.12","1.22","0.05","0.13","16.7","0","0","0","3.3","3.3","0.08","-1.3","-1.3",
