Player, Nation, Position, Club, League, Age, YearBorn, 90s, Goals, Shots, SoT, SoT%, Sh/90, SoT/90,G/Sh,G/SoT,DistAvg, FKAtt,PKMade,PKAtt, xG, npxG, npxG/Sh, G-xG, np:G-xG, Matches"
"Jan Bednarek","plPOL","DF","Southampton","engPremier League","22","1996","23.9","0","5","1","20.0","0.21","0.04","0.00","0.00","7.5","0","0","0","0.8","0.8","0.16","-0.8","-0.8",
"Andrea Beghetto","itITA","DF","Frosinone","itSerie A","23","1994","24.7","0","23","3","13.0","0.93","0.12","0.00","0.00","23.3","2","0","0","1.0","1.0","0.04","-1.0","-1.0",
"Asmir Begović","baBIH","GK","Bournemouth","engPremier League","31","1987","24.0","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Valon Behrami","chSUI","MF","Udinese","itSerie A","33","1985","15.1","1","9","2","22.2","0.60","0.13","0.11","0.50","19.5","0","0","0","0.8","0.8","0.09","+0.2","+0.2",
"Hanno Behrens","deGER","MF","Nürnberg","deBundesliga","28","1990","29.3","4","35","6","17.1","1.19","0.20","0.06","0.33","17.4","0","2","4","7.9","4.8","0.14","-3.9","-2.8",
"Ishak Belfodil","dzALG","FW,MF","Hoffenheim","deBundesliga","26","1992","20.7","16","88","36","40.9","4.25","1.74","0.18","0.44","13.2","1","0","0","12.3","12.3","0.14","+3.7","+3.7",
"Stefan Bell","deGER","DF","Mainz 05","deBundesliga","26","1991","25.0","0","17","4","23.5","0.68","0.16","0.00","0.00","13.4","0","0","0","1.6","1.6","0.09","-1.6","-1.6",
"Karim Bellarabi","deGER","FW","Leverkusen","deBundesliga","28","1990","11.7","5","42","11","26.2","3.58","0.94","0.12","0.45","19.7","0","0","0","3.3","3.3","0.08","+1.7","+1.7",
"Héctor Bellerín","esESP","DF","Arsenal","engPremier League","23","1995","17.0","0","18","4","22.2","1.06","0.23","0.00","0.00","18.5","0","0","0","0.9","0.9","0.05","-0.9","-0.9",
"Nicky Beloko","chSUI","FW,MF","Fiorentina","itSerie A","18","2000","0.5","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Andrea Belotti","itITA","FW","Torino","itSerie A","24","1993","36.7","15","119","42","35.3","3.25","1.15","0.08","0.24","16.4","6","5","6","17.3","12.6","0.11","-2.3","-2.6",
"Fran Beltrán","esESP","MF","Celta Vigo","esLa Liga","19","1999","16.9","1","17","3","17.6","1.01","0.18","0.06","0.33","22.7","0","0","0","1.2","1.2","0.07","-0.2","-0.2",
"Hatem Ben Arfa","frFRA","FW,MF","Rennes","frLigue 1","31","1987","22.6","7","51","13","25.5","2.26","0.58","0.10","0.38","22.6","10","2","3","7.0","4.6","0.09","0.0","+0.4",
"Wissam Ben Yedder","frFRA","FW","Sevilla","esLa Liga","27","1990","31.2","18","74","34","45.9","2.37","1.09","0.22","0.47","12.0","0","2","2","18.0","16.4","0.22","0.0","-0.4",
"Diego Benaglio","chSUI","GK","Monaco","frLigue 1","34","1983","22.9","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Marco Benassi","itITA","MF","Fiorentina","itSerie A","23","1994","25.4","7","59","20","33.9","2.33","0.79","0.12","0.35","17.9","0","0","0","5.6","5.6","0.10","+1.4","+1.4",
"Medhi Benatia","maMAR","DF","Juventus","itSerie A","31","1987","5.0","0","3","0","0.0","0.60","0.00","0.00","","14.3","0","0","0","0.1","0.1","0.05","-0.1","-0.1",
"Lars Bender","deGER","MF,DF","Leverkusen","deBundesliga","29","1989","15.1","1","16","5","31.3","1.06","0.33","0.06","0.20","16.6","0","0","0","1.1","1.1","0.07","-0.1","-0.1",
"Sven Bender","deGER","DF","Leverkusen","deBundesliga","29","1989","22.1","0","14","3","21.4","0.63","0.14","0.00","0.00","13.0","0","0","0","0.9","0.9","0.07","-0.9","-0.9",
"László Bénes","skSVK","MF,FW","Gladbach","deBundesliga","20","1997","0.3","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Nicolas Benezet","frFRA","MF,FW","Guingamp","frLigue 1","27","1991","18.5","3","28","8","28.6","1.51","0.43","0.11","0.38","15.9","3","0","0","3.1","3.1","0.11","-0.1","-0.1",
"Walter Benítez","arARG","GK","Nice","frLigue 1","25","1993","35.0","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Ismaël Bennacer","dzALG","MF","Empoli","itSerie A","20","1997","32.9","0","19","5","26.3","0.58","0.15","0.00","0.00","27.1","4","0","0","0.6","0.6","0.03","-0.6","-0.6",
"Joe Bennett","engENG","DF","Cardiff City","engPremier League","28","1990","29.3","0","10","3","30.0","0.34","0.10","0.00","0.00","23.8","3","0","0","0.5","0.5","0.05","-0.5","-0.5",
"Ryan Bennett","engENG","DF","Wolves","engPremier League","28","1990","34.0","1","15","4","26.7","0.44","0.12","0.07","0.25","12.5","0","0","0","1.3","1.3","0.08","-0.3","-0.3",
"Yassine Benrahou","frFRA","MF,FW","Bordeaux","frLigue 1","19","1999","2.0","0","6","4","66.7","3.05","2.03","0.00","0.00","21.0","2","0","0","0.3","0.3","0.05","-0.3","-0.3",
"Ramy Bensebaini","dzALG","DF","Rennes","frLigue 1","23","1995","23.9","1","17","3","17.6","0.71","0.13","0.06","0.33","18.5","0","0","0","1.2","1.2","0.07","-0.2","-0.2",
"Nabil Bentaleb","dzALG","MF","Schalke 04","deBundesliga","23","1994","19.9","3","18","4","22.2","0.90","0.20","0.00","0.00","27.9","1","3","3","3.5","1.1","0.06","-0.5","-1.1",
"Rodrigo Bentancur","uyURU","MF","Juventus","itSerie A","21","1997","22.3","2","21","3","14.3","0.94","0.13","0.10","0.67","22.8","0","0","0","1.5","1.5","0.07","+0.5","+0.5",
"Christian Benteke","beBEL","FW","Crystal Palace","engPremier League","27","1990","9.0","1","26","8","30.8","2.87","0.88","0.04","0.13","11.9","0","0","0","3.4","3.4","0.13","-2.4","-2.4",
"Karim Benzema","frFRA","FW","Real Madrid","esLa Liga","30","1987","32.8","21","101","41","40.6","3.08","1.25","0.18","0.44","14.0","0","3","3","17.7","15.3","0.15","+3.3","+2.7",
"Yassine Benzia","dzALG","MF","Lille","frLigue 1","23","1994","1.8","0","6","1","16.7","3.38","0.56","0.00","0.00","25.0","1","0","0","0.2","0.2","0.04","-0.2","-0.2",
"Domenico Berardi","itITA","FW,MF","Sassuolo","itSerie A","23","1994","31.9","8","125","30","24.0","3.91","0.94","0.06","0.23","22.9","13","1","1","8.9","8.1","0.07","-0.9","-1.1",
"Yuri Berchiche","esESP","DF,FW","Athletic Club","esLa Liga","28","1990","34.7","2","29","6","20.7","0.84","0.17","0.07","0.33","21.2","0","0","0","1.2","1.2","0.04","+0.8","+0.8",
"Álex Berenguer","esESP","MF,DF","Torino","itSerie A","23","1995","16.5","2","22","7","31.8","1.33","0.42","0.09","0.29","20.2","0","0","0","1.0","1.0","0.04","+1.0","+1.0",
