Player, Nation, Position, Club, League, Age, YearBorn, 90s, Goals, Shots, SoT, SoT%, Sh/90, SoT/90,G/Sh,G/SoT,DistAvg, FKAtt,PKMade,PKAtt, xG, npxG, npxG/Sh, G-xG, np:G-xG, Matches"
"Jonás Ramalho","esESP","DF","Girona","esLa Liga","25","1993","18.0","1","7","2","28.6","0.39","0.11","0.14","0.50","11.1","0","0","0","0.8","0.8","0.11","+0.2","+0.2",
"Benito Raman","beBEL","MF,FW","Düsseldorf","deBundesliga","23","1994","18.7","10","55","26","47.3","2.94","1.39","0.18","0.38","16.9","0","0","0","7.4","7.4","0.14","+2.6","+2.6",
"Adil Rami","frFRA","DF","Marseille","frLigue 1","32","1985","15.7","1","14","2","14.3","0.89","0.13","0.07","0.50","9.2","0","0","0","1.6","1.6","0.12","-0.6","-0.6",
"Gastón Ramírez","uyURU","MF","Sampdoria","itSerie A","27","1990","17.5","4","27","11","40.7","1.54","0.63","0.15","0.36","20.3","4","0","0","1.8","1.8","0.07","+2.2","+2.2",
"Sandro Ramírez","esESP","FW,MF","Real Sociedad","esLa Liga","23","1995","11.7","0","42","12","28.6","3.58","1.02","0.00","0.00","19.5","4","0","0","2.5","2.5","0.06","-2.5","-2.5",
"Iván Ramis","esESP","DF","Eibar","esLa Liga","33","1984","18.6","0","17","3","17.6","0.91","0.16","0.00","0.00","11.8","0","0","0","1.3","1.3","0.08","-1.3","-1.3",
"Chris Ramos","esESP","FW","Valladolid","esLa Liga","21","1997","0.7","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Sergio Ramos","esESP","DF","Real Madrid","esLa Liga","32","1986","27.5","6","26","8","30.8","0.95","0.29","0.04","0.13","16.4","3","5","5","7.1","3.2","0.12","-1.1","-2.2",
"Aaron Ramsey","wlsWAL","MF","Arsenal","engPremier League","27","1990","14.8","4","33","13","39.4","2.23","0.88","0.12","0.31","17.2","0","0","0","3.4","3.4","0.10","+0.6","+0.6",
"Kayne Ramsey","engENG","DF","Southampton","engPremier League","17","2000","1.0","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Andrea Ranocchia","itITA","DF,FW","Inter","itSerie A","30","1988","0.7","0","2","1","50.0","2.90","1.45","0.00","0.00","13.0","0","0","0","0.1","0.1","0.06","-0.1","-0.1",
"Marcus Rashford","engENG","FW","Manchester Utd","engPremier League","20","1997","25.9","10","84","39","46.4","3.24","1.50","0.12","0.26","19.2","12","0","0","10.7","10.7","0.13","-0.7","-0.7",
"Milot Rashica","xkKVX","FW,MF","Werder Bremen","deBundesliga","22","1996","17.2","9","58","24","41.4","3.37","1.39","0.14","0.33","21.0","5","1","1","7.0","6.2","0.11","+2.0","+1.8",
"Jacob Rasmussen","dkDEN","DF,MF","Empoli","itSerie A","21","1997","11.3","0","3","0","0.0","0.27","0.00","0.00","","9.0","0","0","0","0.2","0.2","0.07","-0.2","-0.2",
"Giacomo Raspadori","itITA","DF","Sassuolo","itSerie A","18","2000","0.0","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Yoric Ravet","frFRA","FW,MF","Freiburg","deBundesliga","28","1989","0.8","0","1","0","0.0","1.20","0.00","0.00","","21.4","0","0","0","0.1","0.1","0.06","-0.1","-0.1",
"Tim Ream","usUSA","DF","Fulham","engPremier League","30","1987","22.7","0","1","0","0.0","0.04","0.00","0.00","","23.2","0","0","0","0.0","0.0","0.03","0.0","0.0",
"Ante Rebić","hrCRO","FW,MF","Eint Frankfurt","deBundesliga","24","1993","22.0","9","61","28","45.9","2.78","1.27","0.15","0.32","16.7","2","0","0","9.2","9.2","0.16","-0.2","-0.2",
"Pedro Rebocho","ptPOR","DF","Guingamp","frLigue 1","23","1995","36.0","0","18","5","27.8","0.50","0.14","0.00","0.00","23.9","4","0","0","0.8","0.8","0.04","-0.8","-0.8",
"Arkadiusz Reca","plPOL","DF","Atalanta","itSerie A","23","1995","0.5","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Recio","esESP","MF","Leganés","esLa Liga","27","1991","14.3","0","10","4","40.0","0.70","0.28","0.00","0.00","23.9","0","0","0","0.3","0.3","0.03","-0.3","-0.3",
"Nathan Redmond","engENG","MF,FW","Southampton","engPremier League","24","1994","36.3","6","74","22","29.7","2.04","0.61","0.08","0.27","19.9","3","0","0","7.6","7.6","0.11","-1.6","-1.6",
"Vasco Regini","itITA","DF,FW","SPAL","itSerie A","27","1990","0.9","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Sergio Reguilón","esESP","DF","Real Madrid","esLa Liga","21","1996","12.4","0","6","0","0.0","0.48","0.00","0.00","","20.4","0","0","0","0.2","0.2","0.04","-0.2","-0.2",
"Pepe Reina","esESP","GK","Milan","itSerie A","35","1982","3.7","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Jeff Reine-Adélaïde","frFRA","FW,MF","Angers","frLigue 1","20","1998","28.4","3","36","14","38.9","1.27","0.49","0.08","0.21","18.7","0","0","1","5.5","4.7","0.13","-2.5","-1.7",
"Karim Rekik","nlNED","DF","Hertha BSC","deBundesliga","23","1994","23.0","0","7","2","28.6","0.30","0.09","0.00","0.00","14.6","0","0","0","0.6","0.6","0.08","-0.6","-0.6",
"Loïc Rémy","frFRA","FW","Lille","frLigue 1","31","1987","13.4","7","32","14","43.8","2.39","1.05","0.19","0.43","15.2","1","1","2","6.4","4.9","0.15","+0.6","+1.1",
"Michael Rensing","deGER","GK","Düsseldorf","deBundesliga","34","1984","32.0","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Marco Reus","deGER","MF,FW","Dortmund","deBundesliga","29","1989","25.7","17","66","30","45.5","2.56","1.17","0.21","0.47","15.8","7","3","3","15.7","13.4","0.20","+1.3","+0.6",
"Elvis Rexhbeçaj","xkKVX","MF","Wolfsburg","deBundesliga","20","1997","12.7","2","10","4","40.0","0.79","0.31","0.20","0.50","23.1","0","0","0","0.7","0.7","0.07","+1.3","+1.3",
"Diego Reyes","mxMEX","DF","Leganés","esLa Liga","25","1992","3.6","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Baptiste Reynet","frFRA","GK","Toulouse","frLigue 1","27","1990","30.0","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Simon Rhein","deGER","MF","Nürnberg","deBundesliga","20","1998","5.5","0","1","0","0.0","0.18","0.00","0.00","","24.7","0","0","0","0.0","0.0","0.05","0.0","0.0",
"Franck Ribéry","frFRA","MF,FW","Bayern Munich","deBundesliga","35","1983","13.0","6","26","11","42.3","1.99","0.84","0.23","0.55","14.3","0","0","0","3.9","3.9","0.15","+2.1","+2.1",
"Declan Rice","engENG","MF","West Ham","engPremier League","19","1999","33.4","2","22","5","22.7","0.66","0.15","0.09","0.40","18.3","0","0","0","1.2","1.2","0.05","+0.8","+0.8",
"Jazz Richards","wlsWAL","DF,MF","Cardiff City","engPremier League","27","1991","1.5","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Richarlison","brBRA","FW,MF","Everton","engPremier League","21","1997","29.6","13","83","28","33.7","2.80","0.95","0.16","0.46","14.6","1","0","0","9.4","9.3","0.12","+3.6","+3.7",
"Marco Richter","deGER","MF,FW","Augsburg","deBundesliga","20","1997","15.8","4","55","23","41.8","3.47","1.45","0.07","0.17","20.5","0","0","0","3.5","3.5","0.06","+0.5","+0.5",
"Diego Rico","esESP","DF,MF","Bournemouth","engPremier League","25","1993","6.8","0","9","0","0.0","1.32","0.00","0.00","","28.2","1","0","0","0.2","0.2","0.03","-0.2","-0.2",
"Mikel Rico","esESP","MF","Athletic Club","esLa Liga","33","1984","2.7","0","3","1","33.3","1.12","0.37","0.00","0.00","12.6","0","0","0","0.3","0.3","0.09","-0.3","-0.3",
"Sergio Rico","esESP","GK","Fulham","engPremier League","24","1993","29.0","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Asier Riesgo","esESP","GK","Eibar","esLa Liga","34","1983","14.0","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Sascha Riether","deGER","FW","Schalke 04","deBundesliga","35","1983","0.0","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Emiliano Rigoni","arARG","FW,MF","Atalanta","itSerie A","25","1993","5.8","3","16","3","18.8","2.76","0.52","0.19","1.00","16.8","0","0","0","2.0","2.0","0.12","+1.0","+1.0",
"Luca Rigoni","itITA","MF","Parma","itSerie A","33","1984","19.6","2","16","5","31.3","0.82","0.26","0.13","0.40","12.4","0","0","0","3.0","3.0","0.18","-1.0","-1.0",
"Nicola Rigoni","itITA","MF","Chievo","itSerie A","27","1990","21.7","0","21","5","23.8","0.97","0.23","0.00","0.00","19.4","0","0","0","1.6","1.6","0.08","-1.6","-1.6",
"Kévin Rimane","gfGUF","MF","Paris S-G","frLigue 1","27","1991","0.1","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Tomás Rincón","veVEN","MF","Torino","itSerie A","30","1988","31.1","3","34","10","29.4","1.09","0.32","0.09","0.30","23.9","0","0","0","1.2","1.2","0.03","+1.8","+1.8",
"Renaud Ripart","frFRA","FW,DF","Nîmes","frLigue 1","25","1993","33.4","8","68","23","33.8","2.04","0.69","0.12","0.35","14.0","0","0","0","6.8","6.8","0.10","+1.2","+1.2",
"Mihailo Ristić","rsSRB","DF,MF","Montpellier","frLigue 1","22","1995","3.6","1","5","2","40.0","1.38","0.55","0.20","0.50","22.3","0","0","0","1.0","1.0","0.21","0.0","0.0",
"Matt Ritchie","sctSCO","DF,MF","Newcastle Utd","engPremier League","28","1989","32.5","2","39","8","20.5","1.20","0.25","0.03","0.13","19.2","0","1","2","5.1","3.6","0.09","-3.1","-2.6",
"Cristian Rivera","esESP","MF","Huesca","esLa Liga","21","1997","18.8","2","14","6","42.9","0.74","0.32","0.14","0.33","18.9","0","0","0","1.7","1.7","0.12","+0.3","+0.3",
"Arjen Robben","nlNED","FW,MF","Bayern Munich","deBundesliga","34","1984","6.3","4","22","12","54.5","3.49","1.90","0.18","0.33","14.7","1","0","0","3.4","3.4","0.16","+0.6","+0.6",
"Rober","esESP","DF","Levante","esLa Liga","23","1995","31.7","1","8","1","12.5","0.25","0.03","0.13","1.00","8.9","0","0","0","0.9","0.9","0.11","+0.1","+0.1",
"Sergi Roberto","esESP","DF,MF","Barcelona","esLa Liga","26","1992","23.2","0","9","1","11.1","0.39","0.04","0.00","0.00","14.8","0","0","0","0.5","0.5","0.06","-0.5","-0.5",
"Patrick Roberts","engENG","MF,FW","Girona","esLa Liga","21","1997","6.7","0","7","5","71.4","1.05","0.75","0.00","0.00","16.4","0","0","0","0.8","0.8","0.12","-0.8","-0.8",
"Andrew Robertson","sctSCO","DF","Liverpool","engPremier League","24","1994","35.7","0","16","5","31.3","0.45","0.14","0.00","0.00","18.5","0","0","0","0.7","0.7","0.05","-0.7","-0.7",
"Joel Robles","esESP","GK","Betis","esLa Liga","28","1990","5.0","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Marc Roca","esESP","MF","Espanyol","esLa Liga","21","1996","34.6","1","23","9","39.1","0.67","0.26","0.04","0.11","25.9","0","0","0","1.7","1.7","0.07","-0.7","-0.7",
"Christopher Rocchia","frFRA","DF","Marseille","frLigue 1","20","1998","0.0","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Kenny Rocha Santos","cvCPV","MF","Saint-Étienne","frLigue 1","18","2000","0.0","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Rubén Rochina","esESP","MF","Levante","esLa Liga","27","1991","20.0","4","46","12","26.1","2.30","0.60","0.09","0.33","26.4","4","0","0","2.4","2.4","0.05","+1.6","+1.6",
"Sebastian Rode","deGER","MF","Eint Frankfurt","deBundesliga","27","1990","10.3","0","4","2","50.0","0.39","0.20","0.00","0.00","20.2","0","0","0","0.5","0.5","0.12","-0.5","-0.5",
"Ronny Rodelin","frFRA","MF,FW","Guingamp","frLigue 1","28","1989","8.8","0","27","7","25.9","3.08","0.80","0.00","0.00","22.1","4","0","0","1.6","1.6","0.06","-1.6","-1.6",
"Rodri","esESP","MF","Atlético Madrid","esLa Liga","22","1996","30.4","3","27","7","25.9","0.89","0.23","0.11","0.43","17.2","0","0","0","2.7","2.7","0.10","+0.3","+0.3",
"Rodrigo","esESP","FW","Valencia","esLa Liga","27","1991","28.1","8","79","30","38.0","2.81","1.07","0.10","0.27","14.9","0","0","1","13.8","13.0","0.16","-5.8","-5.0",
"Kévin Rodrigues","ptPOR","DF","Real Sociedad","esLa Liga","24","1994","5.4","0","2","1","50.0","0.37","0.19","0.00","0.00","26.0","0","0","0","0.1","0.1","0.04","-0.1","-0.1",
"Alejandro Rodríguez","esESP","MF","Empoli","itSerie A","27","1991","0.3","0","1","0","0.0","3.60","0.00","0.00","","10.1","0","0","0","0.1","0.1","0.11","-0.1","-0.1",
"Ángel Rodríguez","esESP","FW","Getafe","esLa Liga","31","1987","20.2","8","67","21","31.3","3.32","1.04","0.12","0.38","14.8","0","0","0","8.1","8.1","0.12","-0.1","-0.1",
"Óscar Rodríguez Arnaiz","esESP","MF","Leganés","esLa Liga","20","1998","27.8","4","61","22","36.1","2.19","0.79","0.07","0.18","24.0","11","0","0","4.0","4.0","0.06","0.0","0.0",
"James Rodríguez","coCOL","MF","Bayern Munich","deBundesliga","27","1991","12.6","7","36","19","52.8","2.85","1.50","0.19","0.37","17.3","5","0","0","5.1","5.1","0.14","+1.9","+1.9",
"Ricardo Rodríguez","chSUI","DF","Milan","itSerie A","25","1992","33.9","0","27","6","22.2","0.80","0.18","0.00","0.00","28.3","0","0","0","0.6","0.6","0.02","-0.6","-0.6",
"Marko Rog","hrCRO","MF","Napoli","itSerie A","23","1995","3.7","1","6","2","33.3","1.62","0.54","0.17","0.50","26.3","0","0","0","0.2","0.2","0.03","+0.8","+0.8",
"Marko Rog","hrCRO","MF","Sevilla","esLa Liga","23","1995","4.0","0","2","0","0.0","0.50","0.00","0.00","","28.7","0","0","0","0.1","0.1","0.03","-0.1","-0.1",
"Rogério","brBRA","DF,MF","Sassuolo","itSerie A","20","1998","29.7","1","14","5","35.7","0.47","0.17","0.07","0.20","17.6","0","0","0","2.4","2.4","0.17","-1.4","-1.4",
"Marcos Rojo","arARG","DF","Manchester Utd","engPremier League","28","1990","2.4","0","6","3","50.0","2.55","1.27","0.00","0.00","26.3","1","0","0","0.2","0.2","0.04","-0.2","-0.2",
"Diego Rolán","uyURU","MF,FW","Leganés","esLa Liga","25","1993","2.4","0","2","0","0.0","0.84","0.00","0.00","","19.2","0","0","0","0.1","0.1","0.03","-0.1","-0.1",
"Diego Rolán","uyURU","MF,FW","Alavés","esLa Liga","25","1993","3.3","0","8","2","25.0","2.42","0.60","0.00","0.00","11.2","0","0","0","0.9","0.9","0.12","-0.9","-0.9",
"Rolando","ptPOR","DF","Marseille","frLigue 1","32","1985","8.9","0","8","1","12.5","0.90","0.11","0.00","0.00","9.9","0","0","0","1.1","1.1","0.13","-1.1","-1.1",
"Esteban Rolón","arARG","MF","Genoa","itSerie A","23","1995","11.6","0","8","1","12.5","0.69","0.09","0.00","0.00","15.5","0","0","0","0.8","0.8","0.10","-0.8","-0.8",
"Filippo Romagna","itITA","DF","Cagliari","itSerie A","21","1997","16.4","0","5","1","20.0","0.31","0.06","0.00","0.00","8.4","0","0","0","0.5","0.5","0.11","-0.5","-0.5",
"Alessio Romagnoli","itITA","DF","Milan","itSerie A","23","1995","31.6","2","11","4","36.4","0.35","0.13","0.18","0.50","14.6","0","0","0","0.9","0.9","0.08","+1.1","+1.1",
"Alaixys Romao","tgTOG","MF","Reims","frLigue 1","34","1984","35.1","0","15","1","6.7","0.43","0.03","0.00","0.00","12.2","0","0","0","1.7","1.7","0.12","-1.7","-1.7",
"Cristian Romero","arARG","DF","Genoa","itSerie A","20","1998","26.0","2","20","7","35.0","0.77","0.27","0.10","0.29","12.7","0","0","0","1.9","1.9","0.10","+0.1","+0.1",
"Oriol Romeu","esESP","MF","Southampton","engPremier League","26","1991","23.7","1","10","4","40.0","0.42","0.17","0.10","0.25","21.7","0","0","0","0.9","0.9","0.10","+0.1","+0.1",
"Rômulo","itITA","MF,FW","Genoa","itSerie A","31","1987","15.0","1","12","2","16.7","0.80","0.13","0.00","0.00","21.7","1","1","1","1.7","0.9","0.07","-0.7","-0.9",
"Rômulo","itITA","DF","Lazio","itSerie A","31","1987","8.6","0","4","3","75.0","0.46","0.35","0.00","0.00","14.8","0","0","0","0.4","0.4","0.09","-0.4","-0.4",
"Cristiano Ronaldo","ptPOR","FW","Juventus","itSerie A","33","1985","29.9","21","171","62","36.3","5.73","2.08","0.09","0.26","18.6","16","5","6","22.2","17.5","0.10","-1.2","-1.5",
"Facundo Roncaglia","arARG","DF","Valencia","esLa Liga","31","1987","6.7","0","3","0","0.0","0.45","0.00","0.00","","8.9","0","0","0","0.4","0.4","0.14","-0.4","-0.4",
"Facundo Roncaglia","arARG","DF","Celta Vigo","esLa Liga","31","1987","11.9","0","1","0","0.0","0.08","0.00","0.00","","15.7","0","0","0","0.0","0.0","0.03","0.0","0.0",
"Salomón Rondón","veVEN","FW","Newcastle Utd","engPremier League","28","1989","28.9","11","89","27","30.3","3.08","0.93","0.12","0.41","15.8","9","0","0","10.4","10.4","0.12","+0.6","+0.6",
"Valentin Rongier","frFRA","MF","Nantes","frLigue 1","23","1994","35.8","4","71","15","21.1","1.98","0.42","0.04","0.20","24.0","4","1","2","6.0","4.4","0.06","-2.0","-1.4",
"Marten de Roon","nlNED","MF","Atalanta","itSerie A","27","1991","33.1","2","27","7","25.9","0.82","0.21","0.04","0.14","24.6","0","1","1","1.8","1.0","0.04","+0.2","0.0",
"Roberto Rosales","veVEN","DF","Espanyol","esLa Liga","29","1988","19.4","3","19","5","26.3","0.98","0.26","0.16","0.60","23.0","2","0","0","1.1","1.1","0.06","+1.9","+1.9",
"Danny Rose","engENG","DF","Tottenham","engPremier League","28","1990","20.0","0","15","2","13.3","0.75","0.10","0.00","0.00","19.0","0","0","0","0.7","0.7","0.05","-0.7","-0.7",
"Valentin Rosier","frFRA","DF,MF","Dijon","frLigue 1","21","1996","16.2","0","14","3","21.4","0.86","0.18","0.00","0.00","23.4","0","0","0","0.6","0.6","0.04","-0.6","-0.6",
"Luca Rossettini","itITA","DF","Chievo","itSerie A","33","1985","20.3","0","4","3","75.0","0.20","0.15","0.00","0.00","15.2","0","0","0","0.5","0.5","0.13","-0.5","-0.5",
"Francesco Rossi","itITA","GK","Atalanta","itSerie A","27","1991","0.0","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Jérôme Roussillon","frFRA","DF","Wolfsburg","deBundesliga","25","1993","27.3","3","20","10","50.0","0.73","0.37","0.15","0.30","20.8","0","0","0","1.7","1.7","0.09","+1.3","+1.3",
"Nolan Roux","frFRA","FW","Guingamp","frLigue 1","30","1988","17.1","2","38","9","23.7","2.23","0.53","0.05","0.22","15.9","0","0","0","4.6","4.6","0.12","-2.6","-2.6",
"Aaron Rowe","engENG","FW","Huddersfield","engPremier League","17","2000","0.8","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Waldo Rubio","esESP","MF","Valladolid","esLa Liga","22","1995","5.5","1","12","7","58.3","2.20","1.28","0.08","0.14","20.1","0","0","0","1.0","1.0","0.08","0.0","0.0",
"John Ruddy","engENG","GK","Wolves","engPremier League","31","1986","1.0","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Antonio Rüdiger","deGER","DF","Chelsea","engPremier League","25","1993","31.9","1","27","6","22.2","0.85","0.19","0.04","0.17","18.5","0","0","0","2.5","2.5","0.09","-1.5","-1.5",
"Sebastian Rudy","deGER","MF","Schalke 04","deBundesliga","28","1990","15.1","0","5","1","20.0","0.33","0.07","0.00","0.00","17.5","0","0","0","0.3","0.2","0.04","-0.3","-0.2",
"Stéphane Ruffier","frFRA","GK","Saint-Étienne","frLigue 1","31","1986","37.0","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Daniele Rugani","itITA","DF","Juventus","itSerie A","24","1994","15.0","2","9","2","22.2","0.60","0.13","0.22","1.00","8.1","0","0","0","1.6","1.6","0.18","+0.4","+0.4",
"Mário Rui","ptPOR","DF","Napoli","itSerie A","27","1991","15.7","1","21","4","19.0","1.33","0.25","0.05","0.25","25.7","0","0","0","0.6","0.6","0.03","+0.4","+0.4",
"Abel Ruiz","esESP","FW","Barcelona","esLa Liga","18","2000","0.2","0","1","1","100.0","4.09","4.09","0.00","0.00","13.4","0","0","0","0.4","0.4","0.36","-0.4","-0.4",
"Fabián Ruiz Peña","esESP","MF","Napoli","itSerie A","22","1996","22.1","5","51","14","27.5","2.30","0.63","0.10","0.36","22.0","0","0","0","3.1","3.1","0.06","+1.9","+1.9",
"Víctor Ruiz","esESP","DF","Villarreal","esLa Liga","29","1989","21.9","0","8","1","12.5","0.36","0.05","0.00","0.00","10.5","0","0","0","0.5","0.5","0.07","-0.5","-0.5",
"Gerónimo Rulli","arARG","GK","Real Sociedad","esLa Liga","26","1992","27.0","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Lukas Rupp","deGER","MF,DF","Hoffenheim","deBundesliga","27","1991","0.3","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Marco Russ","deGER","DF","Eint Frankfurt","deBundesliga","32","1985","4.2","0","1","0","0.0","0.24","0.00","0.00","","15.7","0","0","0","0.0","0.0","0.04","0.0","0.0",
"Mathew Ryan","auAUS","GK","Brighton","engPremier League","26","1992","34.0","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Frederik Rønnow","dkDEN","GK","Eint Frankfurt","deBundesliga","25","1992","1.4","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Idriss Saadi","dzALG","FW,MF","Strasbourg","frLigue 1","26","1992","0.1","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Youssouf Sabaly","snSEN","DF","Bordeaux","frLigue 1","25","1993","21.2","0","12","3","25.0","0.57","0.14","0.00","0.00","19.7","0","0","0","0.6","0.6","0.05","-0.6","-0.6",
"Abdelhamid Sabiri","maMAR","FW","Huddersfield","engPremier League","21","1996","0.5","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Marcel Sabitzer","atAUT","MF","RB Leipzig","deBundesliga","24","1994","26.1","4","63","16","25.4","2.41","0.61","0.06","0.25","19.8","9","0","0","5.1","5.1","0.08","-1.1","-1.1",
"Ihsan Sacko","frFRA","FW","Nice","frLigue 1","21","1997","4.9","0","6","1","16.7","1.22","0.20","0.00","0.00","13.8","0","0","0","0.8","0.7","0.11","-0.8","-0.7",
"Nuri Şahin","trTUR","MF","Werder Bremen","deBundesliga","29","1988","16.4","1","12","3","25.0","0.73","0.18","0.08","0.33","22.2","2","0","0","0.6","0.6","0.05","+0.4","+0.4",
"Samuel Şahin-Radlinger","atAUT","GK","Hannover 96","deBundesliga","25","1992","1.0","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Wesley Saïd","frFRA","FW,MF","Dijon","frLigue 1","23","1995","25.0","4","58","25","43.1","2.32","1.00","0.07","0.16","18.9","2","0","1","5.1","4.3","0.07","-1.1","-0.3",
"Allan Saint-Maximin","frFRA","FW","Nice","frLigue 1","21","1997","32.2","6","73","16","21.9","2.27","0.50","0.07","0.31","20.5","1","1","2","7.8","6.3","0.09","-1.8","-1.3",
"Théo Sainte-Luce","frFRA","MF","Nîmes","frLigue 1","19","1998","0.0","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Romain Saïss","maMAR","MF,DF","Wolves","engPremier League","28","1990","12.8","2","11","5","45.5","0.86","0.39","0.18","0.40","18.5","0","0","0","1.4","1.4","0.13","+0.6","+0.6",
"Samuel Sáiz","esESP","MF","Getafe","esLa Liga","27","1991","3.4","1","7","4","57.1","2.07","1.18","0.14","0.25","24.5","2","0","0","0.3","0.3","0.04","+0.7","+0.7",
"Bukayo Saka","engENG","FW","Arsenal","engPremier League","16","2001","0.1","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Hiroki Sakai","jpJPN","DF","Marseille","frLigue 1","28","1990","26.4","1","6","3","50.0","0.23","0.11","0.17","0.33","18.1","0","0","0","0.4","0.4","0.06","+0.6","+0.6",
"Diafra Sakho","snSEN","FW","Rennes","frLigue 1","28","1989","1.6","0","1","0","0.0","0.62","0.00","0.00","","13.8","0","0","0","0.1","0.1","0.08","-0.1","-0.1",
"Mamadou Sakho","frFRA","DF","Crystal Palace","engPremier League","28","1990","26.8","0","4","0","0.0","0.15","0.00","0.00","","7.6","0","0","0","0.4","0.4","0.11","-0.4","-0.4",
"Bakary Sako","mlMLI","FW","Crystal Palace","engPremier League","30","1988","0.3","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Emiliano Sala","arARG","FW","Nantes","frLigue 1","27","1990","15.2","12","34","16","47.1","2.24","1.05","0.29","0.63","16.6","0","2","2","6.5","4.9","0.14","+5.5","+5.1",
"Jacopo Sala","itITA","DF","Sampdoria","itSerie A","26","1991","16.9","0","8","2","25.0","0.47","0.12","0.00","0.00","22.5","0","0","0","0.3","0.3","0.04","-0.3","-0.3",
"Mohamed Salah","egEGY","FW","Liverpool","engPremier League","26","1992","36.1","22","134","60","44.8","3.71","1.66","0.14","0.32","16.9","3","3","3","20.2","17.9","0.13","+1.8","+1.1",
"Bartosz Salamon","plPOL","DF","Frosinone","itSerie A","27","1991","19.2","0","11","2","18.2","0.57","0.10","0.00","0.00","13.1","0","0","0","0.8","0.8","0.08","-0.8","-0.8",
"Carlos Salcedo","mxMEX","DF","Eint Frankfurt","deBundesliga","24","1993","5.1","0","3","1","33.3","0.59","0.20","0.00","0.00","30.5","0","0","0","0.1","0.1","0.02","-0.1","-0.1",
"William Saliba","frFRA","DF","Saint-Étienne","frLigue 1","17","2001","14.2","0","4","0","0.0","0.28","0.00","0.00","","13.1","0","0","0","0.3","0.3","0.08","-0.3","-0.3",
"Yannis Salibur","frFRA","FW,MF","Saint-Étienne","frLigue 1","27","1991","9.8","1","34","4","11.8","3.46","0.41","0.03","0.25","22.7","4","0","0","2.1","2.1","0.06","-1.1","-1.1",
"Yannis Salibur","frFRA","MF","Guingamp","frLigue 1","27","1991","0.2","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Roland Sallai","huHUN","MF","Freiburg","deBundesliga","21","1997","5.9","2","14","5","35.7","2.39","0.85","0.14","0.40","19.7","0","0","0","1.5","1.5","0.10","+0.5","+0.5",
"Edgar Salli","cmCMR","FW,MF","Nürnberg","deBundesliga","25","1992","1.3","0","1","1","100.0","0.78","0.78","0.00","0.00","17.0","0","0","0","0.1","0.1","0.09","-0.1","-0.1",
"Brice Samba","frFRA","GK","Caen","frLigue 1","24","1994","38.0","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Junior Sambia","frFRA","MF,FW","Montpellier","frLigue 1","21","1996","10.3","0","23","6","26.1","2.24","0.58","0.00","0.00","21.9","6","0","0","2.1","2.1","0.09","-2.1","-2.1",
