Name, Nation, Position, Club, League, Age, YearBorn, 90s,Touches, DefPenTouches, Def3rdTouches,Mid3rdTouches,Att3rdTouches, AttPenAreaTouches,LiveBallTouches, TakeOnAtt,TakeOnSucc,TakeOnSucc%,TackledDuringTakeOn,TackledDuringTakeOn%, Carries,CarryDistTot, ProgressiveCarryDist,ProgressiveCarries,CarriesIntoFinal3rd, CarriesIntoPenArea, MisControls, Dispossessed, PassesRecieved,ProgPassesRecieved 
"Pierre-Emerick Aubameyang","gaGAB","FW","Marseille","frLigue 1","36-162","1989","7.8","236","6","19","103","117","33","236","4","2","50.0","2","50.0","147","741","415","14","12","7","18","5","180","47",
"Emil Audero","idIDN","GK","Cremonese","itSerie A","28-313","1997","8.0","401","350","400","1","0","0","401","0","0","","0","","251","1331","751","0","0","0","0","0","213","0",
"Carlos Augusto","brBRA","DF","Inter","itSerie A","26-324","1999","5.3","324","15","78","153","95","22","324","7","4","57.1","3","42.9","163","687","408","10","6","4","5","1","219","28",
"Yann Aurel Bisseck","deGER","DF","Inter","itSerie A","24-363","2000","3.0","245","21","109","125","14","8","245","1","1","100.0","0","0.0","141","659","331","3","1","0","2","1","182","2",
"Leon Avdullahu","xkKVX","MF","Hoffenheim","deBundesliga","21-277","2004","10.4","668","32","178","411","83","6","668","5","2","40.0","3","60.0","319","1425","553","7","5","1","9","5","456","11",
"Ezequiel Ávila","arARG","FW,MF","Betis","esLa Liga","31-294","1994","0.5","22","0","3","8","11","1","22","0","0","","0","","12","73","27","1","1","0","4","0","14","0",
"Arthur Avom","cmCMR","MF","Lorient","frLigue 1","20-347","2004","11.1","703","22","163","378","176","19","703","27","14","51.9","9","33.3","433","2229","1087","25","14","3","24","13","456","25",
"Chidozie Awaziem","ngNGA","DF","Nantes","frLigue 1","28-330","1997","12.8","987","219","606","374","16","9","987","6","4","66.7","2","33.3","548","2732","1653","6","4","0","5","1","601","0",
"Taiwo Awoniyi","ngNGA","FW","Nott'ham Forest","engPremier League","28-107","1997","1.5","45","2","4","23","19","4","45","1","0","0.0","1","100.0","30","124","39","1","3","0","10","1","35","6",
"Yasin Ayari","seSWE","MF","Brighton","engPremier League","22-052","2003","10.7","666","28","167","361","148","14","666","26","7","26.9","17","65.4","394","1675","663","10","12","2","15","7","457","16",
