Name, Nation, Position, Club, League, Age, YearBorn, 90s,Touches, DefPenTouches, Def3rdTouches,Mid3rdTouches,Att3rdTouches, AttPenAreaTouches,LiveBallTouches, TakeOnAtt,TakeOnSucc,TakeOnSucc%,TackledDuringTakeOn,TackledDuringTakeOn%, Carries,CarryDistTot, ProgressiveCarryDist,ProgressiveCarries,CarriesIntoFinal3rd, CarriesIntoPenArea, MisControls, Dispossessed, PassesRecieved,ProgPassesRecieved
"Ricard Sánchez","esESP","DF","Atlético Madrid","esLa Liga","20","2000","0.3","26","0","4","9","13","1","26","0","0","","0","","15","54","18","1","0","1","1","2","16","4",
"Alexis Sánchez","clCHI","FW","Inter","itSerie A","31","1988","12.7","664","1","56","267","350","67","663","36","24","66.7","12","33.3","405","2215","781","28","20","14","41","34","529","89",
"Davinson Sánchez","coCOL","DF","Tottenham","engPremier League","24","1996","16.5","1210","171","683","517","12","8","1210","1","1","100.0","0","0.0","729","3356","1680","2","2","0","7","3","809","0",
"Germán Sánchez","esESP","DF","Granada","esLa Liga","33","1986","29.3","1237","209","696","521","29","17","1237","1","1","100.0","0","0.0","532","2300","1102","5","1","0","6","2","628","5",
"Javi Sánchez","esESP","DF","Valladolid","esLa Liga","23","1997","10.2","466","66","283","171","15","4","466","3","3","100.0","0","0.0","224","1232","663","9","6","0","5","1","274","1",
"Manu Sánchez","esESP","DF","Osasuna","esLa Liga","19","2000","10.8","645","20","124","323","203","17","645","15","7","46.7","8","53.3","303","1551","803","20","14","3","18","6","350","54",
"Manu Sánchez","esESP","DF","Atlético Madrid","esLa Liga","19","2000","0.5","35","3","10","15","10","1","35","0","0","","0","","19","99","54","1","0","0","0","0","21","2",
"Juan Sánchez Miño","arARG","DF,MF","Elche","esLa Liga","30","1990","5.5","333","17","103","183","48","0","333","8","5","62.5","3","37.5","197","859","430","8","6","0","7","5","228","18",
"Pepe Sánchez","esESP","DF","Granada","esLa Liga","20","2000","2.8","104","10","55","43","6","0","104","0","0","","0","","29","128","66","0","0","0","3","0","31","0",
"Robert Sánchez","esESP","GK","Brighton","engPremier League","22","1997","27.0","1162","893","1148","12","2","2","1162","0","0","","0","","711","3591","2228","0","0","0","4","0","680","0",
"Jadon Sancho","engENG","FW,MF","Dortmund","deBundesliga","20","2000","22.9","1757","15","132","641","1006","114","1756","138","77","55.8","61","44.2","1111","7145","3649","114","77","48","72","35","1371","276",
"Alex Sandro","brBRA","DF","Juventus","itSerie A","29","1991","20.6","1645","108","490","831","335","43","1645","28","22","78.6","6","21.4","938","5241","3243","69","44","7","24","11","1160","76",
"Leroy Sané","deGER","FW,MF","Bayern Munich","deBundesliga","24","1996","20.1","1120","12","104","396","639","113","1120","106","61","57.5","45","42.5","733","5248","2273","73","54","27","82","48","820","230",
"Salif Sané","snSEN","DF","Schalke 04","deBundesliga","29","1990","11.9","845","122","452","371","27","13","845","5","4","80.0","1","20.0","449","1837","932","11","3","1","1","5","494","6",
"Oier Sanjurjo","esESP","MF","Osasuna","esLa Liga","34","1986","23.2","1082","62","235","656","204","30","1082","8","5","62.5","3","37.5","404","1465","636","8","13","1","33","16","535","35",
"Mohamed Sankoh","nlNED","MF","Stuttgart","deBundesliga","16","2003","0.2","3","0","1","2","0","0","3","0","0","","0","","2","13","0","0","0","0","0","1","3","1",
"Siriki Sanogo","ciCIV","MF","Benevento","itSerie A","18","2001","0.1","8","0","1","6","1","0","8","0","0","","0","","3","13","0","0","0","0","0","0","5","0",
"Morgan Sanson","frFRA","MF","Aston Villa","engPremier League","25","1994","3.3","201","2","26","102","79","3","201","7","4","57.1","3","42.9","127","745","321","9","12","1","10","3","137","13",
"Morgan Sanson","frFRA","MF","Marseille","frLigue 1","25","1994","9.2","445","9","72","245","137","16","445","19","9","47.4","10","52.6","253","1462","686","20","17","2","26","13","301","46",
"Nicola Sansone","itITA","FW,MF","Bologna","itSerie A","28","1991","13.0","717","12","92","308","322","54","717","60","34","56.7","26","43.3","470","2714","1292","38","19","21","37","29","527","88",
"Baptiste Santamaria","frFRA","MF","Angers","frLigue 1","25","1995","3.0","197","4","37","127","34","4","197","5","2","40.0","3","60.0","84","437","222","4","3","0","2","3","111","1",
"Baptiste Santamaria","frFRA","MF","Freiburg","deBundesliga","25","1995","24.5","1350","58","305","783","276","36","1350","29","19","65.5","10","34.5","631","3003","1256","30","16","9","56","28","786","58",
"Federico Santander","pyPAR","FW","Bologna","itSerie A","29","1991","0.4","25","0","0","7","18","11","25","0","0","","0","","15","42","10","0","0","0","1","2","21","5",
"Davide Santon","itITA","DF","Roma","itSerie A","29","1991","6.5","338","13","87","152","101","10","338","10","7","70.0","3","30.0","182","1204","537","17","12","2","7","2","209","31",
"Samir Santos","brBRA","DF","Udinese","itSerie A","25","1994","24.6","1562","116","642","791","139","22","1562","8","6","75.0","2","25.0","896","3762","2064","24","24","1","11","14","1038","23",
"Riccardo Saponara","itITA","MF","Fiorentina","itSerie A","28","1991","0.6","47","0","5","25","19","1","47","1","1","100.0","0","0.0","27","125","50","0","4","0","2","0","39","1",
"Riccardo Saponara","itITA","FW,MF","Spezia","itSerie A","28","1991","4.3","183","6","32","66","89","20","183","14","9","64.3","5","35.7","135","944","532","17","9","9","11","2","146","30",
"Ivan Šaponjić","rsSRB","FW","Cádiz","esLa Liga","22","1997","4.3","126","4","8","70","50","18","125","7","5","71.4","2","28.6","63","275","106","3","3","0","11","7","102","12",
"Pablo Sarabia","esESP","FW,MF","Paris S-G","frLigue 1","28","1992","14.7","757","12","65","328","367","83","757","22","8","36.4","14","63.6","476","2441","1360","44","36","13","28","13","594","173",
"Josh Sargent","usUSA","FW,MF","Werder Bremen","deBundesliga","20","2000","27.8","930","41","136","477","330","82","930","40","25","62.5","15","37.5","440","2218","863","28","20","13","76","27","585","114",
"Bouna Sarr","snSEN","DF","Marseille","frLigue 1","28","1992","0.8","73","3","17","30","27","0","73","3","1","33.3","2","66.7","32","186","88","2","2","0","3","0","45","7",
"Bouna Sarr","snSEN","DF","Bayern Munich","deBundesliga","28","1992","5.0","446","8","108","230","110","4","446","20","12","60.0","8","40.0","254","1494","740","18","14","0","13","4","293","29",
"Sidy Sarr","snSEN","MF","Nîmes","frLigue 1","24","1996","5.1","264","8","71","151","45","9","264","4","3","75.0","1","25.0","131","600","284","2","3","1","4","2","166","5",
"Marco Sau","itITA","MF,FW","Benevento","itSerie A","32","1987","8.7","357","4","43","160","158","39","356","18","11","61.1","7","38.9","209","1171","396","13","11","6","29","12","227","58",
"Téji Savanier","frFRA","MF","Montpellier","frLigue 1","28","1991","24.1","1571","27","251","826","529","38","1567","82","51","62.2","31","37.8","821","4411","2155","46","45","5","49","43","921","76",
"Stefan Savić","meMNE","DF","Atlético Madrid","esLa Liga","29","1991","32.8","2015","201","844","1121","61","14","2015","6","6","100.0","0","0.0","1205","5834","3943","30","16","0","6","4","1327","2",
"Romaine Sawyers","knSKN","MF","West Brom","engPremier League","28","1991","16.5","867","29","243","545","91","1","867","21","8","38.1","13","61.9","406","1967","846","11","9","0","14","10","516","9",
"Gianluca Scamacca","itITA","FW","Genoa","itSerie A","21","1999","15.0","526","16","64","228","246","61","524","22","16","72.7","6","27.3","298","1346","555","20","11","7","43","26","378","87",
"Dane Scarlett","engENG","FW","Tottenham","engPremier League","16","2004","0.0","0","0","0","0","0","0","0","0","0","","0","","0","0","0","0","0","0","0","0","0","0",
"Fabian Schär","chSUI","DF","Newcastle Utd","engPremier League","28","1991","13.8","759","105","399","317","62","11","758","14","7","50.0","7","50.0","413","2280","1410","6","9","0","4","5","433","0",
"Aurélien Scheidler","frFRA","FW","Dijon","frLigue 1","22","1998","3.8","110","7","10","58","43","12","110","7","0","0.0","7","100.0","56","288","54","0","3","0","9","3","79","27",
"Nicolás Schiappacasse","uyURU","MF","Sassuolo","itSerie A","21","1999","0.2","2","0","0","0","2","0","2","0","0","","0","","0","0","0","0","0","0","1","0","1","0",
"Pasquale Schiattarella","itITA","MF","Benevento","itSerie A","33","1987","25.0","1535","65","401","967","182","9","1535","17","15","88.2","2","11.8","851","3855","2095","24","21","2","19","11","1011","9",
"Patrik Schick","czCZE","FW","Leverkusen","deBundesliga","24","1996","20.7","631","26","38","290","307","112","631","29","20","69.0","9","31.0","297","1409","516","19","13","10","60","19","494","132",
"Sven Schipplock","deGER","FW,MF","Arminia","deBundesliga","31","1988","8.3","292","10","41","136","119","25","292","17","11","64.7","6","35.3","143","897","484","16","14","3","21","5","179","37",
"Xaver Schlager","atAUT","MF","Wolfsburg","deBundesliga","22","1997","29.2","1647","54","314","1005","368","36","1647","52","41","78.8","11","21.2","879","4800","2601","47","37","7","65","32","931","62",
"Keven Schlotterbeck","deGER","DF","Freiburg","deBundesliga","23","1997","18.4","1036","132","563","445","35","15","1036","5","4","80.0","1","20.0","533","2554","1280","2","4","2","8","2","588","6",
"Nico Schlotterbeck","deGER","DF","Union Berlin","deBundesliga","20","1999","14.3","985","79","397","529","70","23","985","17","11","64.7","6","35.3","596","3413","2226","23","20","0","10","5","654","5",
"Jeffrey Schlupp","ghGHA","MF","Crystal Palace","engPremier League","27","1992","15.9","664","24","132","316","224","46","664","64","31","48.4","33","51.6","356","2548","886","37","18","14","32","41","413","75",
"Kasper Schmeichel","dkDEN","GK","Leicester City","engPremier League","33","1986","38.0","1314","1104","1307","7","0","0","1314","2","1","50.0","1","50.0","684","3668","2288","0","0","0","0","0","627","0",
"Jonathan Schmid","frFRA","MF,DF","Freiburg","deBundesliga","30","1990","26.6","1563","63","416","691","469","41","1563","39","19","48.7","20","51.3","719","3429","1986","49","34","9","29","13","822","122",
"Romano Schmid","atAUT","MF,FW","Werder Bremen","deBundesliga","20","2000","13.1","634","6","122","320","204","12","634","23","10","43.5","13","56.5","340","1673","901","19","20","1","29","23","394","63",
"Benno Schmitz","deGER","DF","Köln","deBundesliga","25","1994","4.6","295","13","83","141","73","6","295","0","0","","0","","134","485","285","7","3","0","5","1","155","18",
"Morgan Schneiderlin","frFRA","MF","Nice","frLigue 1","30","1989","24.4","1834","86","488","1191","166","17","1834","18","14","77.8","4","22.2","1089","4312","2007","15","16","0","22","7","1329","21",
"Alessandro Schöpf","atAUT","FW,MF","Schalke 04","deBundesliga","26","1994","10.5","472","11","79","245","154","16","472","30","12","40.0","18","60.0","282","1558","608","19","16","4","23","29","313","63",
"Jerdy Schouten","nlNED","MF","Bologna","itSerie A","23","1997","27.9","1698","98","457","984","273","3","1698","60","37","61.7","23","38.3","900","3974","1558","14","25","2","35","22","1039","23",
"Nico Schulz","deGER","DF","Dortmund","deBundesliga","27","1993","6.8","531","32","159","249","128","12","531","3","0","0.0","3","100.0","253","1457","799","23","15","3","11","7","346","36",
"Alexander Schwolow","deGER","GK","Hertha BSC","deBundesliga","28","1992","26.0","976","828","973","3","0","0","976","1","1","100.0","0","0.0","525","2546","1487","0","0","0","0","0","468","0",
"Christopher Scott","deGER","MF,FW","Bayern Munich","deBundesliga","18","2002","0.4","14","1","3","5","6","0","14","1","1","100.0","0","0.0","10","92","63","2","1","0","1","2","10","3",
"Matteo Scozzarella","itITA","MF","Parma","itSerie A","32","1988","1.7","124","5","25","73","28","0","124","1","0","0.0","1","100.0","70","287","130","1","0","0","1","2","80","2",
"Simone Scuffet","itITA","GK","Udinese","itSerie A","24","1996","1.0","29","27","29","0","0","0","29","0","0","","0","","15","85","50","0","0","0","0","0","9","0",
"Jacopo Segre","itITA","MF","Torino","itSerie A","23","1997","2.1","127","1","19","91","18","5","127","5","4","80.0","1","20.0","90","470","224","2","1","0","1","2","101","2",
"Davie Selke","deGER","FW","Werder Bremen","deBundesliga","25","1995","9.0","316","10","32","139","151","52","315","11","2","18.2","9","81.8","151","819","331","10","2","3","25","14","250","46",
"Malik Sellouki","frFRA","FW,MF","Nice","frLigue 1","20","2000","0.7","53","0","2","20","31","3","53","6","2","33.3","4","66.7","37","184","82","3","2","0","7","0","36","15",
"Matz Sels","beBEL","GK","Strasbourg","frLigue 1","28","1992","6.0","188","165","188","0","0","0","188","0","0","","0","","87","496","237","0","0","0","0","0","66","0",
"Nélson Semedo","ptPOR","DF,MF","Wolves","engPremier League","26","1993","33.1","2372","130","606","1120","673","46","2372","103","62","60.2","41","39.8","1288","7881","4416","111","78","11","53","27","1419","155",
"Léo Sena","brBRA","MF","Spezia","itSerie A","24","1995","9.8","722","12","114","486","140","2","722","43","36","83.7","7","16.3","513","3985","2322","30","35","2","10","11","537","12",
"Stefano Sensi","itITA","MF","Inter","itSerie A","24","1995","6.7","504","6","78","226","207","13","504","14","7","50.0","7","50.0","298","1530","741","12","13","2","15","5","380","40",
"Jaime Seoane","esESP","MF","Huesca","esLa Liga","23","1997","22.9","1087","31","240","605","258","36","1087","34","19","55.9","15","44.1","638","3808","1884","42","33","4","39","21","721","47",
"Luigi Sepe","itITA","GK","Parma","itSerie A","29","1991","36.0","1508","1291","1497","12","0","0","1508","2","2","100.0","0","0.0","845","3959","2900","0","0","0","1","0","718","0",
"Suat Serdar","deGER","MF","Schalke 04","deBundesliga","23","1997","21.7","899","44","187","526","203","44","899","63","39","61.9","24","38.1","505","3232","1622","44","23","6","54","41","526","52",
"Jean Seri","ciCIV","MF","Bordeaux","frLigue 1","29","1991","7.9","597","17","134","391","79","5","597","22","16","72.7","6","27.3","365","1481","682","9","8","1","14","4","418","5",
"Femi Seriki","engENG","MF","Sheffield Utd","engPremier League","18","2002","0.0","0","0","0","0","0","0","0","0","0","","0","","0","0","0","0","0","0","0","0","0","0",
"Ryan Sessegnon","engENG","DF,FW","Hoffenheim","deBundesliga","20","2000","17.5","1157","61","323","506","336","26","1157","36","12","33.3","24","66.7","588","3018","1601","45","31","5","26","9","653","103",
"Nils Seufert","deGER","MF,FW","Arminia","deBundesliga","23","1997","3.8","214","6","38","114","64","5","214","5","4","80.0","1","20.0","118","466","169","1","3","0","7","5","135","8",
"Edgar Sevikyan","amARM","MF","Levante","esLa Liga","18","2001","0.1","6","0","3","3","1","0","6","1","1","100.0","0","0.0","5","19","16","0","0","0","0","0","4","1",
"Stephan El Shaarawy","itITA","MF,FW","Roma","itSerie A","27","1992","6.4","306","3","34","112","165","35","306","20","9","45.0","11","55.0","201","1346","661","27","17","10","13","4","238","61",
"Jamie Shackleton","engENG","MF,DF","Leeds United","engPremier League","20","1999","5.1","254","11","65","122","69","9","254","3","3","100.0","0","0.0","121","614","265","7","3","2","7","1","160","21",
"Xherdan Shaqiri","chSUI","MF,FW","Liverpool","engPremier League","28","1991","6.2","477","2","44","204","236","12","477","9","6","66.7","3","33.3","307","1086","437","5","9","0","13","7","364","32",
"Billy Sharp","engENG","FW","Sheffield Utd","engPremier League","34","1986","8.2","187","1","6","62","119","31","185","12","5","41.7","7","58.3","99","513","128","9","5","5","18","16","137","65",
"Luke Shaw","engENG","DF","Manchester Utd","engPremier League","25","1995","29.5","2310","84","541","926","877","62","2310","56","36","64.3","20","35.7","1249","7878","4699","110","87","17","25","21","1429","209",
"Jonjo Shelvey","engENG","MF","Newcastle Utd","engPremier League","28","1992","29.1","1728","78","469","995","284","22","1728","26","20","76.9","6","23.1","932","4464","1918","20","22","0","19","5","1087","24",
"Eldor Shomurodov","uzUZB","FW","Genoa","itSerie A","25","1995","18.6","718","15","69","329","334","81","718","34","15","44.1","19","55.9","408","2234","1037","33","19","11","76","30","540","133",
"Shola Shoretire","engENG","FW","Manchester Utd","engPremier League","16","2004","0.1","10","0","1","6","4","0","10","0","0","","0","","6","26","10","0","0","0","2","0","9","2",
"Mahame Siby","mlMLI","MF","Strasbourg","frLigue 1","24","1996","0.2","13","0","4","8","1","0","13","1","1","100.0","0","0.0","9","21","14","0","0","0","1","0","10","1",
"Abdoulaye Sidibé","frFRA","MF","Saint-Étienne","frLigue 1","18","2002","0.1","3","0","2","0","1","0","3","0","0","","0","","1","0","0","0","0","0","1","0","1","0",
"Djibril Sidibé","frFRA","DF","Monaco","frLigue 1","28","1992","22.0","2045","67","522","1184","361","3","2045","15","8","53.3","7","46.7","1090","5482","3427","51","31","0","20","6","1267","37",
"Sidnei","brBRA","DF","Betis","esLa Liga","30","1989","7.7","598","54","325","261","13","5","598","2","1","50.0","1","50.0","364","1736","726","4","6","0","5","1","411","1",
"Kaj Sierhuis","nlNED","FW,MF","Reims","frLigue 1","22","1998","7.2","241","5","18","103","121","29","241","15","10","66.7","5","33.3","123","461","181","4","3","1","21","14","181","38",
"Tim Siersleben","deGER","DF","Wolfsburg","deBundesliga","20","2000","0.4","29","1","13","15","1","1","29","0","0","","0","","13","46","11","0","0","0","0","0","15","0",
"Gylfi Sigurðsson","isISL","MF,FW","Everton","engPremier League","30","1989","25.0","1217","37","218","578","428","47","1213","26","14","53.8","12","46.2","575","2594","900","24","26","4","45","28","747","78",
"Luca Siligardi","itITA","MF,FW","Crotone","itSerie A","32","1988","0.5","30","0","0","13","19","2","30","2","2","100.0","0","0.0","17","68","29","0","2","0","2","2","22","6",
"Luca Siligardi","itITA","FW,MF","Parma","itSerie A","32","1988","0.4","22","0","0","5","17","3","22","0","0","","0","","11","59","8","0","0","0","2","3","14","3",
"Adrien Silva","ptPOR","MF","Sampdoria","itSerie A","31","1989","17.8","1122","36","246","724","167","5","1122","25","17","68.0","8","32.0","578","2348","1083","8","13","1","21","17","711","19",
"André Silva","ptPOR","FW","Eint Frankfurt","deBundesliga","24","1995","30.7","1114","20","49","452","622","191","1107","57","26","45.6","31","54.4","571","2991","1179","46","31","30","87","48","838","255",
"Bernardo Silva","ptPOR","MF,FW","Manchester City","engPremier League","25","1994","22.9","1621","13","175","734","733","83","1621","65","41","63.1","24","36.9","1116","7262","4002","123","104","28","33","23","1304","173",
"Caio Henrique Oliveira Silva","brBRA","DF","Monaco","frLigue 1","23","1997","26.3","1676","37","389","764","545","40","1676","27","17","63.0","10","37.0","926","5210","3177","85","61","12","38","7","1033","185",
"David Silva","esESP","MF","Real Sociedad","esLa Liga","34","1986","15.5","1009","10","77","546","401","53","1009","47","31","66.0","16","34.0","614","3802","1780","52","45","12","17","16","761","76",
"Fábio Silva","ptPOR","FW","Wolves","engPremier League","18","2002","15.2","507","9","43","232","233","78","506","21","7","33.3","14","66.7","266","1199","522","14","8","5","45","21","362","74",
"Florent da Silva","frFRA","FW","Lyon","frLigue 1","17","2003","0.0","1","0","0","0","1","0","1","0","0","","0","","1","6","4","0","1","0","0","0","1","0",
"Gabriel Silva","brBRA","DF","Saint-Étienne","frLigue 1","29","1991","3.9","262","9","73","149","40","1","262","5","2","40.0","3","60.0","147","521","227","4","2","0","2","1","154","17",
"Gastón Silva","uyURU","DF","Huesca","esLa Liga","26","1994","6.7","403","34","180","210","15","2","403","0","0","","0","","227","1318","912","13","2","0","2","2","261","1",
"Rui Silva","ptPOR","GK","Granada","esLa Liga","26","1994","32.0","1141","935","1135","6","0","0","1141","0","0","","0","","520","3229","1999","0","0","0","3","0","399","0",
"Thiago Silva","brBRA","DF","Chelsea","engPremier League","35","1984","21.5","2136","243","934","1151","53","19","2136","3","2","66.7","1","33.3","1374","7624","4757","6","13","0","8","2","1634","1",
"Marco Silvestri","itITA","GK","Hellas Verona","itSerie A","29","1991","34.0","1045","899","1043","2","0","0","1045","0","0","","0","","482","2964","2033","0","0","0","0","0","382","0",
"Mohamed Simakan","frFRA","DF","Strasbourg","frLigue 1","20","2000","17.9","1017","86","419","517","102","25","1017","13","10","76.9","3","23.1","640","3563","2043","18","13","4","12","10","625","21",
"Giovanni Simeone","arARG","FW","Cagliari","itSerie A","25","1995","19.3","574","23","62","271","250","77","574","23","15","65.2","8","34.8","285","1479","539","25","17","10","57","22","352","81",
"Moses Simon","ngNGA","FW,MF","Nantes","frLigue 1","25","1995","25.8","1006","18","118","333","567","109","1005","94","47","50.0","47","50.0","639","4449","2325","117","49","49","66","47","678","222",
"Unai Simón","esESP","GK","Athletic Club","esLa Liga","23","1997","37.0","1111","942","1104","8","0","0","1111","1","1","100.0","0","0.0","555","2918","1921","0","0","0","2","0","419","0",
"Xavi Simons","nlNED","MF","Paris S-G","frLigue 1","17","2003","0.0","10","0","0","1","9","0","10","0","0","","0","","7","27","14","0","1","0","0","0","7","0",
"Jóan Símun Edmundsson","foFRO","FW,MF","Arminia","deBundesliga","29","1991","0.6","19","0","2","9","8","3","19","0","0","","0","","15","63","25","2","0","1","1","1","19","6",
"Wilfried Singo","ciCIV","DF","Torino","itSerie A","19","2000","20.6","1205","62","303","548","382","29","1205","90","52","57.8","38","42.2","658","4527","2781","73","48","12","41","14","686","100",
"Daley Sinkgraven","nlNED","DF","Leverkusen","deBundesliga","25","1995","17.4","1459","39","349","865","265","14","1459","37","28","75.7","9","24.3","830","4785","2419","56","37","5","30","19","930","66",
"Dimitris Siovas","grGRE","DF","Huesca","esLa Liga","31","1988","34.1","2217","248","1262","868","99","61","2217","10","9","90.0","1","10.0","1221","6350","3725","22","15","0","13","2","1407","7",
"Tobias Sippel","deGER","GK","Gladbach","deBundesliga","32","1988","3.8","164","150","164","0","0","0","164","0","0","","0","","82","359","190","0","0","0","2","1","64","0",
"Salvatore Sirigu","itITA","GK","Torino","itSerie A","33","1987","32.0","1073","884","1066","8","0","0","1073","0","0","","0","","515","2477","1672","0","0","0","2","0","420","0",
"Issouf Sissokho","mlMLI","MF,DF","Bordeaux","frLigue 1","18","2002","0.9","59","2","15","37","8","0","59","2","1","50.0","1","50.0","33","207","97","3","2","0","1","1","39","1",
"Ibrahima Sissoko","mlMLI","MF","Strasbourg","frLigue 1","22","1997","28.7","1408","64","339","865","235","26","1408","41","29","70.7","12","29.3","750","3831","1897","28","30","3","45","23","865","51",
"Moussa Sissoko","frFRA","MF","Tottenham","engPremier League","30","1989","17.6","954","52","270","528","171","11","954","27","18","66.7","9","33.3","523","2805","1404","32","30","5","18","14","593","34",
"Nelson Sissoko","frFRA","DF","Saint-Étienne","frLigue 1","23","1997","5.3","340","15","124","160","59","0","340","5","3","60.0","2","40.0","157","895","388","10","5","0","4","5","170","14",
"Antonio Sivera","esESP","GK","Alavés","esLa Liga","23","1996","0.8","22","20","22","0","0","0","22","0","0","","0","","12","77","45","0","0","0","0","0","7","0",
"Jacques Siwe","frFRA","FW","Dijon","frLigue 1","19","2001","1.9","58","1","7","25","27","6","58","1","1","100.0","0","0.0","35","159","84","1","2","0","6","5","46","12",
"Ellyes Skhiri","tnTUN","MF","Köln","deBundesliga","25","1995","30.9","1882","115","712","971","211","27","1882","22","15","68.2","7","31.8","921","4338","1983","19","19","2","32","17","1072","28",
"Łukasz Skorupski","plPOL","GK","Bologna","itSerie A","29","1991","28.0","1047","954","1045","2","0","0","1047","0","0","","0","","570","2861","1759","0","0","0","2","0","434","1",
"Andreas Skov Olsen","dkDEN","FW,DF","Bologna","itSerie A","20","1999","13.1","710","21","122","243","351","57","710","39","17","43.6","22","56.4","405","2493","1349","61","26","24","30","9","499","119",
"Robert Skov","dkDEN","FW,MF","Hoffenheim","deBundesliga","24","1996","12.9","674","18","106","280","297","32","674","30","12","40.0","18","60.0","380","2001","920","25","18","8","40","7","421","98",
"Milan Škriniar","skSVK","DF","Inter","itSerie A","25","1995","30.9","2452","246","1048","1214","198","27","2452","9","6","66.7","3","33.3","1428","6820","3819","46","30","1","18","13","1862","42",
"Steven Skrzybski","deGER","FW,DF","Schalke 04","deBundesliga","27","1992","4.7","180","3","26","82","78","9","179","6","3","50.0","3","50.0","101","412","208","6","6","1","15","8","110","23",
"Petar Škuletić","rsSRB","FW,MF","Montpellier","frLigue 1","30","1990","2.6","114","6","12","52","51","23","114","2","1","50.0","1","50.0","60","265","92","3","3","2","10","6","87","19",
"Islam Slimani","dzALG","FW","Leicester City","engPremier League","32","1988","0.2","12","0","0","6","6","2","12","0","0","","0","","5","25","1","0","1","0","1","0","10","4",
"Islam Slimani","dzALG","FW","Lyon","frLigue 1","32","1988","6.4","311","8","18","135","159","46","311","9","4","44.4","5","55.6","163","646","251","8","8","1","12","7","253","58",
"William Smallbone","ieIRL","MF","Southampton","engPremier League","20","2000","1.9","95","1","12","54","30","1","95","0","0","","0","","58","281","146","5","6","1","2","2","62","10",
"Chris Smalling","engENG","DF","Roma","itSerie A","30","1989","12.3","806","98","424","361","24","15","806","4","4","100.0","0","0.0","412","1944","816","0","2","0","8","4","521","2",
"Emile Smith Rowe","engENG","MF,FW","Arsenal","engPremier League","20","2000","16.0","890","15","143","397","360","44","890","30","10","33.3","20","66.7","551","2941","1559","51","20","13","38","7","705","113",
"Robert Snodgrass","sctSCO","MF,FW","West Brom","engPremier League","32","1987","5.8","217","18","60","91","68","10","217","8","4","50.0","4","50.0","88","372","139","6","1","3","8","4","107","25",
"Robert Snodgrass","sctSCO","FW,MF","West Ham","engPremier League","32","1987","0.1","4","0","1","0","3","0","4","0","0","","0","","4","14","3","0","0","0","0","0","4","2",
"Cédric Soares","ptPOR","DF","Arsenal","engPremier League","28","1991","8.3","542","21","142","238","168","12","542","11","5","45.5","6","54.5","274","1421","728","21","10","6","10","9","336","40",
"Rafa Soares","ptPOR","DF","Eibar","esLa Liga","25","1995","12.6","835","36","213","390","239","12","835","8","4","50.0","4","50.0","337","1540","818","17","14","1","9","6","389","41",
"Rubén Sobrino","esESP","MF,FW","Valencia","esLa Liga","28","1992","0.5","27","0","4","15","10","1","27","1","0","0.0","1","100.0","18","104","88","2","1","0","2","1","19","1",
"Rubén Sobrino","esESP","FW,MF","Cádiz","esLa Liga","28","1992","12.4","416","13","98","174","155","21","416","33","17","51.5","16","48.5","234","1551","886","21","20","5","43","9","263","39",
"Simon Sohm","chSUI","MF","Parma","itSerie A","19","2001","10.0","502","12","127","298","81","5","502","11","7","63.6","4","36.4","287","1248","695","13","11","2","12","14","374","18",
"Augusto Solari","arARG","MF","Celta Vigo","esLa Liga","28","1992","5.4","286","8","56","125","109","17","286","12","7","58.3","5","41.7","143","648","310","6","6","1","11","8","168","29",
"Roberto Soldado","esESP","FW","Granada","esLa Liga","35","1985","16.0","476","17","36","195","246","72","474","8","4","50.0","4","50.0","211","848","304","12","8","8","30","10","306","82",
"Carlos Soler","esESP","MF","Valencia","esLa Liga","23","1997","30.4","1832","81","360","1041","452","33","1823","39","25","64.1","14","35.9","1015","6122","3432","46","50","2","29","13","1187","30",
"Yann Sommer","chSUI","GK","Gladbach","deBundesliga","31","1988","30.1","1307","984","1297","11","0","0","1307","0","0","","0","","790","3683","2012","0","0","0","2","0","751","0",
"Son","esESP","DF,MF","Levante","esLa Liga","26","1994","12.3","761","40","169","323","274","26","761","18","12","66.7","6","33.3","374","1773","904","23","20","3","17","9","426","104",
"Brandon Soppy","frFRA","DF","Rennes","frLigue 1","18","2002","6.2","483","22","141","250","97","6","483","18","9","50.0","9","50.0","280","1332","708","16","12","5","11","4","302","30",
"David Soria","esESP","GK","Getafe","esLa Liga","27","1993","28.0","913","642","896","17","0","0","913","0","0","","0","","419","3086","2193","0","0","0","0","0","249","0",
"Roberto Soriano","itITA","MF","Bologna","itSerie A","29","1991","36.1","1864","58","265","980","645","93","1864","56","36","64.3","20","35.7","1172","6656","3092","81","64","7","64","31","1431","157",
"Alberto Soro","esESP","FW,MF","Granada","esLa Liga","21","1999","4.4","166","3","23","70","76","11","166","5","2","40.0","3","60.0","94","498","225","6","6","2","6","11","94","24",
"Borna Sosa","hrCRO","DF,FW","Stuttgart","deBundesliga","22","1998","22.7","1495","90","356","596","558","38","1495","41","27","65.9","14","34.1","807","5113","2891","88","60","12","28","15","928","200",
"Hugo Sotelo","esESP","MF","Celta Vigo","esLa Liga","16","2003","0.0","0","0","0","0","0","0","0","0","0","","0","","0","0","0","0","0","0","0","0","0","0",
"Florian Sotoca","frFRA","FW","Lens","frLigue 1","29","1990","26.8","1221","26","87","570","574","134","1219","36","19","52.8","17","47.2","686","3356","1362","43","42","14","59","36","944","231",
