Name, Nation, Position, Club, League, Age, YearBorn, 90s,Touches, DefPenTouches, Def3rdTouches,Mid3rdTouches,Att3rdTouches, AttPenAreaTouches,LiveBallTouches, TakeOnAtt,TakeOnSucc,TakeOnSucc%,TackledDuringTakeOn,TackledDuringTakeOn%, Carries,CarryDistTot, ProgressiveCarryDist,ProgressiveCarries,CarriesIntoFinal3rd, CarriesIntoPenArea, MisControls, Dispossessed, PassesRecieved,ProgPassesRecieved
"Rubén Alcaraz","esESP","MF","Valladolid","esLa Liga","29","1991","24.1","1383","61","337","877","186","23","1383","19","14","73.7","5","26.3","759","3942","1891","25","26","1","25","14","841","21",
"Omar Alderete","pyPAR","DF","Hertha BSC","deBundesliga","23","1996","14.4","1058","107","586","459","21","10","1058","18","15","83.3","3","16.7","653","3162","1834","8","6","0","6","3","718","3",
"Toby Alderweireld","beBEL","DF","Tottenham","engPremier League","31","1989","24.9","1687","267","932","726","35","14","1687","4","4","100.0","0","0.0","987","4485","2370","3","5","0","2","2","1114","1",
"Iván Alejo","esESP","MF,FW","Cádiz","esLa Liga","25","1995","9.2","348","14","64","106","185","20","348","25","13","52.0","12","48.0","202","2031","1030","46","25","5","27","14","219","79",
"Carles Aleñá","esESP","MF","Barcelona","esLa Liga","22","1998","0.5","46","1","12","24","10","1","46","0","0","","0","","24","109","65","1","0","0","2","1","42","1",
"Carles Aleñá","esESP","MF,FW","Getafe","esLa Liga","22","1998","15.2","719","8","62","361","315","16","719","36","23","63.9","13","36.1","434","2413","1054","20","31","1","28","18","491","51",
"Rúnar Alex Rúnarsson","isISL","GK","Arsenal","engPremier League","25","1995","0.2","13","10","12","1","0","0","13","0","0","","0","","5","26","12","0","0","0","0","0","6","0",
"Trent Alexander-Arnold","engENG","DF","Liverpool","engPremier League","21","1998","33.7","3318","73","699","1494","1151","81","3318","61","32","52.5","29","47.5","1992","9462","5442","98","95","24","31","22","2202","249",
"Alfon","esESP","MF","Celta Vigo","esLa Liga","21","1999","0.4","21","0","0","6","15","2","21","2","1","50.0","1","50.0","20","81","39","0","1","0","3","0","20","5",
"Mohamed Ali Cho","frFRA","FW,MF","Angers","frLigue 1","16","2004","3.9","173","0","13","66","98","16","173","11","5","45.5","6","54.5","114","750","382","15","10","2","16","12","121","26",
