Player,Nation,Position,Club,Leauge,Age,YearBorn,90s,SCA,SCA90,scLivePass,scDeadPass,scTake-on,scShots,scFouls,scDefense,GCA,GCA90,gcLivePass,gcDeadPass,gcTake-on,gcShots,gcFouls,gcDefense,Matches
"Bradley Barcola","frFRA","FW,MF","Lyon","frLigue 1","18","2002","2.9","11","3.74","9","0","1","1","0","0","2","0.68","2","0","0","0","0","0",
"Melvin Bard","frFRA","DF","Nice","frLigue 1","20","2000","28.8","45","1.56","40","3","1","0","0","1","4","0.14","4","0","0","0","0","0",
"Enis Bardhi","mkMKD","MF,FW","Levante","esLa Liga","26","1995","18.9","83","4.39","44","23","3","8","5","0","5","0.26","2","2","1","0","0","0",
"Francesco Bardi","itITA","GK","Bologna","itSerie A","29","1992","2.0","0","0.00","0","0","0","0","0","0","0","0.00","0","0","0","0","0","0",
"Keidi Bare","alALB","MF","Espanyol","esLa Liga","23","1997","16.5","20","1.21","18","0","1","0","1","0","2","0.12","1","0","0","0","1","0",
"Nicolò Barella","itITA","MF","Inter","itSerie A","24","1997","32.4","140","4.32","116","0","10","6","6","2","21","0.65","18","0","1","1","1","0",
"Kike Barja","esESP","MF,FW","Osasuna","esLa Liga","24","1997","9.6","21","2.18","12","0","2","2","4","1","2","0.21","0","0","0","1","1","0",
"Ross Barkley","engENG","MF,FW","Chelsea","engPremier League","27","1993","2.0","18","9.00","13","3","1","1","0","0","3","1.50","3","0","0","0","0","0",
"Aymen Barkok","maMAR","MF,DF","Eint Frankfurt","deBundesliga","23","1998","1.8","3","1.69","2","1","0","0","0","0","0","0.00","0","0","0","0","0","0",
"Ashley Barnes","engENG","FW","Burnley","engPremier League","31","1989","9.0","18","2.00","12","0","0","3","3","0","1","0.11","1","0","0","0","0","0",
"Harvey Barnes","engENG","FW,MF","Leicester City","engPremier League","23","1997","23.3","63","2.70","48","0","7","4","3","1","13","0.56","11","0","0","2","0","0",
"Antonio Barragán","esESP","DF","Elche","esLa Liga","34","1987","11.3","8","0.71","7","0","0","0","1","0","2","0.18","2","0","0","0","0","0",
"Leandro Barreiro Martins","luLUX","MF","Mainz 05","deBundesliga","21","2000","19.9","32","1.61","19","0","2","5","5","1","4","0.20","2","0","0","0","2","0",
"Ander Barrenetxea","esESP","FW,MF","Real Sociedad","esLa Liga","19","2001","6.1","14","2.31","10","0","3","0","1","0","3","0.49","2","0","1","0","0","0",
"Jacob Barrett Laursen","dkDEN","DF","Arminia","deBundesliga","26","1994","18.1","22","1.21","12","9","1","0","0","0","1","0.06","1","0","0","0","0","0",
"Musa Barrow","gmGAM","FW,MF","Bologna","itSerie A","22","1998","23.7","87","3.67","65","11","3","4","4","0","10","0.42","8","1","0","1","0","0",
"Abdourahmane Barry","gnGUI","DF","Greuther Fürth","deBundesliga","21","2000","2.3","3","1.29","3","0","0","0","0","0","0","0.00","0","0","0","0","0","0",
"Marc Bartra","esESP","DF","Betis","esLa Liga","30","1991","22.1","12","0.54","8","1","0","3","0","0","0","0.00","0","0","0","0","0","0",
"Daniele Baselli","itITA","MF,FW","Torino","itSerie A","29","1992","1.7","2","1.23","1","1","0","0","0","0","0","0.00","0","0","0","0","0","0",
"Daniele Baselli","itITA","MF","Cagliari","itSerie A","29","1992","3.2","15","4.69","8","3","0","2","0","2","1","0.31","0","1","0","0","0","0",
"Toma Bašić","hrCRO","MF","Lazio","itSerie A","24","1996","10.9","9","0.83","5","1","1","2","0","0","3","0.28","1","1","0","1","0","0",
"Toma Bašić","hrCRO","MF","Bordeaux","frLigue 1","24","1996","2.3","6","2.58","2","3","1","0","0","0","1","0.43","0","1","0","0","0","0",
"Amine Bassi","frFRA","MF,FW","Metz","frLigue 1","23","1997","2.0","12","5.87","4","6","0","0","2","0","0","0.00","0","0","0","0","0","0",
