Name,Value,Fee,From,Direction
"Levent Ayçiçek","€800k","End of loanJun 30, 2017","1860 Munich","Left"
"Serge Gnabry","€15.00m","€8.00m","Bayern Munich","Joined"
"Felix Wiedwald","€2.00m","€500k","Leeds","Joined"
"Levent Ayçiçek","€800k","€200k","Greuther Fürth","Joined"
"Marnon Busch","€300k","€100k","Heidenheim","Joined"
"László Kleinheisler","€750k","Loan fee:€100k","FC Astana","Joined"
"Raphael Wolf","€300k","free transfer","F. Düsseldorf","Joined"
"Santiago García","€2.00m","free transfer","Toluca","Joined"
"Melvyn Lorenzen","€200k","free transfer","ADO Den Haag","Joined"
"Florian Grillitsch","€4.00m","free transfer","Hoffenheim","Joined"
"Izet Hajrovic","€1.00m","free transfer","Dinamo Zagreb","Joined"
"Lamine Sané","€2.75m","?","Orlando","Joined"
"Leon Guwara","€500k","loan transfer","1.FC K'lautern","Joined"
"Lennart Thy","€750k","loan transfer","VVV-Venlo","Joined"
"Thanos Petsos","€800k","loan transfer","Rapid Vienna","Joined"
"Sambou Yatabaré","€1.00m","loan transfer","Royal Antwerp","Joined"
"Ulisses Garcia","€500k","loan transfer","1.FC Nuremberg","Joined"
"Claudio Pizarro","€1.00m","-","Without Club","Joined"
"Clemens Fritz","-","-","Retired","Joined"
"Matthias Ginter","€15.00m","€17.00m","Dortmund","Left"
"Denis Zakaria","€4.00m","€12.00m","Young Boys","Left"
"Vincenzo Grifo","€10.00m","€6.00m","Freiburg","Left"
"Raúl Bobadilla","€4.00m","€2.00m","Augsburg","Left"
"Michaël Cuisance","-","€250k","AS Nancy U19","Left"
"Florian Neuhaus","€250k","free transfer","1860 Munich","Left"
"Reece Oxford","€5.00m","loan transfer","West Ham","Left"
"Reece Oxford","€5.00m","loan transfer","West Ham","Left"
"Kwame Yeboah","€125k","-","M'gladbach II","Left"
"Julio Villalba","-","End of loanJun 30, 2017","Cerro Porteño","Left"
"Mahmoud Dahoud","€15.00m","€12.00m","Dortmund","Joined"
"André Hahn","€4.50m","€6.00m","Hamburg","Joined"
"Timothée Kolodziejczak","€6.00m","€5.00m","Tigres UANL","Joined"
"Julian Korb","€3.00m","€3.00m","Hannover 96","Joined"
"Nico Schulz","€2.00m","€3.00m","Hoffenheim","Joined"
"Djibril Sow","€1.00m","€2.00m","Young Boys","Joined"
"Florian Neuhaus","€250k","Loan fee:€80k","F. Düsseldorf","Joined"
"Marvin Schulz","€400k","?","FC Luzern","Joined"
"Tsiy Ndenge","€100k","loan transfer","Roda JC","Joined"
"Kwame Yeboah","€125k","loan transfer","SC Paderborn","Joined"
"Janis Blaswich","€300k","loan transfer","Hansa Rostock","Joined"
"Reece Oxford","€5.00m","End of loanDec 31, 2017","West Ham","Joined"
"Andreas Christensen","€18.00m","End of loanJun 30, 2017","Chelsea","Joined"
"Nabil Bentaleb","€18.00m","€19.00m","Tottenham","Left"
"Yevgen Konoplyanka","€10.00m","€12.50m","Sevilla FC","Left"
"Amine Harit","€2.00m","€8.00m","FC Nantes","Left"
"Bastian Oczipka","€3.50m","€4.50m","Frankfurt","Left"
"Pablo Insua","€3.00m","€3.50m","Dep. La Coruña","Left"
"Cedric Teuchert","€800k","€1.00m","1.FC Nuremberg","Left"
"Marko Pjaca","€15.00m","Loan fee:€800k","Juventus","Left"
"Michael Langer","€500k","free transfer","Norrköping","Left"
"Abdul Rahman Baba","€8.00m","loan transfer","Chelsea","Left"
"Luke Hemmerich","-","-","Schalke 04 U19","Left"
"Weston McKennie","€100k","-","Schalke 04 U19","Left"
"Haji Wright","-","-","Schalke 04 U19","Left"
"Sascha Riether","€500k","-","Career break","Left"
"Bernard Tekpetey","€300k","End of loanDec 31, 2017","SCR Altach","Left"
"Fabian Reese","€500k","End of loanJun 30, 2017","Karlsruher SC","Left"
"Fabian Giefer","€500k","End of loanJun 30, 2017","Bristol City","Left"
"Sidney Sam","€750k","End of loanJun 30, 2017","Darmstadt 98","Left"
"Felix Platte","€500k","End of loanJun 30, 2017","Darmstadt 98","Left"
"Benedikt Höwedes","€18.00m","Loan fee:€3.50m","Juventus","Joined"
"Johannes Geis","€10.00m","Loan fee:€2.00m","Sevilla FC","Joined"
"Felix Platte","€500k","€800k","Darmstadt 98","Joined"
"Fabian Giefer","€500k","€750k","Augsburg","Joined"
"Fabian Reese","€750k","Loan fee:€50k","Greuther Fürth","Joined"
"Dennis Aogo","€1.50m","free transfer","Stuttgart","Joined"
"Timon Wellenreuther","€300k","free transfer","Willem II","Joined"
"Klaas-Jan Huntelaar","€2.00m","free transfer","Ajax","Joined"
"Sidney Sam","€750k","free transfer","VfL Bochum","Joined"
"Atsuto Uchida","€1.00m","free transfer","Union Berlin","Joined"
"Sead Kolasinac","€15.00m","free transfer","Arsenal","Joined"
"Phil Neumann","€125k","free transfer","FC Ingolstadt","Joined"
"Eric-Maxim Choupo-Moting","€6.00m","free transfer","Stoke City","Joined"
"Haji Wright","€200k","loan transfer","SV Sandhausen","Joined"
"Luke Hemmerich","€100k","loan transfer","VfL Bochum","Joined"
"Coke","€2.00m","loan transfer","Levante","Joined"
"Donis Avdijaj","€1.00m","loan transfer","Roda JC","Joined"
"Bernard Tekpetey","€300k","loan transfer","SCR Altach","Joined"
"Joshua Bitter","€125k","-","Schalke 04 II","Joined"
"Sascha Riether","€500k","-","Career break","Joined"
"Holger Badstuber","€2.50m","End of loanJun 30, 2017","Bayern Munich","Joined"
"Yevgen Konoplyanka","€10.00m","End of loanJun 30, 2017","Sevilla FC","Joined"
"Nabil Bentaleb","€18.00m","End of loanJun 30, 2017","Tottenham","Joined"
"Abdul Rahman Baba","€8.00m","End of loanJun 30, 2017","Chelsea","Joined"
"Sébastien Haller","€8.00m","€12.00m","Utrecht","Left"
"Jetro Willems","€7.50m","€4.50m","PSV","Left"
"Simon Falette","€3.00m","€2.70m","FC Metz","Left"
"Daichi Kamada","€750k","€1.60m","Sagan Tosu","Left"
"Danny da Costa","€1.00m","€1.00m","Leverkusen","Left"
"Jonathan de Guzmán","€2.00m","€1.00m","Napoli","Left"
"Carlos Salcedo","€3.50m","Loan fee:€450k","Chivas","Left"
"Marijan Cavar","€50k","€400k","Zrinjski Mostar","Left"
"Gelson Fernandes","€2.50m","€350k","Stade Rennais","Left"
"Luka Jović","€2.00m","Loan fee:€200k","Benfica","Left"
"Kevin-Prince Boateng","€5.00m","free transfer","UD Las Palmas","Left"
"Jan Zimmermann","€250k","free transfer","1860 Munich","Left"
"Ante Rebić","€2.50m","loan transfer","Fiorentina","Left"
"Deji Beyreuther","€150k","-","Frankfurt U19","Left"
"Renat Dadashov","-","-","Frankfurt U19","Left"
"Noel Knothe","-","-","Frankfurt U19","Left"
"Nelson Mandela Mbouhom","-","-","Frankfurt U19","Left"
"Bastian Oczipka","€3.50m","€4.50m","FC Schalke 04","Joined"
"Andersson Ordóñez","€500k","Loan fee:€415k","LDU Quito","Joined"
"Slobodan Medojevic","€500k","free transfer","Darmstadt 98","Joined"
"Haris Seferovic","€3.00m","free transfer","Benfica","Joined"
"Heinz Lindner","€1.00m","free transfer","Grasshoppers","Joined"
"Furkan Zorba","€150k","free transfer","VfL Osnabrück","Joined"
"Max Besuschkow","€400k","loan transfer","Holstein Kiel","Joined"
"Yanni Regäsel","€250k","-","Without Club","Joined"
"Jesús Vallejo","€8.00m","End of loanJun 30, 2017","Real Madrid","Joined"
"Shani Tarashaj","€2.00m","End of loanJun 30, 2017","Everton","Joined"
"Michael Hector","€3.00m","End of loanJun 30, 2017","Chelsea","Joined"
