Name,Value,Fee,From,Direction
"Zinédine Machach","€1.25m","End of loanJun 30, 2017","Toulouse","Joined"
"Bafétimbi Gomis","€5.00m","End of loanJun 30, 2017","Swansea","Joined"
"Florian Thauvin","€18.00m","End of loanJun 30, 2017","Newcastle","Joined"
"Clinton N'Jie","€7.00m","End of loanJun 30, 2017","Tottenham","Joined"
"William Vainqueur","€5.50m","End of loanJun 30, 2017","Roma","Joined"
"Philipp Wollscheid","€2.50m","€2.50m","Stoke City","Left"
"Emmanuel Rivière","€1.50m","€1.10m","Newcastle","Left"
"Quentin Beunardeau","€350k","free transfer","AFC Tubize","Left"
"Gerónimo Poblete","€1.00m","free transfer","Colon","Left"
"Cafú","€2.50m","?","FC Lorient","Left"
"Nolan Roux","€2.50m","?","Saint-Étienne","Left"
"Moussa Niakhaté","€400k","?","Valenciennes FC","Left"
"Ablie Jallow","-","?","Génération Foot","Left"
"Ibrahima Niane","-","?","Génération Foot","Left"
"Brian Fernández","€500k","loan transfer","Racing Club","Left"
"Danijel Milicevic","€2.50m","loan transfer","KAA Gent","Left"
"Farid Boulaya","€400k","loan transfer","Girona","Left"
"Georges Mandjeck","€1.00m","loan transfer","Sparta Prague","Left"
"Lemouya Goudiaby","-","-","FC Metz B","Left"
"Julian Palmieri","€1.50m","-","Without Club","Left"
"Théodore Efouba Ayissi","-","-","FC Metz B","Left"
"Mathieu Dossevi","€3.50m","loan transfer","Standard Liège","Left"
"Lucas Toussaint","-","End of loanJun 30, 2017","RFC Seraing","Left"
"Médéric Deher","€150k","End of loanJun 30, 2017","US Avranches","Left"
"Hamza Sakhi","€500k","End of loanJun 30, 2017","SAS Epinal","Left"
"Oumar Gonzalez","€250k","End of loanJun 30, 2017","SAS Epinal","Left"
"Habib Diallo","€1.50m","End of loanJun 30, 2017","Stade Brestois","Left"
"Hamza Sakhi","€500k","End of loanApr 15, 2018","AJ Auxerre","Left"
"Ismaïla Sarr","€2.50m","€17.00m","Stade Rennais","Joined"
"Simon Falette","€3.00m","€2.70m","Frankfurt","Joined"
"Cheick Doukouré","€1.25m","€1.60m","Levante","Joined"
"Georges Mandjeck","€1.25m","€1.30m","Sparta Prague","Joined"
"Chris Philipps","€1.25m","€250k","Legia Warszawa","Joined"
"Thibaut Vion","€600k","free transfer","Chamois Niort","Joined"
