Name,Value,Fee,From,Direction
"Alexis Sánchez","€70.00m","€34.00m","Arsenal","Left"
"Joel Pereira","€100k","-","Man Utd U23","Left"
"Scott McTominay","-","-","Man Utd U23","Left"
"Axel Tuanzebe","€1.00m","End of loanMay 31, 2018","Aston Villa","Left"
"Timothy Fosu-Mensah","€7.00m","End of loanMay 31, 2018","Crystal Palace","Left"
"James Wilson","€2.00m","End of loanMay 31, 2018","Sheff Utd","Left"
"Guillermo Varela","€750k","End of loanJun 30, 2017","Frankfurt","Left"
"Sam Johnstone","€2.50m","End of loanMay 31, 2018","Aston Villa","Left"
"Andreas Pereira","€5.00m","End of loanJun 30, 2017","Granada CF","Left"
"Henrikh Mkhitaryan","€35.00m","€34.00m","Arsenal","Joined"
"Adnan Januzaj","€7.00m","€8.50m","Real Sociedad","Joined"
"Andreas Pereira","€5.00m","Loan fee:€3.00m","Valencia","Joined"
"Wayne Rooney","€15.00m","free transfer","Everton","Joined"
"Zlatan Ibrahimović","€5.00m","free transfer","LA Galaxy","Joined"
"Guillermo Varela","€750k","?","Peñarol","Joined"
"Sam Johnstone","€1.00m","loan transfer","Aston Villa","Joined"
"Timothy Fosu-Mensah","€2.50m","loan transfer","Crystal Palace","Joined"
"Axel Tuanzebe","€1.00m","loan transfer","Aston Villa","Joined"
"James Wilson","€2.00m","loan transfer","Sheff Utd","Joined"
"Gylfi Sigurdsson","€25.00m","€49.40m","Swansea","Left"
"Jordan Pickford","€15.00m","€28.50m","Sunderland","Left"
"Michael Keane","€18.00m","€28.50m","Burnley","Left"
"Davy Klaassen","€18.00m","€27.00m","Ajax","Left"
"Cenk Tosun","€10.50m","€22.50m","Besiktas","Left"
"Theo Walcott","€20.00m","€22.50m","Arsenal","Left"
"Nikola Vlašić","€4.00m","€10.80m","Hajduk Split","Left"
"Henry Onyekuru","€7.00m","€8.00m","KAS Eupen","Left"
"Sandro Ramírez","€10.00m","€6.00m","Málaga CF","Left"
"Wayne Rooney","€15.00m","free transfer","Man Utd","Left"
"Cuco Martina","€2.00m","free transfer","Southampton","Left"
"Eliaquim Mangala","€15.00m","loan transfer","Man City","Left"
"Kieran Dowell","€250k","-","Everton U23","Left"
"Beni Baningime","-","-","Everton U23","Left"
"Jonjoe Kenny","€250k","-","Everton U23","Left"
"Kieran Dowell","€3.00m","End of loanMay 31, 2018","Nott'm Forest","Left"
"Matthew Pennington","€500k","End of loanMay 31, 2018","Leeds","Left"
"Tyias Browning","€1.00m","End of loanMay 31, 2018","Sunderland","Left"
"Brendan Galloway","€3.00m","End of loanMay 31, 2018","Sunderland","Left"
"Muhamed Besic","€5.00m","End of loanMay 31, 2018","Middlesbrough","Left"
"Gerard Deulofeu","€12.00m","End of loanJun 30, 2017","AC Milan","Left"
"Tom Cleverley","€8.00m","End of loanJun 30, 2017","Watford","Left"
"Shani Tarashaj","€2.00m","End of loanJun 30, 2017","Frankfurt","Left"
"Romelu Lukaku","€50.00m","€84.70m","Man Utd","Joined"
"Ross Barkley","€25.00m","€16.80m","Chelsea","Joined"
"Gerard Deulofeu","€12.00m","€12.00m","Barcelona","Joined"
"Tom Cleverley","€8.00m","€9.30m","Watford","Joined"
"Aaron Lennon","€5.00m","€1.70m","Burnley","Joined"
"Gareth Barry","€1.50m","€1.10m","West Brom","Joined"
"Ademola Lookman","€7.00m","Loan fee:€500k","Leipzig","Joined"
"Aiden McGeady","€3.50m","€280k","Sunderland","Joined"
"Leandro Rodríguez","€1.00m","free transfer","Danubio FC","Joined"
"Conor McAleny","€500k","free transfer","Fleetwood","Joined"
"Arouna Koné","€1.50m","free transfer","Sivasspor","Joined"
"Muhamed Besic","€5.00m","loan transfer","Middlesbrough","Joined"
"Kieran Dowell","€250k","loan transfer","Nott'm Forest","Joined"
"Kevin Mirallas","€10.00m","loan transfer","Olympiacos","Joined"
"Tyias Browning","€1.00m","loan transfer","Sunderland","Joined"
"Sandro Ramírez","€10.00m","loan transfer","Sevilla FC","Joined"
"Matthew Pennington","€500k","loan transfer","Leeds","Joined"
"Brendan Galloway","€3.00m","loan transfer","Sunderland","Joined"
"Henry Onyekuru","€7.00m","loan transfer","RSC Anderlecht","Joined"
"Eliaquim Mangala","€15.00m","End of loanMay 31, 2018","Man City","Joined"
"Guido Carrillo","€6.00m","€22.00m","Monaco","Left"
"Mario Lemina","€7.50m","€17.25m","Juventus","Left"
"Wesley Hoedt","€7.50m","€16.00m","Lazio","Left"
"Jan Bednarek","€500k","€6.00m","Lech Poznan","Left"
"Jack Rose","€100k","free transfer","West Brom U23","Left"
"Jake Hesketh","-","-","Southampton U23","Left"
"Sam Gallagher","€3.00m","End of loanMay 31, 2018","Birmingham","Left"
"Matt Targett","€3.00m","End of loanMay 31, 2018","Fulham","Left"
"Ryan Seager","€100k","End of loanJan 25, 2018","MK Dons","Left"
"Harrison Reed","€1.00m","End of loanMay 31, 2018","Norwich","Left"
"Ryan Seager","€100k","End of loanMay 31, 2018","Yeovil Town","Left"
"Paulo Gazzaniga","€1.00m","End of loanJun 30, 2017","Rayo Vallecano","Left"
"Virgil van Dijk","€30.00m","€84.65m","Liverpool","Joined"
"Jay Rodríguez","€10.00m","€13.70m","West Brom","Joined"
"Martín Cáceres","€4.00m","free transfer","Hellas Verona","Joined"
"Cuco Martina","€2.00m","free transfer","Everton","Joined"
