Name,Value,Fee,From,Direction
"Urtzi Iriondo","€300k","End of loanJun 30, 2017","Elche CF","Left"
"Kike Sola","€500k","End of loanJun 30, 2017","CD Numancia","Left"
"Ager Aketxe","€1.00m","End of loanJun 30, 2017","Cádiz CF","Left"
"Mikel Vesga","€1.50m","End of loanJun 30, 2017","Sporting Gijón","Left"
"Iago Herrerín","€3.00m","End of loanJun 30, 2017","CD Leganés","Left"
"Unai López","€2.00m","End of loanJun 30, 2017","CD Leganés","Left"
"Aymeric Laporte","€25.00m","€65.00m","Man City","Joined"
"Ager Aketxe","€2.00m","free transfer","Toronto","Joined"
"Eneko Bóveda","€2.00m","free transfer","Dep. La Coruña","Joined"
"Gorka Iraizoz","€500k","free transfer","Girona","Joined"
"Gorka Elustondo","€1.00m","free transfer","Atl. Nacional","Joined"
"Javi Eraso","€1.50m","free transfer","CD Leganés","Joined"
"Álex Remiro","€600k","loan transfer","SD Huesca","Joined"
"Unai López","€2.00m","loan transfer","Rayo Vallecano","Joined"
"Urtzi Iriondo","€300k","loan transfer","Granada CF","Joined"
"Mario Hermoso","€400k","€12.50m","RM Castilla","Left"
"Naldo","€4.00m","€2.50m","Krasnodar","Left"
"Pablo Piatti","€6.00m","€1.30m","Valencia","Left"
"Sergi Darder","€11.00m","Loan fee:€300k","Lyon","Left"
"Dídac Vilà","€1.00m","€250k","AEK Athens","Left"
"Carlos Sánchez","€2.50m","Loan fee:€200k","Fiorentina","Left"
"Esteban Granero","€2.00m","free transfer","Real Sociedad","Left"
"Diego López","€1.00m","free transfer","AC Milan","Left"
"Sergio García","€3.00m","free transfer","Al-Rayyan","Left"
"Sergio Sánchez","€1.00m","loan transfer","Rubin Kazan","Left"
"Óscar Melendo","€500k","-","RCD Espanyol B","Left"
"Pau López","€1.50m","End of loanJun 30, 2017","Tottenham","Left"
"Mamadou Sylla","€3.00m","End of loanJun 30, 2017","KAS Eupen","Left"
"Rober Correa","€500k","End of loanJun 30, 2017","Elche CF","Left"
"Joan Jordán","€1.00m","End of loanJun 30, 2017","Real Valladolid","Left"
"Paco Montañés","€700k","End of loanJun 30, 2017","Levante","Left"
"Jairo Morillas","€300k","End of loanJun 30, 2017","CD Numancia","Left"
"Joan Jordán","€1.00m","€3.80m","SD Eibar","Joined"
"Felipe Caicedo","€3.00m","€2.50m","Lazio","Joined"
"Mamadou Sylla","€3.00m","€2.30m","KAS Eupen","Joined"
"Javi Fuego","€1.00m","€1.50m","Villarreal","Joined"
"Rubén Duarte","€1.00m","€400k","Alavés","Joined"
"Víctor Álvarez","€1.00m","free transfer","Arsenal Tula","Joined"
"Pape Diop","€1.00m","free transfer","SD Eibar","Joined"
"Paco Montañés","€700k","free transfer","CD Tenerife","Joined"
"Rober Correa","€500k","free transfer","Cádiz CF","Joined"
"Salva Sevilla","€500k","free transfer","RCD Mallorca","Joined"
"Roberto","€2.00m","loan transfer","Málaga CF","Joined"
"Hernán Pérez","€1.50m","loan transfer","Alavés","Joined"
"José Antonio Reyes","€800k","-","Without Club","Joined"
"Álvaro Vázquez","€1.00m","loan transfer","Gimnàstic","Joined"
"Pablo Piatti","€6.00m","End of loanJun 30, 2017","Valencia","Joined"
"Diego López","€1.00m","End of loanJun 30, 2017","AC Milan","Joined"
"Diego Reyes","€6.00m","End of loanJun 30, 2017","Porto","Joined"
"Burgui","€1.50m","€3.00m","Real Madrid","Left"
"Rodrigo Ely","€2.00m","€2.80m","AC Milan","Left"
"Guillermo Maripán","€550k","€2.50m","U. Católica","Left"
"Antonio Sivera","€300k","€2.00m","Valencia B","Left"
"Rubén Sobrino","€500k","€2.00m","Man City","Left"
"Rubén Duarte","€1.00m","€400k","Espanyol","Left"
"Mubarak Wakaso","€1.00m","free transfer","Panathinaikos","Left"
"Nando García","€400k","free transfer","Valencia B","Left"
"Antonio Glauder","€250k","free transfer","RCD Espanyol B","Left"
"Juanan Entrena","€200k","free transfer","Granada B","Left"
"Enzo Zidane","€2.50m","free transfer","RM Castilla","Left"
"Anderson Cruz","€100k","?","Bouzas","Left"
"Rafa Páez","€100k","?","UCAM Murcia","Left"
"Bojan Krkic","€5.00m","loan transfer","Stoke City","Left"
"Álvaro Medrán","€2.50m","loan transfer","Valencia","Left"
"John Guidetti","€5.00m","loan transfer","Celta de Vigo","Left"
"Hernán Pérez","€1.50m","loan transfer","Espanyol","Left"
"Tomás Pina","€1.50m","loan transfer","Club Brugge","Left"
"Alfonso Pedraza","€1.00m","loan transfer","Villarreal","Left"
"Héctor Hernández","€600k","loan transfer","Real Sociedad","Left"
"Munir El Haddadi","€9.00m","loan transfer","Barcelona","Left"
"Edgar Méndez","€2.00m","€5.00m","CD Cruz Azul","Joined"
"Zouhair Feddal","€3.00m","€2.50m","Real Betis","Joined"
"Nenad Krsticic","€1.00m","free transfer","Red Star","Joined"
"Gaizka Toquero","€500k","free transfer","Real Zaragoza","Joined"
"Kiko Femenía","€4.00m","free transfer","Watford","Joined"
"Raúl Carnero","€1.00m","free transfer","CD Leganés","Joined"
"Enzo Zidane","€2.00m","free transfer","Lausanne-Sport","Joined"
"Nando García","€400k","loan transfer","Lorca FC","Joined"
"Anderson Cruz","€100k","loan transfer","NK Rudes","Joined"
"Aleksandar Katai","€1.00m","loan transfer","Chicago","Joined"
"Rafa Páez","€100k","loan transfer","NK Rudes","Joined"
"Juanan Entrena","€200k","loan transfer","NK Rudes","Joined"
"Antonio Glauder","€250k","loan transfer","NK Rudes","Joined"
"Rodrigo Ely","€2.00m","End of loanJun 30, 2017","AC Milan","Joined"
"Óscar Romero","€5.00m","End of loanDec 31, 2017","SH Shenhua","Joined"
"Víctor Camarasa","€5.00m","End of loanJun 30, 2017","Levante","Joined"
"Marcos Llorente","€15.00m","End of loanJun 30, 2017","Real Madrid","Joined"
"Theo Hernández","€15.00m","End of loanJun 30, 2017","Atlético","Joined"
"Deyverson","€5.00m","End of loanJun 30, 2017","Levante","Joined"
"Rubén Sobrino","€500k","End of loanJun 30, 2017","Man City","Joined"
"Adrián Ortolá","€800k","End of loanJun 30, 2017","Barcelona B","Joined"
"Paulo Oliveira","€4.00m","€4.00m","Sporting","Left"
"Joan Jordán","€1.00m","€3.80m","Espanyol","Left"
"Marko Dmitrovic","€1.00m","€1.00m","AD Alcorcón","Left"
"Yoel Rodríguez","€2.50m","€750k","Valencia","Left"
"Fabián Orellana","€2.00m","Loan fee:€400k","Valencia","Left"
"Iván Alejo","€300k","€300k","AD Alcorcón","Left"
"Cote","€1.50m","free transfer","Porto","Left"
"Charles","€1.50m","free transfer","Málaga CF","Left"
"Pape Diop","€1.00m","free transfer","Espanyol","Left"
"Pablo Hervías","€500k","free transfer","Real Sociedad","Left"
"Vukasin Jovanovic","€5.00m","loan transfer","G. Bordeaux","Left"
"David Lombán","€2.50m","-","Without Club","Left"
"Jon Ander Felipe","€100k","End of loanJun 30, 2017","UE Llagostera","Left"
"Unai Elgezabal","€300k","End of loanJun 30, 2017","AD Alcorcón","Left"
"Jordi Calavera","€800k","End of loanJun 30, 2017","CD Lugo","Left"
"Nano Mesa","€600k","End of loanJan 29, 2018","Levante","Left"
