Plyaer, Nation, Position, Team, League, Age, Born, 90s, TotCmp, TotAtt, TotCmp%, TotDist, PrgDist,ShortCmp, ShortAtt, ShortCmp%,MedCmp, MedAtt, MedCmp%,LongCmp, LongAtt, LongCmp%,Ast, xAG, xA, A-xG, KeyPasses, PassIntoFinal3rd, PassintoPenaltyArea, CrossesintoPenaltyArea, ProgressivePasses
"Josip Brekalo","hrCRO","MF","Torino","itSerie A","23","1998","25.4","835","1166","71.6","14202","3308","407","488","83.4","293","391","74.9","103","180","57.2","2","5.5","4.8","-3.5","62","65","35","12","105",
"Josip Brekalo","hrCRO","FW","Wolfsburg","deBundesliga","23","1998","0.2","12","17","70.6","219","32","4","4","100.0","4","7","57.1","2","2","100.0","1","0.3","0.4","+0.7","1","0","0","0","1",
"Gleison Bremer","brBRA","DF","Torino","itSerie A","24","1997","32.1","1166","1434","81.3","23627","7926","303","369","82.1","719","813","88.4","129","207","62.3","1","0.4","0.6","+0.6","7","46","4","0","64",
"Jimmy Briand","frFRA","FW,MF","Bordeaux","frLigue 1","35","1985","2.5","64","77","83.1","816","207","43","48","89.6","16","21","76.2","1","1","100.0","1","1.0","0.7","0.0","11","3","4","0","7",
"Yan Brice Eteki","cmCMR","MF","Granada","esLa Liga","23","1997","3.8","95","127","74.8","1589","466","39","50","78.0","47","57","82.5","4","10","40.0","0","0.0","0.0","0.0","1","9","0","0","17",
"Brian Brobbey","nlNED","FW,MF","RB Leipzig","deBundesliga","19","2002","1.5","28","32","87.5","349","68","19","21","90.5","5","6","83.3","2","2","100.0","2","0.7","0.1","+1.3","3","2","0","0","2",
"Armando Broja","alALB","FW","Southampton","engPremier League","19","2001","21.9","243","404","60.1","2594","572","167","249","67.1","48","87","55.2","1","7","14.3","0","1.0","0.3","-1.0","10","13","2","0","29",
"Dylan Bronn","tnTUN","DF","Metz","frLigue 1","26","1995","28.3","955","1185","80.6","18748","7367","338","385","87.8","488","546","89.4","118","218","54.1","2","1.2","1.0","+0.8","4","63","4","1","58",
"John Brooks","usUSA","DF","Wolfsburg","deBundesliga","28","1993","29.1","1443","1736","83.1","29973","11427","416","470","88.5","829","908","91.3","187","311","60.1","1","0.4","1.2","+0.6","7","101","8","1","130",
"Daniel Brosinski","deGER","DF","Mainz 05","deBundesliga","33","1988","4.3","160","243","65.8","2871","1634","76","83","91.6","62","98","63.3","20","48","41.7","0","0.6","0.6","-0.6","8","16","8","4","21",
"Josh Brownhill","engENG","MF","Burnley","engPremier League","25","1995","32.8","891","1196","74.5","13793","4197","463","547","84.6","291","389","74.8","77","147","52.4","3","2.6","3.2","+0.4","40","97","22","3","106",
"Marcelo Brozović","hrCRO","MF","Inter","itSerie A","28","1992","32.6","2401","2608","92.1","44859","13556","980","1044","93.9","1058","1122","94.3","315","361","87.3","1","1.9","3.4","-0.9","35","264","29","9","263",
"Cédric Brunner","chSUI","DF","Arminia","deBundesliga","27","1994","24.3","731","1126","64.9","13580","6256","306","365","83.8","332","476","69.7","82","233","35.2","1","1.2","1.7","-0.2","16","61","25","13","82",
"Lewis Brunt","engENG","MF","Leicester City","engPremier League","20","2000","0.3","21","21","100.0","365","28","10","10","100.0","10","10","100.0","1","1","100.0","0","0.0","0.0","0.0","0","1","0","0","2",
"Jacob Bruun Larsen","dkDEN","FW,MF","Hoffenheim","deBundesliga","22","1998","9.0","207","286","72.4","3045","690","119","146","81.5","74","101","73.3","8","14","57.1","0","2.0","1.5","-2.0","15","15","16","1","27",
"Ante Budimir","hrCRO","FW","Osasuna","esLa Liga","30","1991","19.3","204","358","57.0","2566","416","130","205","63.4","48","76","63.2","7","13","53.8","2","0.7","0.6","+1.3","10","18","6","1","23",
"Emi Buendía","arARG","MF,FW","Aston Villa","engPremier League","24","1996","21.1","711","902","78.8","10017","2688","418","482","86.7","199","248","80.2","42","79","53.2","6","5.8","4.2","+0.2","48","71","43","3","117",
"Osman Bukari","ghGHA","FW,MF","Nantes","frLigue 1","22","1998","11.2","220","299","73.6","2723","644","145","172","84.3","58","80","72.5","4","16","25.0","4","2.8","1.7","+1.2","18","10","6","2","20",
"Aleksander Buksa","plPOL","FW","Genoa","itSerie A","18","2003","0.7","5","15","33.3","58","26","4","7","57.1","1","5","20.0","0","0","","0","0.0","0.0","0.0","0","0","0","0","1",
"Alessandro Buongiorno","itITA","DF","Torino","itSerie A","22","1999","13.1","451","559","80.7","7307","2436","227","256","88.7","186","225","82.7","28","57","49.1","1","0.7","0.3","+0.3","5","28","1","1","30",
"Sascha Burchert","deGER","GK","Greuther Fürth","deBundesliga","31","1989","14.0","334","560","59.6","11556","9168","31","31","100.0","129","133","97.0","174","392","44.4","0","0.0","0.0","0.0","1","13","0","0","2",
"Delano Burgzorg","srSUR","MF","Mainz 05","deBundesliga","22","1998","0.3","3","3","100.0","17","4","1","1","100.0","0","0","","0","0","","0","0.0","0.0","0.0","0","0","0","0","0",
"Jonathan Burkardt","deGER","FW,MF","Mainz 05","deBundesliga","21","2000","29.0","399","602","66.3","5907","1265","203","272","74.6","144","199","72.4","22","39","56.4","3","2.7","2.4","+0.3","32","32","19","4","64",
"Roman Bürki","chSUI","GK","Dortmund","deBundesliga","30","1990","1.0","16","23","69.6","262","207","8","8","100.0","7","7","100.0","1","8","12.5","0","0.0","0.0","0.0","0","0","0","0","0",
"Dan Burn","engENG","DF","Newcastle Utd","engPremier League","29","1992","16.0","459","587","78.2","8701","2825","154","186","82.8","263","304","86.5","35","82","42.7","1","0.4","0.3","+0.6","4","32","0","0","31",
"Dan Burn","engENG","DF","Brighton","engPremier League","29","1992","11.4","523","645","81.1","10143","3167","171","205","83.4","298","331","90.0","49","90","54.4","0","0.5","0.1","-0.5","2","43","1","0","50",
"Maxime Busi","beBEL","DF","Reims","frLigue 1","21","1999","14.4","548","709","77.3","9362","3622","270","300","90.0","225","276","81.5","46","101","45.5","0","1.1","0.8","-1.1","17","44","14","4","60",
"Gianluca Busio","usUSA","MF","Venezia","itSerie A","19","2002","21.7","733","896","81.8","13150","3223","330","371","88.9","305","341","89.4","84","128","65.6","1","1.4","1.1","-0.4","16","69","10","2","79",
"Oriol Busquets","esESP","MF","Clermont Foot","frLigue 1","22","1999","2.2","110","124","88.7","1860","580","61","68","89.7","30","35","85.7","15","17","88.2","0","0.0","0.0","0.0","0","10","0","0","10",
"Sergio Busquets","esESP","MF","Barcelona","esLa Liga","33","1988","35.5","2430","2793","87.0","42404","12095","1078","1187","90.8","984","1090","90.3","272","355","76.6","0","1.7","2.7","-1.7","33","274","25","1","291",
"Jack Butland","engENG","GK","Crystal Palace","engPremier League","28","1993","8.5","214","287","74.6","4835","2860","61","61","100.0","108","108","100.0","40","113","35.4","0","0.0","0.0","0.0","0","2","0","0","0",
"Adrián Butzke","esESP","FW","Granada","esLa Liga","22","1999","0.0","0","1","0.0","0","0","0","1","0.0","0","0","","0","0","","0","0.0","0.0","0.0","0","0","0","0","0",
"Marcin Bułka","plPOL","GK","Nice","frLigue 1","21","1999","1.0","21","24","87.5","373","246","7","8","87.5","13","13","100.0","1","3","33.3","0","0.0","0.0","0.0","0","0","0","0","0",
"Sam Byram","engENG","DF","Norwich City","engPremier League","27","1993","11.4","393","515","76.3","5981","1974","219","248","88.3","144","197","73.1","17","36","47.2","0","0.2","0.3","-0.2","4","15","2","0","23",
"Erick Cabaco","uyURU","DF","Getafe","esLa Liga","26","1995","4.5","115","173","66.5","2418","1157","38","48","79.2","56","67","83.6","19","51","37.3","1","0.4","0.2","+0.6","2","12","0","0","13",
"Willy Caballero","arARG","GK","Southampton","engPremier League","39","1981","2.0","37","60","61.7","1320","1119","6","6","100.0","12","12","100.0","19","42","45.2","0","0.0","0.0","0.0","0","1","0","0","0",
"Rémy Cabella","frFRA","MF,FW","Montpellier","frLigue 1","31","1990","3.5","175","211","82.9","2612","872","108","126","85.7","51","58","87.9","10","16","62.5","0","0.6","0.9","-0.6","8","24","8","0","34",
"Jimmy Cabot","frFRA","DF","Angers","frLigue 1","27","1994","22.3","1081","1381","78.3","18917","5045","536","597","89.8","424","524","80.9","107","196","54.6","5","1.7","1.5","+3.3","18","55","23","10","77",
"Arthur Cabral","brBRA","FW","Fiorentina","itSerie A","23","1998","8.3","110","142","77.5","1728","248","59","71","83.1","36","46","78.3","8","11","72.7","2","0.4","0.3","+1.6","7","7","2","0","10",
"Jovane Cabral","cvCPV","FW","Lazio","itSerie A","23","1998","2.1","31","37","83.8","438","99","16","16","100.0","8","10","80.0","3","4","75.0","0","0.0","0.0","0.0","1","3","0","0","5",
"Leandro Cabrera","uyURU","DF","Espanyol","esLa Liga","30","1991","37.0","1458","1934","75.4","30092","15087","493","556","88.7","712","849","83.9","229","461","49.7","0","0.7","0.8","-0.7","10","120","2","0","107",
"Liberato Cacace","nzNZL","DF","Empoli","itSerie A","20","2000","5.2","193","234","82.5","3202","1087","91","100","91.0","81","93","87.1","15","27","55.6","0","0.0","0.1","0.0","1","14","0","0","12",
"Martín Cáceres","uyURU","DF","Cagliari","itSerie A","34","1987","9.2","311","452","68.8","6204","2385","121","141","85.8","136","191","71.2","47","96","49.0","1","0.7","1.0","+0.3","5","29","3","0","34",
"Martín Cáceres","uyURU","DF","Levante","esLa Liga","34","1987","7.4","287","353","81.3","5485","1893","119","128","93.0","130","155","83.9","35","61","57.4","0","0.1","0.2","-0.1","3","20","3","1","31",
"Anthony Caci","frFRA","DF","Strasbourg","frLigue 1","24","1997","26.6","1260","1627","77.4","23631","8890","516","594","86.9","553","675","81.9","164","278","59.0","3","4.0","3.6","-1.0","28","125","31","18","174",
"Mathieu Cafaro","frFRA","MF,FW","Reims","frLigue 1","24","1997","2.1","44","84","52.4","792","312","17","31","54.8","23","29","79.3","3","21","14.3","0","0.1","0.4","-0.1","2","2","5","2","6",
"Yannick Cahuzac","frFRA","MF","Lens","frLigue 1","36","1985","6.9","214","251","85.3","3284","758","114","127","89.8","87","101","86.1","8","12","66.7","0","0.0","0.2","0.0","1","21","2","0","19",
"Felipe Caicedo","ecECU","FW","Genoa","itSerie A","32","1988","3.2","51","75","68.0","576","94","36","47","76.6","10","17","58.8","0","1","0.0","2","1.1","0.4","+0.9","6","1","3","0","4",
"Felipe Caicedo","ecECU","FW,DF","Inter","itSerie A","32","1988","0.3","3","8","37.5","52","23","2","3","66.7","1","4","25.0","0","0","","0","0.1","0.1","-0.1","1","0","1","0","3",
"Moisés Caicedo","ecECU","MF","Brighton","engPremier League","19","2001","7.3","225","275","81.8","3117","843","144","164","87.8","59","75","78.7","12","17","70.6","1","0.3","0.4","+0.7","4","19","2","0","22",
"Marc-Aurèle Caillard","frFRA","GK","Metz","frLigue 1","27","1994","17.1","269","455","59.1","9691","8167","28","28","100.0","113","117","96.6","127","308","41.2","0","0.0","0.0","0.0","0","7","0","0","0",
"Jens Cajuste","seSWE","MF,FW","Reims","frLigue 1","21","1999","4.0","66","96","68.8","1141","304","31","37","83.8","25","40","62.5","7","9","77.8","0","0.0","0.1","0.0","2","4","1","0","13",
"Cala","esESP","DF","Cádiz","esLa Liga","31","1989","10.5","216","295","73.2","5017","1832","47","57","82.5","120","142","84.5","47","89","52.8","0","0.5","0.0","-0.5","2","8","0","0","8",
"Davide Calabria","itITA","DF","Milan","itSerie A","24","1996","23.5","958","1271","75.4","16848","6799","435","495","87.9","401","512","78.3","104","198","52.5","2","1.8","2.1","+0.2","19","96","24","13","113",
"Riccardo Calafiori","itITA","DF","Genoa","itSerie A","19","2002","0.9","12","21","57.1","204","119","5","9","55.6","7","9","77.8","0","3","0.0","0","0.0","0.0","0.0","0","1","0","0","1",
"Riccardo Calafiori","itITA","DF","Roma","itSerie A","19","2002","1.9","64","82","78.0","989","270","36","40","90.0","20","24","83.3","6","11","54.5","1","0.9","0.6","+0.1","1","1","2","1","3",
"Mattia Caldara","itITA","DF","Venezia","itSerie A","27","1994","30.0","951","1167","81.5","18979","7330","350","390","89.7","441","512","86.1","148","237","62.4","0","0.1","0.2","-0.1","3","52","1","0","63",
"Calderón","esESP","DF","Betis","esLa Liga","21","2000","0.7","41","45","91.1","665","144","25","26","96.2","12","15","80.0","4","4","100.0","0","0.1","0.1","-0.1","1","0","3","1","2",
"Fernando Calero","esESP","DF","Espanyol","esLa Liga","25","1995","12.1","528","633","83.4","9557","3859","226","237","95.4","248","278","89.2","47","103","45.6","0","0.1","0.2","-0.1","2","36","0","0","24",
"Duje Ćaleta-Car","hrCRO","DF","Marseille","frLigue 1","24","1996","22.9","1668","1820","91.6","32452","10224","573","603","95.0","878","913","96.2","195","269","72.5","0","0.6","0.8","-0.6","3","95","6","0","83",
"Hakan Çalhanoğlu","trTUR","MF","Inter","itSerie A","27","1994","27.6","1480","1823","81.2","27656","7793","649","713","91.0","577","668","86.4","218","356","61.2","12","8.7","7.7","+3.3","88","183","53","16","184",
"Daniel Caligiuri","itITA","DF,MF","Augsburg","deBundesliga","33","1988","22.3","629","931","67.6","10766","4627","324","387","83.7","222","308","72.1","67","158","42.4","2","2.4","2.2","-0.4","23","56","17","2","77",
"José Callejón","esESP","FW","Fiorentina","itSerie A","34","1987","14.4","484","618","78.3","7873","1923","257","293","87.7","173","215","80.5","42","77","54.5","2","2.4","3.0","-0.4","21","34","24","6","71",
"Lucas Calodat","frFRA","DF","Saint-Étienne","frLigue 1","19","2002","0.0","2","2","100.0","27","9","1","1","100.0","1","1","100.0","0","0","","0","0.0","0.0","0.0","0","0","0","0","0",
"Dominic Calvert-Lewin","engENG","FW","Everton","engPremier League","24","1997","14.3","167","280","59.6","1807","408","111","169","65.7","31","51","60.8","3","4","75.0","2","1.6","1.2","+0.4","10","10","4","0","17",
"Mahdi Camara","frFRA","MF,DF","Saint-Étienne","frLigue 1","23","1998","34.1","1233","1502","82.1","18281","5379","682","781","87.3","426","494","86.2","65","112","58.0","0","1.3","1.3","-1.3","30","114","11","3","132",
"Mamadou Camara","mlMLI","FW","Troyes","frLigue 1","20","2001","0.4","9","13","69.2","153","6","1","2","50.0","5","7","71.4","1","1","100.0","0","0.0","0.0","0.0","0","0","0","0","0",
"Víctor Camarasa","esESP","MF,FW","Betis","esLa Liga","27","1994","1.2","41","50","82.0","701","185","15","18","83.3","26","28","92.9","0","1","0.0","0","0.0","0.1","0.0","0","3","1","0","5",
"Eduardo Camavinga","frFRA","MF","Real Madrid","esLa Liga","18","2002","13.7","760","847","89.7","13399","3459","339","364","93.1","322","345","93.3","78","95","82.1","1","1.0","1.4","0.0","14","75","7","1","79",
"Eduardo Camavinga","frFRA","MF","Rennes","frLigue 1","18","2002","1.6","67","74","90.5","1373","236","25","30","83.3","27","28","96.4","13","13","100.0","0","0.0","0.0","0.0","1","6","0","0","8",
"Andrea Cambiaso","itITA","DF","Genoa","itSerie A","21","2000","19.9","690","890","77.5","10185","3061","391","443","88.3","249","312","79.8","29","62","46.8","4","1.4","1.7","+2.6","16","36","15","5","53",
"José Campaña","esESP","MF","Levante","esLa Liga","28","1993","15.8","715","880","81.3","11816","4424","365","395","92.4","248","291","85.2","74","141","52.5","2","1.1","1.3","+0.9","24","79","16","1","133",
"Chem Campbell","wlsWAL","MF","Wolves","engPremier League","18","2002","0.1","9","10","90.0","90","14","8","9","88.9","1","1","100.0","0","0","","0","0.0","0.0","0.0","0","0","0","0","0",
"Emre Can","deGER","DF,MF","Dortmund","deBundesliga","27","1994","18.8","1223","1436","85.2","22156","7240","507","554","91.5","575","637","90.3","118","193","61.1","1","0.8","1.4","+0.2","6","82","7","0","119",
"Sergio Canales","esESP","FW,MF","Betis","esLa Liga","30","1991","31.0","1551","1878","82.6","25591","6640","771","867","88.9","554","633","87.5","154","250","61.6","8","5.6","5.9","+2.4","65","145","56","5","238",
"Matteo Cancellieri","itITA","MF,DF","Hellas Verona","itSerie A","19","2002","2.5","46","70","65.7","645","187","30","37","81.1","8","14","57.1","6","10","60.0","0","0.2","0.1","-0.2","4","2","2","0","4",
"João Cancelo","ptPOR","DF","Manchester City","engPremier League","27","1994","35.9","2809","3365","83.5","44538","12620","1610","1732","93.0","938","1130","83.0","208","346","60.1","7","5.4","6.6","+1.6","39","308","96","12","357",
"Fali Candé","gwGNB","DF","Metz","frLigue 1","23","1998","10.8","348","488","71.3","5944","2533","168","197","85.3","146","190","76.8","34","82","41.5","2","1.5","1.5","+0.5","12","16","4","3","20",
"Antonio Candreva","itITA","MF,FW","Sampdoria","itSerie A","34","1987","34.7","1296","1948","66.5","23792","8485","617","730","84.5","397","600","66.2","221","444","49.8","10","7.2","8.3","+2.8","78","138","76","31","201",
"Sergi Canós","esESP","DF,FW","Brentford","engPremier League","24","1997","23.1","449","774","58.0","7092","2936","253","316","80.1","140","235","59.6","38","134","28.4","2","1.7","2.3","+0.3","17","47","24","9","59",
"Álex Cantero","esESP","FW,MF","Levante","esLa Liga","21","2000","6.8","89","131","67.9","1347","374","52","65","80.0","29","42","69.0","5","9","55.6","1","0.4","0.6","+0.6","3","8","6","2","14",
"Todd Cantwell","engENG","FW,MF","Norwich City","engPremier League","23","1998","4.9","130","157","82.8","1766","386","84","93","90.3","35","43","81.4","5","10","50.0","0","0.1","0.4","-0.1","2","13","2","0","10",
"Ander Capa","esESP","DF","Athletic Club","esLa Liga","29","1992","0.0","1","2","50.0","19","19","0","1","0.0","1","1","100.0","0","0","","0","0.0","0.0","0.0","0","1","0","0","1",
"Pierrick Capelle","frFRA","MF,DF","Angers","frLigue 1","34","1987","13.3","456","563","81.0","7826","2216","206","239","86.2","192","216","88.9","44","66","66.7","1","1.9","0.6","-0.9","14","38","3","1","50",
"Leonardo Capezzi","itITA","MF","Salernitana","itSerie A","26","1995","1.9","40","49","81.6","548","115","25","28","89.3","14","16","87.5","1","3","33.3","0","0.0","0.0","0.0","0","3","1","0","3",
"Étienne Capoue","frFRA","MF","Villarreal","esLa Liga","33","1988","25.4","1167","1330","87.7","19093","5195","567","616","92.0","476","522","91.2","86","124","69.4","1","0.5","2.1","+0.5","5","131","10","1","134",
"Gianluca Caprari","itITA","MF,FW","Hellas Verona","itSerie A","28","1993","30.4","960","1283","74.8","13655","3571","556","640","86.9","272","368","73.9","65","131","49.6","7","6.2","5.8","+0.8","63","57","61","5","164",
"Francesco Caputo","itITA","FW","Sampdoria","itSerie A","33","1987","31.0","442","587","75.3","5859","766","264","338","78.1","131","162","80.9","16","27","59.3","3","3.2","2.5","-0.2","39","20","15","2","32",
"Francesco Caputo","itITA","FW","Sassuolo","itSerie A","33","1987","1.7","28","36","77.8","328","29","21","24","87.5","6","8","75.0","0","0","","1","0.4","0.6","+0.6","3","0","2","0","2",
"Maxence Caqueret","frFRA","MF","Lyon","frLigue 1","21","2000","25.9","1313","1548","84.8","20304","6564","694","779","89.1","473","527","89.8","85","122","69.7","0","1.7","2.4","-1.7","24","172","16","1","154",
"Andrea Carboni","itITA","DF","Cagliari","itSerie A","20","2001","24.6","809","1078","75.0","14516","5604","342","388","88.1","379","464","81.7","78","179","43.6","0","0.1","0.5","-0.1","4","66","15","4","97",
"Isaac Carcelen","esESP","DF,MF","Cádiz","esLa Liga","28","1993","17.2","540","735","73.5","9096","3232","276","313","88.2","208","281","74.0","47","100","47.0","1","0.5","0.6","+0.5","9","50","10","4","62",
"Dani Cárdenas","esESP","GK","Levante","esLa Liga","24","1997","24.0","496","725","68.4","13104","9639","124","125","99.2","201","204","98.5","160","382","41.9","0","0.0","0.0","0.0","1","17","0","0","0",
"Irvin Cardona","mtMLT","FW,MF","Brest","frLigue 1","23","1997","14.8","209","324","64.5","2936","715","129","167","77.2","52","72","72.2","14","45","31.1","2","1.7","1.6","+0.3","15","10","6","2","18",
"Igor Carioca","brBRA","DF","Lorient","frLigue 1","24","1996","17.5","584","777","75.2","9338","3012","283","324","87.3","237","299","79.3","41","79","51.9","0","0.7","0.8","-0.7","10","32","12","7","43",
"Carlo","esESP","MF","Villarreal","esLa Liga","20","2001","0.1","4","4","100.0","69","23","2","2","100.0","2","2","100.0","0","0","","0","0.0","0.0","0.0","0","1","1","0","2",
"Diego Carlos","brBRA","DF","Sevilla","esLa Liga","28","1993","32.9","1916","2195","87.3","41010","14893","517","563","91.8","1082","1126","96.1","294","460","63.9","0","0.2","1.0","-0.2","4","92","8","1","99",
"Carmona","esESP","DF","Sevilla","esLa Liga","19","2002","0.3","7","13","53.8","148","51","2","5","40.0","3","5","60.0","2","2","100.0","0","0.0","0.0","0.0","0","2","0","0","1",
"Yannick Carrasco","beBEL","FW,MF","Atlético Madrid","esLa Liga","27","1993","28.7","947","1253","75.6","12875","4031","589","665","88.6","232","306","75.8","61","145","42.1","6","7.0","6.9","-1.0","54","38","43","10","84",
"Guido Carrillo","arARG","FW","Elche","esLa Liga","30","1991","13.0","208","302","68.9","2561","422","134","177","75.7","42","65","64.6","9","14","64.3","0","0.3","0.4","-0.3","6","14","2","0","13",
"Dani Carvajal","esESP","DF","Real Madrid","esLa Liga","29","1992","17.2","1020","1193","85.5","16957","4438","522","568","91.9","396","459","86.3","87","122","71.3","3","2.4","2.8","+0.6","25","51","24","8","73",
"William Carvalho","ptPOR","MF","Betis","esLa Liga","29","1992","20.1","1157","1321","87.6","19636","5794","592","643","92.1","432","485","89.1","110","141","78.0","3","1.5","1.4","+1.5","22","134","24","0","163",
"Nicolò Casale","itITA","DF","Hellas Verona","itSerie A","23","1998","28.7","957","1195","80.1","16387","5759","429","498","86.1","421","502","83.9","78","127","61.4","1","1.0","1.3","0.0","11","63","12","4","91",
"Casemiro","brBRA","MF","Real Madrid","esLa Liga","29","1992","28.5","1695","1989","85.2","30880","10039","782","857","91.2","630","743","84.8","227","288","78.8","3","2.8","2.9","+0.2","26","194","21","4","162",
"Matty Cash","plPOL","DF","Aston Villa","engPremier League","23","1997","37.5","1113","1627","68.4","18719","7079","547","631","86.7","435","606","71.8","101","291","34.7","3","2.8","2.4","+0.2","28","71","32","16","96",
"Kiko Casilla","esESP","GK","Elche","esLa Liga","34","1986","14.0","324","486","66.7","9565","7217","58","58","100.0","134","139","96.4","128","283","45.2","0","0.1","0.0","-0.1","1","4","0","0","0",
"Moreto Cassamã","gwGNB","MF","Reims","frLigue 1","23","1998","8.9","351","434","80.9","6813","1909","138","157","87.9","149","164","90.9","57","83","68.7","0","0.5","0.6","-0.5","8","47","4","0","45",
"Francesco Cassata","itITA","MF","Genoa","itSerie A","24","1997","0.1","1","1","100.0","51","0","0","0","","0","0","","1","1","100.0","0","0.0","0.0","0.0","0","0","0","0","0",
"Timothy Castagne","beBEL","DF","Leicester City","engPremier League","25","1995","23.6","1077","1330","81.0","16391","5539","611","694","88.0","393","467","84.2","56","101","55.4","0","1.5","1.0","-1.5","15","66","14","8","72",
"Koen Casteels","beBEL","GK","Wolfsburg","deBundesliga","29","1992","28.0","843","1079","78.1","24035","16216","144","145","99.3","389","395","98.5","307","532","57.7","0","0.0","0.0","0.0","0","13","0","0","1",
"Jean-Charles Castelletto","cmCMR","DF","Nantes","frLigue 1","26","1995","27.9","1036","1208","85.8","19254","7350","369","417","88.5","531","579","91.7","105","167","62.9","0","0.2","0.3","-0.2","6","97","5","1","95",
"Samu Castillejo","esESP","FW,MF","Milan","itSerie A","26","1995","1.4","54","65","83.1","847","210","38","39","97.4","9","11","81.8","6","12","50.0","0","0.2","0.2","-0.2","2","5","4","3","5",
"Gonzalo Castro","deGER","MF,FW","Arminia","deBundesliga","34","1987","4.8","112","169","66.3","1813","538","55","64","85.9","40","57","70.2","10","28","35.7","1","0.4","0.4","+0.6","4","10","3","1","13",
"Jonny Castro","esESP","DF","Wolves","engPremier League","27","1994","11.4","509","610","83.4","7860","2250","280","317","88.3","188","218","86.2","31","42","73.8","0","1.3","0.7","-1.3","11","20","7","4","35",
"Gaetano Castrovilli","itITA","MF","Fiorentina","itSerie A","24","1997","15.5","404","539","75.0","6627","1868","215","243","88.5","145","189","76.7","30","61","49.2","1","0.8","1.5","+0.2","14","37","24","0","78",
"Danilo Cataldi","itITA","MF","Lazio","itSerie A","26","1994","19.0","1201","1401","85.7","19380","6444","632","674","93.8","411","472","87.1","111","184","60.3","2","3.2","2.6","-1.2","25","126","17","2","97",
"Catena","esESP","DF","Rayo Vallecano","esLa Liga","26","1994","36.0","1393","1723","80.8","32147","13809","371","423","87.7","705","785","89.8","301","464","64.9","2","0.8","0.7","+1.2","7","89","1","0","84",
"Craig Cathcart","nirNIR","DF","Watford","engPremier League","32","1989","26.6","767","953","80.5","16030","5348","231","276","83.7","418","476","87.8","112","184","60.9","1","1.2","0.4","-0.2","3","48","4","1","52",
"Edinson Cavani","uyURU","FW","Manchester Utd","engPremier League","34","1987","8.5","176","233","75.5","2277","238","105","129","81.4","43","59","72.9","7","11","63.6","1","1.2","0.9","-0.2","7","4","2","0","9",
"Dani Ceballos","esESP","MF","Real Madrid","esLa Liga","24","1996","3.1","240","262","91.6","3954","1124","120","127","94.5","89","95","93.7","23","28","82.1","0","0.2","0.3","-0.2","3","22","6","0","20",
"Pietro Ceccaroni","itITA","DF","Venezia","itSerie A","25","1995","34.7","1414","1720","82.2","25815","11157","563","622","90.5","712","802","88.8","125","241","51.9","1","0.8","0.4","+0.2","6","82","4","2","87",
"Federico Ceccherini","itITA","DF","Hellas Verona","itSerie A","29","1992","26.2","954","1216","78.5","16323","6138","444","525","84.6","384","445","86.3","95","175","54.3","0","0.5","0.6","-0.5","7","73","5","0","95",
"Emil Ceide","noNOR","FW,MF","Sassuolo","itSerie A","19","2001","0.6","11","26","42.3","112","23","6","10","60.0","2","7","28.6","0","0","","0","0.0","0.0","0.0","0","1","2","0","2",
"Zeki Çelik","trTUR","DF","Lille","frLigue 1","24","1997","30.0","1390","1755","79.2","22094","8085","740","829","89.3","506","623","81.2","102","194","52.6","3","1.8","2.8","+1.2","23","109","34","12","172",
"Fabien Centonze","frFRA","DF","Metz","frLigue 1","25","1996","17.6","591","769","76.9","8827","3879","350","398","87.9","198","261","75.9","29","69","42.0","1","0.5","0.5","+0.5","11","41","11","5","55",
"Luca Ceppitelli","itITA","DF","Cagliari","itSerie A","31","1989","16.1","671","802","83.7","12644","4481","259","288","89.9","322","359","89.7","76","124","61.3","1","0.3","0.2","+0.7","2","36","4","2","35",
"Franco Cervi","arARG","MF","Celta Vigo","esLa Liga","27","1994","20.0","560","763","73.4","8070","1975","320","371","86.3","167","220","75.9","39","85","45.9","3","1.1","1.4","+1.9","12","39","11","3","61",
"Damir Ceter","coCOL","FW","Cagliari","itSerie A","23","1997","0.1","1","2","50.0","49","0","0","1","0.0","0","0","","1","1","100.0","0","0.0","0.0","0.0","0","0","0","0","0",
"Julian Chabot","deGER","DF","Sampdoria","itSerie A","23","1998","5.4","206","258","79.8","4377","1629","61","71","85.9","111","121","91.7","33","60","55.0","0","0.0","0.0","0.0","0","13","0","0","21",
"Julian Chabot","deGER","DF","Köln","deBundesliga","23","1998","2.3","124","158","78.5","2552","857","37","46","80.4","69","79","87.3","17","29","58.6","0","0.0","0.1","0.0","0","6","1","0","6",
"El Chadaille Bitshiabu","frFRA","DF","Paris S-G","frLigue 1","16","2005","0.1","6","6","100.0","113","29","4","4","100.0","1","1","100.0","1","1","100.0","0","0.0","0.0","0.0","0","0","0","0","1",
"Nassim Chadli","frFRA","MF,DF","Troyes","frLigue 1","20","2001","1.1","26","43","60.5","360","112","17","20","85.0","7","14","50.0","1","4","25.0","0","0.0","0.0","0.0","1","5","0","0","2",
"Kayky Chagas","brBRA","FW","Manchester City","engPremier League","18","2003","0.1","2","2","100.0","21","0","2","2","100.0","0","0","","0","0","","0","0.0","0.0","0.0","0","0","0","0","0",
"Mehdi Chahiri","maMAR","DF","Strasbourg","frLigue 1","25","1996","0.2","2","6","33.3","38","13","1","3","33.3","1","1","100.0","0","1","0.0","0","0.0","0.0","0.0","0","0","0","0","1",
