Plyaer, Nation, Position, Team, League, Age, Born, 90s, TotCmp, TotAtt, TotCmp%, TotDist, PrgDist,ShortCmp, ShortAtt, ShortCmp%,MedCmp, MedAtt, MedCmp%,LongCmp, LongAtt, LongCmp%,Ast, xAG, xA, A-xG, KeyPasses, PassIntoFinal3rd, PassintoPenaltyArea, CrossesintoPenaltyArea, ProgressivePasses,Matches
"Antonio Sivera","esESP","GK","Alavés","esLa Liga","20","1996","0.7","7","15","46.7","311","279","1","1","100.0","1","1","100.0","5","13","38.5","0","0.0","0.0","0.0","0","0","0","0","0",
"Ellyes Skhiri","tnTUN","MF","Montpellier","frLigue 1","22","1995","33.9","1355","1584","85.5","23643","6048","644","724","89.0","503","565","89.0","166","207","80.2","1","1.4","1.2","-0.4","32","128","18","1","178",
"Łukasz Skorupski","plPOL","GK","Roma","itSerie A","26","1991","1.0","30","37","81.1","872","653","3","3","100.0","17","18","94.4","10","16","62.5","0","0.0","0.0","0.0","0","1","0","0","0",
"Milan Škriniar","skSVK","DF","Inter","itSerie A","22","1995","38.0","2172","2387","91.0","37320","14999","977","1034","94.5","1004","1068","94.0","158","234","67.5","0","0.3","1.2","-0.3","8","95","3","0","144",
"Islam Slimani","dzALG","FW","Leicester City","engPremier League","29","1988","2.8","78","116","67.2","808","168","48","65","73.8","17","24","70.8","1","2","50.0","1","0.2","0.1","+0.8","2","1","5","0","7",
"Islam Slimani","dzALG","FW","Newcastle Utd","engPremier League","29","1988","1.5","29","49","59.2","368","101","19","26","73.1","7","13","53.8","1","3","33.3","0","0.4","0.5","-0.4","4","1","1","0","2",
"Naïm Sliti","tnTUN","FW,MF","Dijon","frLigue 1","25","1992","25.4","625","930","67.2","10640","4029","313","392","79.8","198","280","70.7","81","168","48.2","6","5.2","4.7","+0.8","59","57","49","10","117",
"Chris Smalling","engENG","DF","Manchester Utd","engPremier League","27","1989","28.2","998","1140","87.5","19226","5423","280","309","90.6","598","647","92.4","94","135","69.6","0","0.2","0.3","-0.2","2","25","2","0","37",
"Adam Smith","engENG","DF,MF","Bournemouth","engPremier League","26","1991","23.0","898","1119","80.3","14432","4294","464","523","88.7","339","423","80.1","71","120","59.2","3","1.6","1.5","+1.4","22","64","13","5","90",
"Tommy Smith","engENG","DF","Huddersfield","engPremier League","25","1992","21.2","773","1118","69.1","12945","4931","374","431","86.8","315","445","70.8","70","189","37.0","1","1.8","1.8","-0.8","15","45","19","12","56",
"Wesley Sneijder","nlNED","MF,FW","Nice","frLigue 1","33","1984","4.4","248","311","79.7","4088","1104","125","137","91.2","85","106","80.2","25","46","54.3","0","0.8","1.2","-0.8","11","33","7","1","35",
"Cédric Soares","ptPOR","DF","Southampton","engPremier League","25","1991","31.0","1273","1760","72.3","20179","8020","740","816","90.7","396","549","72.1","113","307","36.8","3","3.1","3.4","-0.1","24","108","37","24","139",
"Ramadan Sobhi","egEGY","MF,FW","Stoke City","engPremier League","20","1997","13.8","340","452","75.2","4533","1308","206","250","82.4","99","130","76.2","11","19","57.9","0","1.0","1.1","-1.0","15","19","15","2","38",
"Rubén Sobrino","esESP","FW,MF","Alavés","esLa Liga","25","1992","16.3","290","407","71.3","3622","774","193","239","80.8","62","93","66.7","11","21","52.4","2","1.2","0.9","+0.8","21","19","8","3","29",
"Dominic Solanke","engENG","FW","Liverpool","engPremier League","19","1997","6.6","148","201","73.6","1656","386","109","133","82.0","25","36","69.4","2","4","50.0","1","2.6","1.2","-1.6","15","8","6","0","15",
"Carlos Soler","esESP","MF","Valencia","esLa Liga","20","1997","26.3","814","1002","81.2","13201","3615","437","486","89.9","288","343","84.0","67","112","59.8","4","3.7","3.7","+0.3","34","87","29","7","101",
"Somália","brBRA","MF,FW","Toulouse","frLigue 1","28","1988","22.2","482","643","75.0","6898","2223","268","324","82.7","164","213","77.0","21","42","50.0","0","1.8","1.2","-1.8","21","42","9","5","68",
"Yann Sommer","chSUI","GK","Gladbach","deBundesliga","28","1988","29.2","918","1256","73.1","26065","18244","119","119","100.0","488","490","99.6","310","644","48.1","0","0.0","0.0","0.0","0","9","0","0","0",
"Kévin Soni","cmCMR","MF","Girona","esLa Liga","19","1998","0.2","3","5","60.0","53","22","1","1","100.0","2","4","50.0","0","0","","0","0.0","0.0","0.0","0","0","1","0","2",
"Jérémy Sorbon","frFRA","DF","Guingamp","frLigue 1","33","1983","29.0","954","1110","85.9","19863","7051","291","321","90.7","470","528","89.0","174","224","77.7","0","0.6","0.2","-0.6","5","40","1","0","60",
"Oliver Sorg","deGER","DF,MF","Hannover 96","deBundesliga","27","1990","18.7","523","759","68.9","10304","4450","194","230","84.3","243","335","72.5","80","173","46.2","1","0.6","1.0","+0.4","8","53","10","5","59",
"David Soria","esESP","GK","Sevilla","esLa Liga","24","1993","14.0","273","377","72.4","8315","6742","29","29","100.0","132","137","96.4","111","210","52.9","0","0.0","0.0","0.0","0","3","0","0","0",
"Roberto Soriano","itITA","MF,FW","Villarreal","esLa Liga","26","1991","12.7","395","511","77.3","5515","1416","249","293","85.0","113","138","81.9","16","29","55.2","0","0.7","0.8","-0.7","13","38","11","4","49",
"Stefano Sorrentino","itITA","GK","Chievo","itSerie A","38","1979","38.0","777","1196","65.0","25138","20220","63","63","100.0","328","331","99.1","384","797","48.2","0","0.0","0.0","0.0","0","3","0","0","0",
"Pape Souaré","snSEN","DF","Crystal Palace","engPremier League","27","1990","0.1","9","11","81.8","92","11","6","6","100.0","2","4","50.0","0","0","","0","0.0","0.0","0.0","0","1","0","0","0",
"Rayan Souici","frFRA","MF","Saint-Étienne","frLigue 1","19","1998","0.1","5","5","100.0","56","19","2","2","100.0","2","2","100.0","0","0","","0","0.0","0.0","0.0","0","0","0","0","0",
"Adama Soumaoro","frFRA","DF","Lille","frLigue 1","25","1992","13.2","540","586","92.2","9364","3311","215","227","94.7","278","290","95.9","31","48","64.6","0","0.1","0.1","-0.1","1","11","0","0","17",
"Boubakary Soumaré","frFRA","MF","Lille","frLigue 1","18","1999","5.7","295","347","85.0","4910","1415","143","158","90.5","117","132","88.6","29","38","76.3","0","0.1","0.2","-0.1","3","29","2","0","34",
"Samuel Souprayen","frFRA","DF","Hellas Verona","itSerie A","28","1989","17.6","693","850","81.5","10952","4095","361","389","92.8","252","305","82.6","56","118","47.5","0","0.4","0.5","-0.4","7","42","8","3","59",
"Arnaud Souquet","frFRA","DF","Nice","frLigue 1","25","1992","26.8","1423","1666","85.4","23949","6737","658","718","91.6","639","728","87.8","100","154","64.9","2","1.7","2.3","+0.3","13","76","22","11","100",
"Çağlar Söyüncü","trTUR","DF","Freiburg","deBundesliga","21","1996","23.9","930","1146","81.2","19509","6915","279","317","88.0","502","567","88.5","135","236","57.2","0","0.0","0.2","0.0","0","55","1","0","62",
"Luca Sparandeo","itITA","DF","Benevento","itSerie A","17","1999","0.4","14","16","87.5","225","57","10","11","90.9","2","2","100.0","2","3","66.7","0","0.0","0.0","0.0","0","2","0","0","2",
"Julián Speroni","arARG","GK","Crystal Palace","engPremier League","38","1979","11.0","148","312","47.4","6170","5618","16","16","100.0","35","37","94.6","97","259","37.5","0","0.0","0.0","0.0","0","12","0","0","0",
"Leonardo Spinazzola","itITA","DF","Atalanta","itSerie A","24","1993","16.7","741","980","75.6","12099","3892","382","431","88.6","242","303","79.9","75","153","49.0","3","1.8","2.0","+1.2","15","47","33","15","78",
"Nicolás Spolli","arARG","DF","Genoa","itSerie A","34","1983","20.0","550","634","86.8","11215","3896","138","158","87.3","347","374","92.8","62","90","68.9","0","0.1","0.3","-0.1","2","18","1","0","34",
"Marco Sportiello","itITA","GK","Fiorentina","itSerie A","25","1992","35.6","791","1049","75.4","21755","15747","125","126","99.2","392","397","98.7","270","516","52.3","0","0.0","0.0","0.0","1","7","0","0","0",
"Bassem Srarfi","tnTUN","FW,MF","Nice","frLigue 1","20","1997","9.7","302","373","81.0","4547","869","173","191","90.6","102","126","81.0","18","27","66.7","0","0.8","0.9","-0.8","7","13","7","2","23",
"Kostas Stafylidis","grGRE","DF,MF","Stoke City","engPremier League","23","1993","3.7","98","147","66.7","1562","577","43","51","84.3","44","68","64.7","6","15","40.0","0","0.0","0.1","0.0","2","5","1","0","8",
"Kostas Stafylidis","grGRE","FW,DF","Augsburg","deBundesliga","23","1993","0.4","4","10","40.0","118","74","0","1","0.0","3","7","42.9","1","2","50.0","0","0.0","0.0","0.0","0","0","0","0","0",
"Benjamin Stambouli","frFRA","DF,MF","Schalke 04","deBundesliga","26","1990","24.4","1074","1373","78.2","21689","9423","322","376","85.6","626","707","88.5","123","256","48.0","2","0.8","1.0","+1.2","9","99","8","1","137",
"Junior Stanislas","engENG","MF,FW","Bournemouth","engPremier League","27","1989","14.3","398","571","69.7","6282","2111","207","268","77.2","151","205","73.7","24","54","44.4","2","1.9","1.8","+0.1","24","40","21","2","63",
"Caleb Stanko","usUSA","DF","Freiburg","deBundesliga","24","1993","2.1","103","130","79.2","2001","640","35","43","81.4","61","68","89.7","7","16","43.8","0","0.0","0.0","0.0","0","5","0","0","7",
"Niklas Stark","deGER","DF,MF","Hertha BSC","deBundesliga","22","1995","24.6","859","1071","80.2","18187","6730","246","286","86.0","459","539","85.2","148","225","65.8","1","0.7","0.9","+0.3","5","66","5","1","98",
"Tom Starke","deGER","GK","Bayern Munich","deBundesliga","36","1981","2.0","39","57","68.4","969","763","5","5","100.0","27","28","96.4","7","24","29.2","0","0.0","0.0","0.0","0","0","0","0","0",
"Timo Stavitski","fiFIN","MF,FW","Caen","frLigue 1","18","1999","4.5","84","128","65.6","1021","155","48","58","82.8","23","41","56.1","2","8","25.0","0","0.3","0.4","-0.3","6","1","5","3","5",
"Renato Steffen","chSUI","FW,MF","Wolfsburg","deBundesliga","25","1991","7.3","179","232","77.2","3028","599","86","101","85.1","67","87","77.0","17","29","58.6","0","0.2","0.3","-0.2","4","15","2","0","16",
"Marc Stendera","deGER","MF","Eint Frankfurt","deBundesliga","21","1995","4.1","110","164","67.1","1875","691","45","62","72.6","45","61","73.8","11","23","47.8","0","0.0","0.2","0.0","1","17","3","0","22",
"Pascal Stenzel","deGER","MF,DF","Freiburg","deBundesliga","21","1996","21.6","863","1109","77.8","19234","5438","260","302","86.1","407","487","83.6","189","286","66.1","0","0.8","1.0","-0.8","17","54","17","8","82",
"Dale Stephens","engENG","MF","Brighton","engPremier League","28","1989","36.0","1472","1763","83.5","29027","8748","517","594","87.0","685","785","87.3","232","314","73.9","3","2.3","1.5","+0.7","17","164","13","0","191",
"Jack Stephens","engENG","DF","Southampton","engPremier League","23","1994","22.0","737","983","75.0","13440","5815","314","350","89.7","337","418","80.6","73","168","43.5","0","0.2","0.6","-0.2","4","43","1","1","45",
"Mariusz Stępiński","plPOL","FW","Chievo","itSerie A","22","1995","7.9","112","155","72.3","1297","181","63","79","79.7","30","40","75.0","3","9","33.3","0","0.7","0.3","-0.7","7","2","1","0","5",
"Mariusz Stępiński","plPOL","FW","Nantes","frLigue 1","22","1995","0.0","1","2","50.0","6","0","1","1","100.0","0","1","0.0","0","0","","0","0.0","0.0","0.0","0","0","0","0","0",
"Raheem Sterling","engENG","FW","Manchester City","engPremier League","22","1994","28.7","998","1221","81.7","11836","2411","644","716","89.9","243","303","80.2","17","34","50.0","11","7.3","5.8","+3.7","55","34","49","3","94",
"Ognjen Stijepović","meMNE","FW,MF","Sampdoria","itSerie A","17","1999","0.1","1","1","100.0","14","0","1","1","100.0","0","0","","0","0","","0","0.0","0.0","0.0","0","0","0","0","0",
"Lars Stindl","deGER","FW,MF","Gladbach","deBundesliga","28","1988","30.3","1330","1626","81.8","20175","4845","728","844","86.3","434","504","86.1","101","135","74.8","3","6.1","4.9","-3.1","53","138","30","1","187",
"Valentin Stocker","chSUI","MF","Hertha BSC","deBundesliga","28","1989","0.6","11","18","61.1","142","18","8","9","88.9","3","7","42.9","0","0","","0","0.0","0.0","0.0","1","2","0","0","1",
"Adrian Stoian","roROU","MF,FW","Crotone","itSerie A","26","1991","23.7","644","1055","61.0","12046","5242","280","375","74.7","258","411","62.8","97","203","47.8","4","2.4","2.6","+1.6","19","112","37","10","139",
"John Stones","engENG","DF","Manchester City","engPremier League","23","1994","14.5","1197","1250","95.8","21826","8273","479","496","96.6","578","590","98.0","114","135","84.4","0","0.0","0.2","0.0","0","51","1","0","71",
"Thomas Strakosha","alALB","GK","Lazio","itSerie A","22","1995","38.0","900","1197","75.2","26962","20384","103","104","99.0","432","440","98.2","360","639","56.3","0","0.1","0.1","-0.1","2","14","0","0","0",
"Ivan Strinić","hrCRO","DF","Sampdoria","itSerie A","30","1987","13.9","660","849","77.7","10465","4814","345","384","89.8","243","320","75.9","50","103","48.5","2","0.9","1.1","+1.1","4","51","9","4","66",
"Tobias Strobl","deGER","MF","Gladbach","deBundesliga","27","1990","1.3","60","69","87.0","1130","323","22","22","100.0","32","36","88.9","6","11","54.5","1","0.6","0.1","+0.4","2","6","1","0","4",
"Kevin Strootman","nlNED","MF","Roma","itSerie A","27","1990","25.1","1248","1488","83.9","20395","6128","592","673","88.0","502","578","86.9","98","145","67.6","1","1.5","2.3","-0.5","30","198","23","4","211",
"Jens Stryger Larsen","dkDEN","DF","Udinese","itSerie A","26","1991","28.1","1099","1356","81.0","19399","8698","507","563","90.1","481","569","84.5","100","188","53.2","1","1.0","0.8","0.0","9","88","7","6","99",
"Cristhian Stuani","uyURU","FW","Girona","esLa Liga","30","1986","30.1","329","500","65.8","4250","566","220","309","71.2","83","133","62.4","9","15","60.0","0","1.3","0.8","-1.3","13","24","4","0","35",
"Stefano Sturaro","itITA","MF,DF","Juventus","itSerie A","24","1993","6.8","231","289","79.9","3888","909","126","145","86.9","67","85","78.8","27","35","77.1","0","0.2","0.4","-0.2","6","20","6","1","27",
"Daniel Sturridge","engENG","FW","West Brom","engPremier League","27","1989","1.3","23","33","69.7","388","148","13","18","72.2","7","9","77.8","3","5","60.0","0","0.2","0.0","-0.2","3","4","2","0","6",
"Daniel Sturridge","engENG","FW","Liverpool","engPremier League","27","1989","4.8","103","130","79.2","1506","360","60","71","84.5","37","45","82.2","3","3","100.0","1","0.8","0.5","+0.2","13","10","8","0","16",
"Damián Suárez","uyURU","DF","Getafe","esLa Liga","29","1988","32.0","1175","1698","69.2","20384","11106","623","721","86.4","378","553","68.4","143","321","44.5","4","3.2","3.2","+0.8","36","121","28","10","152",
"Denis Suárez","esESP","MF,FW","Barcelona","esLa Liga","23","1994","6.6","312","387","80.6","4244","1048","193","218","88.5","81","97","83.5","16","31","51.6","2","2.7","1.8","-0.7","14","17","11","1","27",
"Leonardo Suárez","arARG","MF","Villarreal","esLa Liga","21","1996","0.3","9","12","75.0","133","11","7","10","70.0","1","1","100.0","1","1","100.0","0","0.0","0.0","0.0","0","1","0","0","0",
"Luis Suárez","uyURU","FW","Barcelona","esLa Liga","30","1987","32.2","818","1080","75.7","11732","2032","486","596","81.5","211","274","77.0","58","84","69.0","12","10.5","8.1","+1.5","57","32","50","1","97",
"Danijel Subašić","hrCRO","GK","Monaco","frLigue 1","32","1984","32.7","642","921","69.7","20096","15299","67","68","98.5","313","314","99.7","262","537","48.8","0","0.0","0.0","0.0","1","10","0","0","0",
"Neven Subotić","rsSRB","DF","Saint-Étienne","frLigue 1","28","1988","16.0","712","833","85.5","15268","4948","200","212","94.3","383","426","89.9","123","180","68.3","1","0.9","1.1","+0.1","4","32","2","0","31",
"Neven Subotić","rsSRB","DF","Dortmund","deBundesliga","28","1988","3.0","219","257","85.2","4440","1543","68","73","93.2","119","137","86.9","30","43","69.8","0","0.0","0.1","0.0","0","13","0","0","11",
"Isaac Success","ngNGA","MF,FW","Málaga","esLa Liga","21","1996","5.5","81","143","56.6","1370","283","39","57","68.4","35","52","67.3","5","18","27.8","1","2.1","1.9","-1.1","7","7","5","1","14",
"Niklas Süle","deGER","DF","Bayern Munich","deBundesliga","21","1995","21.4","1497","1621","92.4","31576","10864","378","402","94.0","905","945","95.8","206","261","78.9","1","0.8","1.3","+0.2","5","133","7","0","113",
"Ki Sung-yueng","krKOR","MF","Swansea City","engPremier League","28","1989","20.8","758","903","83.9","14235","3472","312","344","90.7","321","363","88.4","102","153","66.7","2","1.5","1.9","+0.5","19","52","11","1","64",
"Gilles Sunu","tgTOG","MF,FW","Angers","frLigue 1","26","1991","7.3","194","257","75.5","2718","706","119","141","84.4","57","78","73.1","11","18","61.1","0","0.6","0.6","-0.6","7","19","9","3","30",
"Andrew Surman","engENG","MF","Bournemouth","engPremier League","30","1986","20.6","997","1199","83.2","18377","5842","396","464","85.3","476","536","88.8","108","165","65.5","5","1.0","1.5","+4.0","16","122","16","0","134",
"Markel Susaeta","esESP","FW,MF","Athletic Club","esLa Liga","29","1987","25.2","746","1013","73.6","12787","3245","368","428","86.0","254","314","80.9","100","205","48.8","2","5.3","4.9","-3.3","54","65","23","14","85",
"Suso","esESP","FW,MF","Milan","itSerie A","23","1993","31.4","1199","1649","72.7","21144","6492","586","687","85.3","456","614","74.3","130","244","53.3","6","7.6","7.4","-1.6","77","123","88","19","225",
"Markus Suttner","atAUT","DF","Brighton","engPremier League","30","1987","13.1","435","613","71.0","8260","3590","184","208","88.5","178","238","74.8","64","141","45.4","0","0.3","0.6","-0.3","6","39","7","4","56",
"Seydou Sy","snSEN","GK","Monaco","frLigue 1","21","1995","2.8","60","93","64.5","2042","1691","8","8","100.0","21","21","100.0","31","63","49.2","0","0.0","0.0","0.0","0","0","0","0","0",
"Issiaga Sylla","gnGUI","DF,FW","Toulouse","frLigue 1","23","1994","17.8","606","857","70.7","10176","4446","283","344","82.3","260","353","73.7","47","109","43.1","3","2.0","2.0","+1.0","20","75","21","16","105",
"Moussa Sylla","mlMLI","FW","Monaco","frLigue 1","17","1999","3.4","39","69","56.5","491","104","28","44","63.6","8","15","53.3","1","1","100.0","0","0.1","0.2","-0.1","3","3","4","0","7",
"Ádám Szalai","huHUN","FW","Hoffenheim","deBundesliga","29","1987","10.0","157","214","73.4","1840","424","95","123","77.2","43","57","75.4","1","5","20.0","1","0.8","0.9","+0.2","12","10","4","0","18",
"Wojciech Szczęsny","plPOL","GK","Juventus","itSerie A","27","1990","17.0","364","460","79.1","11110","7257","36","36","100.0","166","169","98.2","162","252","64.3","0","0.0","0.0","0.0","1","0","0","0","0",
"Alexander Søderlund","noNOR","FW","Saint-Étienne","frLigue 1","29","1987","4.0","57","79","72.2","684","141","31","44","70.5","19","21","90.5","0","1","0.0","1","0.2","0.3","+0.8","5","5","2","0","9",
"Frederik Sørensen","dkDEN","DF","Köln","deBundesliga","25","1992","22.2","731","1020","71.7","15704","7044","209","253","82.6","373","473","78.9","137","263","52.1","1","0.9","0.7","+0.1","6","51","7","3","74",
"Lasse Sørensen","dkDEN","MF","Stoke City","engPremier League","17","1999","0.8","41","56","73.2","711","350","20","26","76.9","16","19","84.2","5","7","71.4","0","0.1","0.1","-0.1","2","6","0","0","2",
"Alexander Sørloth","noNOR","FW","Crystal Palace","engPremier League","21","1995","4.0","65","114","57.0","851","221","40","62","64.5","19","33","57.6","2","7","28.6","0","0.5","0.5","-0.5","6","6","1","0","7",
"Adel Taarabt","maMAR","FW,MF","Genoa","itSerie A","28","1989","17.9","587","767","76.5","9731","2191","282","354","79.7","232","295","78.6","57","78","73.1","2","2.7","2.6","-0.7","34","51","30","1","81",
"Franck Tabanou","frFRA","DF","Guingamp","frLigue 1","28","1989","11.6","458","627","73.0","8277","3662","206","226","91.2","176","245","71.8","61","116","52.6","2","1.2","1.5","+0.8","9","34","10","7","43",
"Dušan Tadić","rsSRB","MF,FW","Southampton","engPremier League","28","1988","31.0","872","1255","69.5","13009","3610","479","572","83.7","274","398","68.8","64","145","44.1","3","5.7","4.7","-2.7","59","68","56","14","167",
"Jonathan Tah","deGER","DF","Leverkusen","deBundesliga","21","1996","27.0","1269","1479","85.8","25646","8855","370","416","88.9","725","794","91.3","162","238","68.1","2","1.3","1.3","+0.7","11","111","6","2","141",
"Ervin Taha","frFRA","FW","Bordeaux","frLigue 1","18","1999","0.4","11","16","68.8","153","39","8","11","72.7","3","3","100.0","0","1","0.0","0","0.0","0.0","0.0","0","1","0","0","2",
"Mehdi Tahrat","dzALG","MF","Angers","frLigue 1","27","1990","4.9","154","226","68.1","2185","726","90","118","76.3","45","63","71.4","11","22","50.0","0","0.0","0.2","0.0","1","14","1","0","14",
"Saphir Taïder","dzALG","MF","Bologna","itSerie A","25","1992","4.3","196","218","89.9","3592","783","80","85","94.1","80","92","87.0","29","31","93.5","1","0.2","0.4","+0.8","4","14","3","0","19",
"Flavien Tait","frFRA","MF","Angers","frLigue 1","24","1993","24.8","692","980","70.6","10610","3380","398","477","83.4","192","279","68.8","69","124","55.6","3","5.3","4.1","-2.3","37","65","29","7","103",
"Adrien Tameze","cmCMR","MF","Nice","frLigue 1","23","1994","18.7","1201","1320","91.0","19920","4487","565","605","93.4","503","532","94.5","95","115","82.6","1","0.9","0.8","+0.1","8","78","1","0","86",
"Tana","esESP","MF,FW","Las Palmas","esLa Liga","26","1990","17.2","694","832","83.4","9639","2925","434","473","91.8","179","214","83.6","44","81","54.3","1","1.2","2.4","-0.2","21","62","20","3","94",
"Oussama Tannane","maMAR","FW","Las Palmas","esLa Liga","23","1994","6.4","183","251","72.9","2774","724","106","124","85.5","59","78","75.6","13","29","44.8","0","1.0","0.6","-1.0","8","11","5","1","17",
"Oussama Tannane","maMAR","FW","Saint-Étienne","frLigue 1","23","1994","2.3","69","95","72.6","1090","273","35","45","77.8","24","30","80.0","6","12","50.0","1","0.6","0.7","+0.4","3","8","1","0","11",
"Matt Targett","engENG","DF","Southampton","engPremier League","21","1995","1.8","78","109","71.6","1440","660","40","42","95.2","25","34","73.5","12","28","42.9","0","0.1","0.2","-0.1","2","3","0","0","5",
"James Tarkowski","engENG","DF","Burnley","engPremier League","24","1992","31.0","800","1102","72.6","17749","8069","243","288","84.4","372","449","82.9","170","326","52.1","0","0.8","1.0","-0.8","7","64","8","2","59",
"Ciprian Tătărușanu","roROU","GK","Nantes","frLigue 1","31","1986","37.0","684","1090","62.8","23777","19700","67","67","100.0","277","284","97.5","338","731","46.2","0","0.0","0.0","0.0","1","10","0","0","0",
"Júlio Tavares","cvCPV","FW","Dijon","frLigue 1","28","1988","22.8","324","544","59.6","4309","809","201","301","66.8","94","158","59.5","11","23","47.8","2","1.9","1.5","+0.1","26","19","17","3","32",
"Taleb Tawatha","ilISR","DF,MF","Eint Frankfurt","deBundesliga","25","1992","4.9","153","232","65.9","2664","1375","71","88","80.7","64","96","66.7","15","31","48.4","1","0.7","0.7","+0.3","7","11","5","4","15",
"Charlie Taylor","engENG","DF","Burnley","engPremier League","23","1993","10.6","316","463","68.3","5322","2255","149","178","83.7","134","172","77.9","24","82","29.3","0","0.2","0.2","-0.2","4","15","6","5","23",
"Jordan Tell","gpGLP","FW,MF","Rennes","frLigue 1","20","1997","1.3","22","28","78.6","354","43","10","10","100.0","5","7","71.4","3","4","75.0","0","0.1","0.0","-0.1","1","1","0","0","2",
"Cristian Tello","esESP","FW,MF","Betis","esLa Liga","25","1991","18.8","549","724","75.8","8029","1725","332","400","83.0","167","223","74.9","32","52","61.5","3","3.7","2.2","-0.7","25","28","17","4","46",
"Marc-André ter Stegen","deGER","GK","Barcelona","esLa Liga","25","1992","37.0","1068","1304","81.9","27867","19433","154","154","100.0","598","613","97.6","313","531","58.9","0","0.0","0.0","0.0","0","1","0","0","0",
"Simon Terodde","deGER","FW","Stuttgart","deBundesliga","29","1988","10.6","159","235","67.7","2221","322","95","131","72.5","49","75","65.3","7","10","70.0","1","1.1","0.6","-0.1","8","12","0","0","12",
"Simon Terodde","deGER","FW","Köln","deBundesliga","29","1988","12.9","194","304","63.8","2554","469","119","173","68.8","56","86","65.1","5","10","50.0","0","1.1","1.4","-1.1","15","18","3","0","18",
"Marco Terrazzino","deGER","MF,FW","Freiburg","deBundesliga","26","1991","16.5","486","613","79.3","7377","1699","262","314","83.4","164","208","78.8","35","47","74.5","1","3.0","2.7","-2.0","29","47","21","5","64",
"Martin Terrier","frFRA","FW,MF","Strasbourg","frLigue 1","20","1997","18.6","367","500","73.4","5330","1170","206","252","81.7","109","149","73.2","23","39","59.0","3","3.4","2.1","-0.4","28","18","13","2","36",
"Kenny Tete","nlNED","DF","Lyon","frLigue 1","21","1995","17.9","854","1073","79.6","13473","4486","468","518","90.3","284","365","77.8","71","117","60.7","4","2.7","2.1","+1.3","14","45","20","13","74",
"Cedric Teuchert","deGER","FW","Schalke 04","deBundesliga","20","1997","0.4","7","10","70.0","62","3","7","8","87.5","0","1","0.0","0","0","","0","0.0","0.0","0.0","0","0","0","0","0",
"Florian Thauvin","frFRA","FW","Marseille","frLigue 1","24","1993","32.8","1314","1838","71.5","17574","5783","753","865","87.1","299","435","68.7","92","245","37.6","11","12.2","9.8","-1.2","77","135","58","17","210",
"Kévin Théophile-Catherine","frFRA","DF","Saint-Étienne","frLigue 1","27","1989","24.1","913","1115","81.9","18147","6558","325","352","92.3","459","502","91.4","124","237","52.3","0","0.3","0.6","-0.3","4","65","7","0","77",
"Cyril Théréau","frFRA","FW,MF","Udinese","itSerie A","34","1983","2.0","58","74","78.4","730","90","38","46","82.6","14","19","73.7","3","4","75.0","0","0.0","0.1","0.0","1","4","1","0","7",
"Cyril Théréau","frFRA","FW,MF","Fiorentina","itSerie A","34","1983","12.4","394","506","77.9","5027","919","252","295","85.4","100","135","74.1","11","24","45.8","2","2.3","1.2","-0.3","22","31","11","2","45",
"Vincent Thill","luLUX","MF","Metz","frLigue 1","17","2000","0.3","14","17","82.4","231","13","5","7","71.4","9","10","90.0","0","0","","0","0.0","0.0","0.0","0","2","0","0","1",
"Romain Thomas","frFRA","DF","Angers","frLigue 1","29","1988","27.4","967","1196","80.9","19892","8700","323","353","91.5","485","552","87.9","148","269","55.0","0","1.0","0.8","-1.0","5","53","1","0","60",
"Adrien Thomasson","frFRA","MF,FW","Nantes","frLigue 1","23","1993","28.6","994","1330","74.7","13939","3726","565","676","83.6","315","405","77.8","47","97","48.5","3","3.2","2.7","-0.2","32","72","20","7","128",
"Erik Thommy","deGER","FW","Augsburg","deBundesliga","22","1994","1.9","52","73","71.2","743","211","28","29","96.6","14","23","60.9","4","13","30.8","0","0.6","0.5","-0.6","3","4","4","1","7",
"Erik Thommy","deGER","MF","Stuttgart","deBundesliga","22","1994","10.9","219","348","62.9","3753","1236","103","131","78.6","85","133","63.9","24","61","39.3","4","2.7","1.4","+1.3","23","20","12","5","39",
"Marcus Thuram","frFRA","FW","Guingamp","frLigue 1","19","1997","21.4","348","520","66.9","4246","1039","193","269","71.7","97","149","65.1","9","16","56.3","1","2.4","1.8","-1.4","23","19","15","1","47",
"Youri Tielemans","beBEL","MF","Monaco","frLigue 1","20","1997","17.4","676","848","79.7","11712","3668","325","372","87.4","259","324","79.9","71","103","68.9","1","1.1","1.3","-0.1","17","81","5","0","109",
"David Timor","esESP","MF,DF","Girona","esLa Liga","27","1989","10.3","379","470","80.6","7227","2560","172","192","89.6","136","160","85.0","53","87","60.9","0","0.2","0.2","-0.2","6","45","1","0","51",
"Jonathan Tinhan","bjBEN","MF,FW","Troyes","frLigue 1","28","1989","0.8","11","22","50.0","111","32","5","9","55.6","3","6","50.0","0","1","0.0","0","0.0","0.0","0.0","1","1","1","0","1",
"Marcel Tisserand","cdCOD","DF","Wolfsburg","deBundesliga","24","1993","13.9","610","744","82.0","12384","4907","227","261","87.0","283","322","87.9","98","151","64.9","1","0.1","0.4","+0.9","2","47","6","3","51",
"Tito","esESP","DF","Leganés","esLa Liga","32","1985","6.8","215","294","73.1","3192","1487","126","140","90.0","65","95","68.4","14","38","36.8","0","0.0","0.2","0.0","0","13","5","3","21",
