Plyaer, Nation, Position, Team, League, Age, Born, 90s, TotCmp, TotAtt, TotCmp%, TotDist, PrgDist,ShortCmp, ShortAtt, ShortCmp%,MedCmp, MedAtt, MedCmp%,LongCmp, LongAtt, LongCmp%,Ast, xAG, xA, A-xG, KeyPasses, PassIntoFinal3rd, PassintoPenaltyArea, CrossesintoPenaltyArea, ProgressivePasses,Matches
"Mario Balotelli","itITA","FW","Nice","frLigue 1","26","1990","25.2","591","795","74.3","9716","2047","323","379","85.2","166","228","72.8","79","120","65.8","1","3.1","3.1","-2.1","33","72","18","1","86",
"Abdoulaye Bamba","ciCIV","DF","Angers","frLigue 1","27","1990","17.0","657","854","76.9","9646","4317","393","431","91.2","225","294","76.5","27","86","31.4","0","0.5","0.8","-0.5","6","46","5","1","70",
"Jonathan Bamba","ciCIV","FW","Saint-Étienne","frLigue 1","21","1996","28.6","908","1219","74.5","13594","3340","496","581","85.4","289","371","77.9","72","139","51.8","8","8.7","5.9","-0.7","54","71","30","5","109",
"Yacine Bammou","maMAR","MF,FW","Nantes","frLigue 1","25","1991","8.1","191","272","70.2","2632","653","117","140","83.6","48","65","73.8","13","31","41.9","0","0.2","0.5","-0.2","6","8","7","1","18",
"Éver Banega","arARG","MF","Sevilla","esLa Liga","29","1988","26.7","1896","2309","82.1","35620","13307","784","865","90.6","811","923","87.9","260","421","61.8","3","6.2","5.5","-3.2","66","268","38","2","350",
"Mattia Bani","itITA","DF","Chievo","itSerie A","23","1993","14.6","524","637","82.3","11301","3922","149","172","86.6","276","310","89.0","93","142","65.5","0","0.0","0.1","0.0","0","26","2","0","32",
"Beni Baningime","cdCOD","MF","Everton","engPremier League","18","1998","2.2","67","82","81.7","1088","304","28","34","82.4","30","35","85.7","3","5","60.0","0","0.0","0.0","0.0","0","6","1","0","11",
"Léo Baptistão","brBRA","FW,MF","Espanyol","esLa Liga","24","1992","29.7","473","727","65.1","6165","1407","300","387","77.5","132","193","68.4","13","45","28.9","3","2.5","3.2","+0.5","25","33","19","4","51",
"Sekou Baradji","frFRA","MF","Amiens","frLigue 1","33","1984","0.1","2","4","50.0","27","0","1","2","50.0","1","2","50.0","0","0","","0","0.0","0.0","0.0","0","0","0","0","0",
"Antonín Barák","czCZE","MF","Udinese","itSerie A","22","1994","30.1","905","1171","77.3","14980","4768","446","526","84.8","373","457","81.6","65","120","54.2","3","3.3","2.2","-0.3","30","117","28","3","161",
"Andrea Barberis","itITA","MF","Crotone","itSerie A","23","1993","33.7","813","1148","70.8","13858","4950","376","458","82.1","326","437","74.6","81","172","47.1","1","3.1","2.3","-2.1","34","79","16","6","116",
"Mariano Barbosa","arARG","GK","Villarreal","esLa Liga","33","1984","12.5","225","335","67.2","6683","5191","35","35","100.0","106","106","100.0","84","194","43.3","0","0.0","0.0","0.0","0","1","0","0","0",
"Enis Bardhi","mkMKD","MF","Levante","esLa Liga","22","1995","17.6","520","683","76.1","9176","2631","252","295","85.4","183","220","83.2","63","118","53.4","1","1.3","1.3","-0.3","23","83","8","0","91",
"Phil Bardsley","sctSCO","DF","Burnley","engPremier League","32","1985","12.5","394","587","67.1","6906","3437","190","214","88.8","163","245","66.5","37","103","35.9","0","0.3","0.7","-0.3","5","55","13","7","53",
"Nicolò Barella","itITA","MF","Cagliari","itSerie A","20","1997","32.8","1235","1641","75.3","22685","7038","557","662","84.1","482","604","79.8","163","285","57.2","2","1.9","2.5","+0.1","35","168","39","7","200",
"Philipp Bargfrede","deGER","MF","Werder Bremen","deBundesliga","28","1989","20.7","764","967","79.0","14873","5480","255","311","82.0","408","476","85.7","93","145","64.1","1","0.8","0.8","+0.2","8","86","4","1","110",
"Ross Barkley","engENG","MF","Chelsea","engPremier League","23","1993","1.4","39","53","73.6","560","96","23","28","82.1","9","13","69.2","3","6","50.0","0","0.1","0.0","-0.1","2","0","2","1","4",
"Aymen Barkok","maMAR","FW,MF","Eint Frankfurt","deBundesliga","19","1998","3.5","88","120","73.3","1390","236","45","57","78.9","30","36","83.3","9","17","52.9","1","0.5","0.4","+0.5","7","7","6","1","9",
"Ashley Barnes","engENG","FW","Burnley","engPremier League","27","1989","24.1","316","531","59.5","4207","996","193","282","68.4","101","161","62.7","6","33","18.2","0","1.6","1.8","-1.6","17","22","11","4","34",
"Harvey Barnes","engENG","MF,FW","Leicester City","engPremier League","19","1997","0.1","6","7","85.7","84","16","4","4","100.0","2","3","66.7","0","0","","0","0.0","0.0","0.0","0","0","0","0","2",
