Name, Nation, Position, Club, League, Age, YearBorn,90s,GoalsAllowed,PKAllowed,FKAllowed,CornersAllowed,OwnGoalsAllowed,PostShotxG,PostShotxGPerShotOnTarget, PostShotxG-GoalsAllowed,PostShotxG-GoalsAllowed90,LaunchesCmp,LaunchesAtt,LaunchesCmp%,PassesAtt,ThrowsAtt,Launch%,AvgLenPass,GoalKicksAtt,GoalKicksLaunch%,AvgLenGoalKick,CrossesFaced,CrossesStopped,CrossesStopped%,DefActionsOutsidePenArea,DefActionsOutsidePenArea90,AvgDistDefAct,Matches
"Antonio Sivera","esESP","GK","Alavés","esLa Liga","29-108","1996","13.0","12","1","0","0","0","12.6","0.30","+0.6","+0.05","101","237","42.6","265","36","59.6","44.3","94","84.0","60.3","172","8","4.7","5","0.38","10.1",
"Łukasz Skorupski","plPOL","GK","Bologna","itSerie A","34-206","1991","9.1","8","2","0","1","0","8.2","0.25","+0.2","+0.02","36","111","32.4","378","43","24.3","30.9","44","43.2","40.7","87","6","6.9","7","0.77","11.9",
"Yann Sommer","chSUI","GK","Inter","itSerie A","36-345","1988","10.0","12","2","0","1","0","10.3","0.28","-1.7","-0.17","31","74","41.9","338","37","18.6","27.5","41","26.8","28.5","94","2","2.1","11","1.10","22.0",
"David Soria","esESP","GK","Getafe","esLa Liga","32-237","1993","13.0","15","1","0","3","2","14.8","0.26","+1.8","+0.14","108","310","34.8","273","13","83.9","51.6","88","92.0","61.0","138","4","2.9","14","1.08","16.6",
"Zion Suzuki","jpJPN","GK","Parma","itSerie A","23-098","2002","11.0","14","1","0","3","0","12.6","0.22","-1.4","-0.13","98","249","39.4","355","43","48.7","41.9","91","83.5","61.4","168","11","6.5","19","1.73","17.0",
"Mile Svilar","rsSRB","GK","Roma","itSerie A","26-092","1999","12.0","6","0","0","1","0","10.4","0.26","+4.4","+0.37","53","156","34.0","364","66","29.1","33.0","82","61.0","49.0","123","10","8.1","7","0.58","13.2",
"Wojciech Szczęsny","plPOL","GK","Barcelona","esLa Liga","35-223","1990","6.0","11","1","0","1","0","12.7","0.40","+1.7","+0.29","10","41","24.4","184","29","19.0","25.9","30","20.0","30.2","54","1","1.9","25","4.17","23.3",
"Arnau Tenas","esESP","GK","Villarreal","esLa Liga","24-181","2001","3.0","6","1","0","0","0","4.3","0.29","-1.7","-0.58","10","50","20.0","64","6","46.9","37.8","26","76.9","58.2","52","3","5.8","4","1.33","12.3",
"Pietro Terracciano","itITA","GK","Milan","itSerie A","35-264","1990","1.4","0","0","0","0","0","0.2","0.05","+0.2","+0.13","7","9","77.8","30","5","20.0","30.6","6","50.0","43.3","19","1","5.3","0","0.00","8.3",
"James Trafford","engENG","GK","Manchester City","engPremier League","23-048","2002","3.0","4","1","0","0","0","5.9","0.34","+1.9","+0.62","10","36","27.8","103","11","27.2","29.6","15","53.3","44.9","26","2","7.7","14","4.67","18.1",
"Kevin Trapp","deGER","GK","Paris FC","frLigue 1","35-142","1990","3.0","6","2","0","2","0","6.9","0.39","+0.9","+0.30","10","46","21.7","112","12","34.8","34.2","24","29.2","34.4","38","3","7.9","4","1.33","13.9",
"Stefano Turati","itITA","GK","Sassuolo","itSerie A","24-083","2001","1.0","2","0","1","0","0","1.2","0.31","-0.8","-0.76","0","16","0.0","23","4","56.5","40.7","3","100.0","67.3","9","1","11.1","1","1.00","10.0",
"Jonas Urbig","deGER","GK","Bayern Munich","deBundesliga","22-111","2003","1.0","0","0","0","0","0","0.0","","0.0","0.00","1","2","50.0","28","4","7.1","22.3","0","","","3","1","33.3","7","7.00","22.3",
"Álvaro Vallés","esESP","GK","Betis","esLa Liga","28-125","1997","6.0","7","0","0","3","1","6.1","0.28","+0.1","+0.01","15","56","26.8","182","24","26.4","30.6","34","23.5","32.4","76","3","3.9","7","1.17","13.3",
"Nikola Vasilj","baBIH","GK","St. Pauli","deBundesliga","29-360","1995","11.0","21","0","0","1","0","22.1","0.34","+1.1","+0.10","26","91","28.6","398","46","22.1","27.8","12","25.0","30.4","74","9","12.2","14","1.27","14.1",
"Bart Verbruggen","nlNED","GK","Brighton","engPremier League","23-101","2002","12.0","16","2","0","1","2","16.4","0.34","+2.4","+0.20","32","137","23.4","455","46","25.1","29.9","31","74.2","52.4","148","7","4.7","10","0.83","14.2",
"Guglielmo Vicario","itITA","GK","Tottenham","engPremier League","29-051","1996","12.0","14","0","0","2","0","16.8","0.34","+2.8","+0.23","44","149","29.5","449","62","28.3","30.8","55","40.0","35.7","147","5","3.4","24","2.00","16.9",
"Odysseas Vlachodimos","grGRE","GK","Sevilla","esLa Liga","31-215","1994","9.0","14","3","0","0","0","16.0","0.30","+2.0","+0.22","44","121","36.4","260","47","36.2","34.6","48","56.3","44.8","118","4","3.4","5","0.56","11.1",
"Robin Zentner","deGER","GK","Mainz 05","deBundesliga","31-030","1994","8.7","11","0","0","1","1","9.1","0.26","-0.9","-0.10","71","226","31.4","293","18","62.5","45.2","63","68.3","54.9","111","9","8.1","16","1.83","14.9",
"Michael Zetterer","deGER","GK","Eint Frankfurt","deBundesliga","30-138","1995","7.0","9","1","2","0","0","7.4","0.25","-1.6","-0.22","32","83","38.6","249","46","28.1","31.5","31","41.9","40.6","83","7","8.4","10","1.43","15.3",
